# ;HEARTS OF IRON! Doomsday;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;=====================;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;2) '%d' is for indicating where another integer value is inserted, and MAY NEVER BE REMOVED! If there are more than one '%d' in a string, they may not change places. ('%.1f' is used in exactly the same way but for non-integer values ?  '%c%d' is used for values that are displayed with a '+' or '-' sign in front, DO NOT CHANGE, ADD, OR REMOVE!);;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;4) The characters '#' (hashmark), semicolon, '%' (percentage sign), '?' (paragraph sign), quotation marks and '\' (backslash) MAY NOT BE USED (except when used as control codes ? this will otherwise create serious problems!!! Quotation marks may not even be used in comments -- use a 'citation mark' (single) instead if necessary!);;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;§W = white text;;;;;;;;;;X
##;§Y = orange text;;;;;;;;;;X
##;Note that the color change will be applied to all words after the code, until the end of the line that the word is printed on. If several words should have a color change, put the code in front of each of them to be on the safe side. If only one word should have a color change, make sure to reset the color after the word.;;;;;;;;;;X
##;9) Unless otherwise specifically stated, length of words and texts does not really matter THAT much (message boxes, rollover help boxes and buttons WILL stretch to fit the text string) ? however you will notice once the translation is inserted that space IS limited in quite a few areas? so be brief, and try not to use words that are considerably longer than the English original.;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not  exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X
#LANGUAGE;English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#########################################;;;;;;;;;;;X
######### GENERAL TEXT STRINGS #########;;;;;;;;;;;X
#########################################;;;;;;;;;;;XEXTRA_LAND;This unit can have %d Attachment(s);Ajout possible de %d brigades;Questa unità può avere %d aggiunte;Esta unidad puede tener %d agregado(s);Diese Division kann %d Brigade haben;Ta jednostka mo¿e posiadaæ ulepszenia w liczbie: %d;Esta unidade pode ter %d unidades subordinadas;Ìàêñ. êîëè÷åñòâî áğèãàä â ıòîé äèâèçèè - %d;;;X
EXTRA_NAVAL;This ship can have %d Attachment(s);Ajout possible de %d améliorations;Questa unità navale può avere %d aggiunte;Este barco puede tener %d agregado(s);Dieses Schiff kann %d Verbesserung(en) haben;Ten okrêt mo¿e posiadaæ ulepszenia w liczbie: %d;Podem ser feitas %d melhorias neste navio;Ìàêñ. êîëè÷åñòâî ìîäèôèêàöèé ıòîãî êîğàáëÿ - %d;;;X
EXTRA_AIR;This air unit can have %d Attachment(s);Ajout possible de %d brigades;Questa unità aerea può avere %d aggiunte;Esta unidad aérea puede tener %d agregado(s);Dieses Geschwader kann %d Brigade haben;Ta eskadra mo¿e posiadaæ ulepszenia w liczbie: %d;Este esquadrão aéreo pode ter %d unidades subordinadas;Ìàêñ. êîëè÷åñòâî ıñêàäğèëèé â ıòîì àâèàñîåäèíåíèè - %d;;;X
DONTSENDFORCES;Expeditionary forces;Corps expéditionnaire;Forze di spedizione;Tropas expedicionarias;Expeditionsstreitkräfte;Wojska ekspedycyjne;Força expedicionária;İêñïåäèöèîííûå âîéñêà;;;X
FEOPT_ENDDATE;End Date;FIN DE LA PARTIE;Data di fine;FECHA DE FINALIZACIÓN;Spielende;Data zakoñczenia;Data final;Äàòà îêîí÷àíèÿ;;;X
FEOPT_ICTAKEOVER;Full IC Take Over;CAPTURE COMPLETE DES PP;Assorbi la capacità industriale;CONTROL COMPLETO DE CI;Komplette IK-Übernahme;Pe³ne przejêcie PP;Absorção total da CI;Ïîëíûé çàõâàò ÏÏ;;;X
FEOPT_TECHTEAMTAKEOVER;Tech-Team Take Over;CAPTURE DES CHERCHEURS;Assorbi i Tech teams;CONTROL DE EQUIPO TÉCNICO;Forschungsteam-Übernahme;Pe³ne przejêcie zespo³ów badawczych;Incorporar Equipes de Pesquisa;Çàõâàò ÊÁ;;;X
FEOPT_DEMWAR;Everyone can start war;Tous peuvent faire la guerre;Tutti possono iniziare la guerra ;Todos pueden comenzar la guerra;Jeder kann Kriege erklären;Ka?dy mo?e rozpocz?? wojn? ;;Êàæäûé ìîæåò íà÷àòü âîéíó;;;X
FEOPT_1940;1940;1940;1940;1940;1940;1940;1940;1940;;;X
FEOPT_1946;1946;1946;1946;1946;1946;1946;1946;1946;;;X
FEOPT_1952;1952;1952;1952;1952;1952;1952;1952;1952;;;X
FEOPT_1958;1958;1958;1958;1958;1958;1958;1958;1958;;;X
FEOPT_1964;1964;1964;1964;1964;1964;1964;1964;1964;;;X
AUTONAVALUNITS;Auto assign naval attachments;Déploiement automatique des brigades navales;Assegna automaticamente le aggiunte navali;Asignación automática de agregados navales;Schiffsverbesserungen automatisch zuweisen;Automatycznie do³¹czaj ulepszenia okrêtów;Distribuir melhorias navais automaticamente;Àâòîğàñïğåäåëåíèå ìîğñêèõ áğèãàä;;;X
AUTONAVALUNITS_TOOLTIP;This check box will toggle whether the AI should assign naval attachments for you.;Cela détermine si l'IA assignera pour vous des brigades à vos navires;Questo bottone deciderà se l'intelligenza artificiale debba assegnare le aggiunte navali al posto tuo.;Esta casilla de confirmación determinará si la IA asignará nuevos agregados navales por ti.;Diese Checkbox bestimmt ob die KI Schiffsverbesserungen automatisch für Sie zuweisen soll.;Zaznaczaj¹c to pole wyboru, sprawisz ¿e komputer automatycznie do³¹czy ulepszenia do okrêtów.;Marque esta caixa de seleção para que a IA decida a quais unidades navais atribuir melhorias.;Êîìïüşòåğ ìîæåò ñàì ğàñïğåäåëÿòü ïğîèçâåäåííûå áğèãàäû ïî êîğàáëÿì.;;;X
BUTTON_SHOW_ARROWS_IN_DRO;This will enable you to see all your units' movement arrows on the map.;Active la visualisation permanente des flèches de mouvements de vos troupes sur la carte.;Questo ti permetterà di vedere le frecce direzionali di tutte le tue unità sulla mappa.;Esto te permite ver todas las flechas de movimiento de tus unidades en el mapa.;Zeigt die Bewegungsrichtung aller sich bewegenden Einheiten an.;To umo¿liwi zobaczenie ruchów wszystkich jednostek na mapie.;Marque para mostrar permanentemente as setas de movimentos de suas unidades no mapa.;İòî ïîçâîëèò âàì âèäåòü íàïğàâëåíèå äâèæåíèÿ âñåõ âàøèõ ÷àñòåé íà êàğòå.;;;X
BUTTON_SHOW_ARROWS_IN_IRO;Show Arrows (*);Directions des divisions visibles (*);Mostra le frecce (*);Mostrar flechas (*);Bewegungspfeile anzeigen (*);Pokazuj strza³ki (*);Mostrar Setas de Movimento (*);Ïîêàçàòü ñòğåëêè (*);;;X
EXTRA_DONT_HAVE1;You don't have the technology to build;Vous n'avez pas les connaissances;Non possiedi le tecnologie per fornire;No tienes la tecnología necesaria para construir;Sie haben nicht die Technologie,;Nie posiadasz odpowiedniej technologii do budowy;Você não tem a tecnologia necessária para construir;Óğîâåíü âàøèõ òåõíîëîãèé íå ïîçâîëÿåò ñòğîèòü;;;X
EXTRA_DONT_HAVE2;any attachments.;nécessaires à la construction d'une brigade.;aggiunte.;agregado(s).;um Brigaden/Verbesserungen zu bauen.;jakichkolwiek brygad.;melhorias/unidades subordinadas.;íèêàêèå áğèãàäû è óñîâåğøåíñòâîâàíèÿ;;;X
