#;Darkest Hour Core texts;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;=====================;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;TEXT COLORS:;;;;;;;;;;X
##;§A = 0,64,0;;;;;;;;;;X
##;§B = 0,0,192;;;;;;;;;;X
##;§C = 128,0,0;;;;;;;;;;X
##;§D = 255,255,0;;;;;;;;;;X
##;§E = 255,0,255;;;;;;;;;;X
##;§F = 255,128,0;;;;;;;;;;X
##;§G = 0,100,0;;;;;;;;;;X
##;§H = 128,128, 128;;;;;;;;;;X
##;§I = 0,0,255;;;;;;;;;;X
##;§J = 0,192,0;;;;;;;;;;X
##;§M = 100,255,100;;;;;;;;;;X
##;§N = 255,100,100;;;;;;;;;;X
##;§R = 240,0,0;;;;;;;;;;X
##;§W = 255,255,255;;;;;;;;;;X
##;§Y = 208,232,248;;;;;;;;;;X
##;§Z = 0,0,0;;;;;;;;;;X
##;§§ - restores old color;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not  exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X
#LANGUAGE;English;Franзais;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#########################################;;;;;;;;;;;X
######### GENERAL TEXT STRINGS #########;;;;;;;;;;;X
#########################################;;;;;;;;;;;X
RT_AVIONICS;Avionics;Aйronautique;Aeronautica;Aeronбutica;Luftfahrttechnik;Awionika;;Авиационная электроника;;;X
RT_MUNITIONS;Munitions;Munitions;Munizioni;Municiones;Munition;Amunicja;;Снаряжение;;;X
RT_VEHICLE_ENGINEERING;Vehicle Engineering;Ingйnierie automobile;Progettazione Veicoli;Vehнculo de Ingenieros;Fahrzeugtechnik;Produkcja pojazdуw;;Транспортное машиностроение;;;X
RT_CARRIER_DESIGN;Carrier Design;Conception de Porte-Avions;Progettazione Portaerei;Diseсo de Portaaviones;Flugzeugtrдger Design;Projektowanie lotniskowcуw;;Проектирование авианосцев;;;X
RT_SUBMARINE_DESIGN;Submarine Design;Conception de Sous-marin;Progettazione Sottomarini;Diseсo de Submarinos;U-Boot Design;Projektowanie іodzi podwodnych;;Проектирование субмарин;;;X
RT_FIGHTER_DESIGN;Fighter Design;Conception de Chasseur;Progettazione Caccia;Diseсo de Cazas;Jдger Design;Projektowanie myњliwcуw;;Проектирование истребителей;;;X
RT_BOMBER_DESIGN;Bomber Design;Conception de Bombardier;Progettazione Bombardieri;Diseсo de Bombarderos;Bomber Design;Projektowanie bombowcуw;;Проектирование бомбардировщиков;;;X
RT_MOUNTAIN_TRAINING;Mountain Training;Entraоnement Alpin;Allenamento Alpino;Entrenamiento de montaсa;Gebirgstraining;Trening strzelcуw gуrskich;;Подготовка горнострелков;;;X
RT_AIRBORNE_TRAINING;Airborne Training;Entraоnement d'Aйroportйe;Allenamento Aerotrasportato;Entrenamiento Aerotransportado;Fallschirmtraining;Trening spadochroniarzy;;Подготовка ВДВ;;;X
RT_MARINE_TRAINING;Marine Training;Entraоnement de Marine;Allenamento Anfibio;Entrenamiento anfibio;Marinetraining;Trening piechoty morskiej;;Подготовка морпехов;;;X
RT_MANEUVER_TACTICS;Maneuver Tactics;Tactiques de Manњuvres;Tattiche di Manovra;Tбcticas de movilidad;Manцvertaktik;Taktyka manewrуw;;Тактика маневра;;;X
RT_BLITZKRIEG_TACTICS;Blitzkrieg Tactics;Tactiques de Blitzkrieg;Tattiche Blitzkrieg;Tбcticas 'Guerra Relбmpago';Blitzkrieg Taktik;Taktyka wojny bіyskawicznej;;Тактика блитцкрига;;;X
RT_STATIC_DEFENSE_TACTICS;Static Defense Tactics;Tactiques de Dйfense Statique;Tattiche di Difesa Statica;Tбcticas de la defensa estбtica;Statische Verteidigungstaktik;Taktyka obrony statycznej;;Тактика статичной обороны;;;X
RT_MEDICINE;Medical Science;Mйdecine;Scienza Medica;Medicina;Medizinische Wissenschaft;Nauki medyczne;;Медицинские науки;;;X
##;;;;;;;;;;;X
SPY_IND_EXT_LVL0;We are guessing that they focus their production towards %s.;Nous pensons qu'ils construisent des §Y%s§W.;Presumiamo che stiano costruendo §Y%s§W.;Creemos que pueden estar construyendo: §Y%s§W.;Wir glauben, dass sie ihre Produktion auf §Y%s§W konzentrieren.;Zgadujemy, їe mog№ budowaж §Y%s§W;;Мы предполагаем что они создают %s.;;;X
SPY_IND_EXT_LVL1;They may focus their production towards %s.;Nous estimons qu'ils construisent des §Y%s§W.;Potrebbero aver concentrato la loro produzione in §Y%s§W.;Podrнan estar concentrando su producciуn en torno a §Y%s§W.;Wir schдtzen, dass sie ihre Produktion auf §Y%s§W konzentrieren.;Mog№ skupiaж wiкkszoњж produkcji na §Y%s§W;;Вероятно, они создают %s.;;;X
SPY_IND_EXT_LVL2;They probably focus their production towards %s.;Nous sommes persuadйs qu'ils construisent des §Y%s§W.;Probabilmente hanno concentrato la loro produzione in §Y%s§W.;Probablemente estйn concentrando su producciуn en torno a §Y%s§W.;Wir sind fast sicher, dass sie ihre Produktion auf §Y%s§W konzentrieren.;Prawdopodobnie skupiaj№ produkcjк na §Y%s§W;;Скорее всего, они создают %s.;;;X
SPY_IND_EXT_LVL3;We know they focus their production towards %s.;Nous savons qu'ils construisent des §Y%s§W.;Hanno concentrato la loro produzione in §Y%s§W.;Probablemente estйn concentrando su producciуn en torno a §Y%s§W.;Wir wissen, dass sie ihre Produktion auf §Y%s§W konzentrieren.;Wiemy, їe skupiaj№ produkcjк na §Y%s§W;;Скорее всего, они создают %s.;;;X
SPY_PRODCONVOY;Merchant Marine and Escorts;Marine Marchande et Escortes.;Marina Mercantile e Unitа di Scorta;Marina mercante y escoltas;Handelsmarine und Begleitschiffe;Flota handlowa i eskortowa;;Торговый флот и конвой;;;X
SPY_PRODPROV;Province improvements;Amйliorations provinciales;Miglioramenti della provincia;mejoras provinciales;Provinzverbesserungen;Ulepszenia prowincji;;Улучшения провинции;;;X
SPY_PRODSUP;supply production;production de ravitaillement;produzione rifornimenti;producciуn de suministros;Nachschubproduktion;produkcja zaopatrzenia;;производство припасов;;;X
SPY_PRODUPGRADE;Modernizing their equipment;Modernisation de l'йquipement;Aggiornare il loro equipaggiamento;Modernizando su equipo;Modernisierung ihrer Ausrьstung;Modernizacja ich wyposaїenia;;Модернизация их оборудования;;;X
SPY_PRODREINFORCE;Replacing lost personnel and damaged equipment;Remplacement du personnel perdu et de l'йquipement endommagй;Rimpiazzare il personale perduto e l'equipaggiamento danneggiato;Sustituyendo el equipo daсado y las bajas;Ersetzen des verlorenen Personals und der beschдdigten Ausrьstung;Zastкpowanie straconego personelu i wyposaїenia;;Восполнение потерь личного состава и замена поврежденного оборудования;;;X
SPY_PRODCG;Consumer goods;Biens de consommation;Beni di consumo;Bienes de consumo;Konsumgьter;Dobra konsumpcyjne;;Потребительские товары;;;X
SPY_CONV_LVL0;We guess that they have around §Y%d§W convoy transports and around §Y%d§W escorts.;Nous pensons qu'ils ont environ  §Y%d§W convois de transport et environ §Y%d§W escortes.;Presumiamo che abbiano circa  §Y%d§W convogli e circa §Y%d§W unitа di scorta.;Supones que tienen mas o menos §Y%d§W transportes y sobre §Y%d§W barcos escolta.;Wir schдtzen, dass sie etwa  §Y%d§W Konvoischiffe und §Y%d§W Eskortschiffe haben.;Zgadujemy, їe maj№ ok. §Y%d§W konwojуw transportowych i ok. §Y%d§W okrкtуw eskorty.;;Мы предполагаем, что у них есть около §Y%d§W транспортов и примерно §Y%d§W эскортов.;;;X
SPY_CONV_LVL1;We estimate that they have around §Y%d§W convoy transports and around §Y%d§W escorts.;Nous estimons qu'ils ont environ §Y%d§W convois de transport et environ §Y%d§W escortes.;Presumiamo che abbiano circa  §Y%d§W convogli e circa §Y%d§W unitа di scorta.;Estimamos que tienen sobre  §Y%d§W transportes y sobre §Y%d§W barcos escolta.;Wir vermuten, dass sie etwa §Y%d§W Konvoischiffe und §Y%d§W Eskortschiffe haben.;Oceniamy, їe maj№ ok. §Y%d§W konwojуw transportowych i ok. §Y%d§W okrкtуw eskorty.;;Мы оцениваем их торговый флот в §Y%d§W транспортов и примерно §Y%d§W эскортов.;;;X
SPY_CONV_LVL2;We are almost sure that they have §Y%d§W convoy transports and  §Y%d§W escorts.;Nous sommes presque sыr qu'ils ont environ §Y%d§W convois de transport et environ §Y%d§W escortes.;Siamo quasi sicuri che abbiano §Y%d§W convogli e  §Y%d§W unitа di scorta.;Estamos casi seguros de que tienen sobre §Y%d§W transportes y  §Y%d§W barcos escolta.;Wir sind uns fast sicher, dass sie ьber §Y%d§W Konvoischiffe und §Y%d§W Eskortschiffe verfьgen.;Jesteњmy niemal pewni, їe maj№ ok. §Y%d§W konwojуw transportowych i ok. §Y%d§W okrкtуw eskorty.;;Мы почти уверены, что у них есть §Y%d§W транспортов и §Y%d§W эскортов.;;;X
SPY_CONV_LVL3;We know that they have §Y%d§W convoy transports and §Y%d§W escorts.;Nous sommes sыr qu'ils ont §Y%d§W convois de transport et §Y%d§W escortes.;Sappiamo che hanno §Y%d§W convogli e §Y%d§W unitа di scorta.;Sabemos que ellos tienen §Y%d§W transportes y §Y%d§W barcos escolta.;Wir wissen, dass sie ьber §Y%d§W Konvoischiffe und §Y%d§W Eskortschiffe verfьgen.;Wiemy, їe maj№ ok. §Y%d§W konwojуw transportowych i ok. §Y%d§W okrкtуw eskorty.;;Мы знаем, что у них есть §Y%d§W транспортов и §Y%d§W эскортов.;;;X
SPY_RESOURCES_LVL0;We guess that they have around §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s and §Y%d%s§W %s.;Nous pensons qu'ils ont environ §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s et §Y%d%s§W %s.;Presumiamo che abbiano circa §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s e §Y%d%s§W %s.;Supones que tienen mas o menos §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s y §Y%d%s§W %s.;Wir vermuten, dass sie ьber §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s und §Y%d%s§W %s verfьgen.;Zgadujemy, їe maj№ ok. §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s and §Y%d%s§W %s.;;Мы предполагаем, что они имеют §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s and §Y%d%s§W %s.;;;X
SPY_RESOURCES_LVL1;We estimate that they have around §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s and §Y%d%s§W %s.;Nous estimons qu'ils ont environ §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s et §Y%d%s§W %s.;Stimiamo che abbiano circa §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s e §Y%d%s§W %s.;Estimamos que tienen sobre §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s y §Y%d%s§W %s.;Wir schдtzen, dass sie ьber §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s und §Y%d%s§W %s verfьgen.;Oceniamy, їe maj№ ok. §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s and §Y%d%s§W %s.;;Мы оцениваем их запасы примерно d §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s, §Y%d%s§W %s and §Y%d%s§W %s.;;;X
