Quote;Author;FR;FR;ITA;ITA;SPA;SPA;GER;GER;POL;POL;POR;POR;RUS;RUS
'Never in the field of human conflict, has so much, been owed by so many, to so few!';Sir Winston Churchill;'Jamais un si grand nombre d'hommes n'eut une dette si immense envers une si petite poignйe de leurs semblables !';Sir Winston Churchill;'Mai nell'ambito dei conflitti umani, cosм tanto fu dovuto da cosм tanti a cosм pochi.';Sir Winston Churchill;'ЎNunca en un conflicto humano, tanta gente a debido tanto a unos pocos!';Sir Winston Churchill;'Niemals zuvor wurde in menschlichen Konflikten so wenigen, so viel, von so vielen geschuldet.';Sir Winston Churchill;'Nigdy dot№d w historii wojen, tak wielu nie zawdziкczaіo tak wiele tak nielicznym.';Sir Winston Churchill;;;'Никогда еще в истории человеческих конфликтов столь многие не были обязаны столь немногим';Сэр Уинстон Черчилль
'A conservative is a man with two perfectly good legs who, however, has never learned how to walk forward.';Franklin D. Roosevelt;'Un conservateur est un homme qui a deux jambes parfaitement constituйes mais qui n'a jamais appris а marcher.';Franklin D. Roosevelt;'Un conservatore и un uomo con due gambe perfettamente a posto che perт non ha mai imparato a camminare in avanti.';Franklin D. Roosevelt;'Un conservador es un hombre con dos piernas perfectas el cual, sin embargo, nunca ha aprendido a andar hacia adelante.';Franklin D. Roosevelt;'Ein Konservativer ist ein Mann mit zwei gesunden Beinen, der nie gelernt hat vorwдrts zu gehen.';Franklin D. Roosevelt;'Konserwatysta jest czіowiekiem z dwiema doskonale zdrowymi nogami, ktуry jednak nigdy nie nauczyі siк kroczyж naprzуd.';Franklin D. Roosevelt;;;'Консерватор это человек, имеющий две отличные ноги, но, тем не менее, который никогда не научится идти вперед.';Франклин Д.Рузвельт
'Who controls the past controls the future. Who controls the present controls the past.';George Orwell;'Celui qui contrфle le passй contrфle le futur. Celui qui contrфle le prйsent contrфle le passй.';George Orwell;'Chi controlla il passato controlla il futuro. Chi controlla il presente controlla il passato.';George Orwell;'Quien controle el pasado controlarб el futuro. Quien controle el presente, controlarб el pasado.';George Orwell;Wer die Vergangenheit kontrolliert, kontrolliert die Zukunft. Wer die Gegenwart kontrolliert, kontrolliert die Vergangenheit';George Orwell;'Kto kontroluje przeszіoњж, kontroluje teї przyszіoњж. Kto kontroluje teraџniejszoњж, ten kontroluje przeszіoњж.';George Orwell;;;'Тот кто управляет прошлым, управляет будущим. Тот кто управляет настоящим, управляет прошлым';Джордж Оруэлл
'Before we're through with them, the Japanese language will be spoken only in hell!';Admiral Halsey;'Cet homme-lа, Chancelier ? J'en ferais un contrфleur des postes pour qu'il puisse а loisir lйcher des timbres а mon йfigie !';Hindenburg а propos d'Hitler;'Prima che avremo finito con loro, la lingua Giapponese sarа parlata solo all'inferno!';Admiral Halsey;'ЎCuando acabemos con ellos, el japoneses solo se hablarб en el Infierno!';Admirante Halsey;'Bevor wir mit ihnen fertig sind, wird die japanische Sprache nur noch in der Hцlle gesprochen werden!';Admiral Halsey;'Zanim z nimi skoсczymy, po japoсsku bкdzie siк mуwiіo jedynie w piekle!';Admiraі Halsey;;;'Когда мы закончим войну, по-японски будут говорить только в аду!';Адмирал Уильям Хэлси
'Germany must either be a world power or there will be no Germany.';Adolf Hitler;'L'Allemagne sera une puissance mondiale ou ne sera pas.';Adolf Hitler;'La Germania sarа un potenza mondiale o non ci sarа una Germania.';Adolf Hitler;'Alemania debe ser una potencia mundial o no habrб una Alemania ';Adolf Hitler;'Deutschland muss eine Weltmacht sein, oder es wird kein Deutschland mehr geben.';Adolf Hitler;'Niemcy musz№ byж potкg№ њwiatow№ lub nie bкdzie Niemiec.';Adolf Hitler;;;'Германия должна править миром или мир уничтожит Германию.';Адольф Гитлер
'Which would your men rather be, tired, or dead?';Erwin Rommel;'Que prйfйrez-vous, que vos hommes soient fatiguйs ou qu'ils soient morts ?';Erwin Rommel;'Che cosa preferirebbero essere i vostri uomini, stanchi oppure morti?';Erwin Rommel;'їQuй prefieren vuestros hombres, estar cansados o estar muertos?';Erwin Rommel;Was wдret ihr lieber Mдnner, erschцpft oder tot ?';Erwin Rommel;'Jacy woleliby byж twoi ludzie, zmкczeni, czy martwi?';Erwin Rommel;;;'Что вам больше нравится: усталость или смерть?';Эрвин Роммель
'I have seen war...I hate war.';Franklin D. Roosevelt;'J'ai vu la guerre… je hais la guerre.';Franklin D. Roosevelt;'Ho visto la guerra... Io odio la guerra.';Franklin D. Roosevelt;'He visto la guerra…Yo odio la guerra.';Franklin D. Roosevelt;Ich habe den Krieg gesehen. Ich hasse den Krieg.';Franklin D. Roosevelt;'Widziaіem wojnк… nienawidzк wojny.';Franklin D. Roosevelt;;;'Я видел войну…Я ненавижу войну.';Франклин Д.Рузвельт
'Force is the only language they understand, like bullies.';Franklin D. Roosevelt;'La force est le seul langage qu'ils comprennent, comme les bulldogs.';Franklin D. Roosevelt;'La forza и l'unico linguaggio che comprendono, come i bulli.';Franklin D. Roosevelt;'La fuerza es el ъnico idioma que comprenden, como los matones.';Franklin D. Roosevelt;'Gewalt ist die einzige Sprache die sie verstehen, wie gewцhnliche Schlдger.';Franklin D. Roosevelt;'Siіa jest jedynym jкzykiem jaki rozumiej№, jak opryszkowie.';Franklin D. Roosevelt;;;'Сила, это единственный аргумент, который они понимают. Как хулиганы.';Франклин Д.Рузвельт
'It is evil things we shall be fighting against, brute force, bad faith, injustice, oppression and persecution.';Neville Chamberlain;'Hitler me met toujours devant le fait accompli. Cette fois, je vais lui rendre la monnaie de sa piиce. Il dйcouvrira par la presse que j'ai occupй la Grиce.';Benito Mussolini;'Noi combatteremo contro la malvagitа, la forza bruta, la cattiva fede, l'ingiustizia, l'oppressione e la persecuzione.';Neville Chamberlain;'Es la maldad contra lo que nosotros debemos luchar, la fuerza bruta, la mala fe, la injusticia, la opresiуn y la persecuciуn.';Neville Chamberlain;Es sind die bцsen Dinge gegen die wir kдmpfen sollten, brutale Gewalt, Ungerechtigkeit, Unterdrьckung und Verfolgung.';Neville Chamberlain;'To przeciw zіym rzeczom bкdziemy walczyж, przeciwko brutalnej sile, zіej woli, niesprawiedliwoњci, uciskowi i oskarїeniom.';Neville Chamberlain;;;'То зло, против которого мы дожны бороться - грубая сила, недобросовестность, несправедливость, притеснение и преследование.';Невилл Чемберлен
'Without ships, we cannot live.';Sir Winston Churchill;'Les avions sont des jouets sans aucune valeur militaire.';Marйchal Foch, 1911;'Senza navi, non possiamo vivere.';Sir Winston Churchill;'Sin barcos, no podemos vivir.';Sir Winston Churchill;Ohne Schiffe kцnnen wir nicht ьberleben.';Sir Winston Churchill;'Bez statkуw nie przeїyjemy.';Sir Winston Churchill;;;'Мы не можем жить без флота.';Уинстон Черчилль
