MODEL_AFG_4_0;CV-33;CV-33;CV-33;CV-33;CV-33;CV-33;;CV-33;;;X
MODEL_AFG_4_1;LT vs.35;LT vs.35;LT vs.35;LT vs.35;LT vs.35;LT vs.35;;LT vs.35;;;X
MODEL_AFG_4_2;BT-7;BT-7;BT-7;BT-7;BT-7;BT-7;;¡“-7;;;X
MODEL_AFG_5_0;BT-7M;BT-7M;BT-7M;BT-7M;BT-7M;BT-7M;;¡“-7Ã;;;X
MODEL_AFG_5_1;T-34 m.41;T-34 m.41;T-34 m.41;T-34 m.41;T-34 m.41;T-34 m.41;;T-34-76;;;X
MODEL_AFG_5_2;T-34 m.44;T-34 m.44;T-34 m.44;T-34 m.44;T-34 m.44;T-34 m.44;;T-34-85;;;X
MODEL_AFG_13_0;Hawker Hind;Hawker Hind;Hawker Hind;Hawker Hind;Hawker Hind;Hawker Hind;;Hawker Hind;;;X
MODEL_AFG_17_1;Breda Ba.25;Breda Ba.25;Breda Ba.25;Breda Ba.25;Breda Ba.25;Breda Ba.25;;Breda Ba.25;;;X
MODEL_ALB_4_0;CV-35;CV-35;CV-35;CV-35;CV-35;CV-35;;CV-35;;;X
MODEL_ALB_4_1;L.3/38;L.3/38;L.3/38;L.3/38;L.3/38;L.3/38;;L.3/38;;;X
MODEL_ALB_4_2;L.6/40;L.6/40;L.6/40;L.6/40;L.6/40;L.6/40;;L.6/40;;;X
MODEL_ALB_5_0;M.13/40;M.13/40;M.13/40;M.13/40;M.13/40;M.13/40;;M.13/40;;;X
MODEL_ALB_5_1;M.15/42;M.15/42;M.15/42;M.15/42;M.15/42;M.15/42;;M.15/42;;;X
MODEL_ALB_5_2;M.18/43 Sahariano;M.18/43 Sahariano;M.18/43 Sahariano;M.18/43 Sahariano;M.18/43 Sahariano;M.18/43 Sahariano;;M.18/43 Sahariano;;;X
MODEL_ARG_4_0;M1A2;M1A2;M1A2;M1A2;M1A2;M1A2;;M1A2;;;X
MODEL_ARG_4_1;L-60S;L-60S;L-60S;L-60S;L-60S;L-60S;;L-60S;;;X
MODEL_ARG_4_2;LT vz. 38;LT vz. 38;LT vz. 38;LT vz. 38;LT vz. 38;LT vz. 38;;LT vz. 38;;;X
MODEL_ARG_5_0;Nahuel D.L.43;Nahuel D.L.43;Nahuel D.L.43;Nahuel D.L.43;Nahuel D.L.43;Nahuel D.L.43;;Nahuel D.L.43;;;X
MODEL_ARG_5_1;M4A1 Sherman;M4A1 Sherman;M4A1 Sherman;M4A1 Sherman;M4A1 Sherman;M4A1 Sherman;;M4A1 Sherman;;;X
MODEL_ARG_5_2;M4/E8 Sherman;M4/E8 Sherman;M4/E8 Sherman;M4/E8 Sherman;M4/E8 Sherman;M4/E8 Sherman;;M4/E8 Sherman;;;X
MODEL_ARG_5_3;M26 Pershing;M26 Pershing;M26 Pershing;M26 Pershing;M26 Pershing;M26 Pershing;;M26 Pershing;;;X
