##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;=====================;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;TEXT COLORS:;;;;;;;;;;X
##;§A = 0,64,0;;;;;;;;;;X
##;§B = 0,0,192;;;;;;;;;;X
##;§C = 128,0,0;;;;;;;;;;X
##;§D = 255,255,0;;;;;;;;;;X
##;§E = 255,0,255;;;;;;;;;;X
##;§F = 255,128,0;;;;;;;;;;X
##;§G = 0,100,0;;;;;;;;;;X
##;§H = 128,128, 128;;;;;;;;;;X
##;§I = 0,0,255;;;;;;;;;;X
##;§J = 0,192,0;;;;;;;;;;X
##;§M = 100,255,100;;;;;;;;;;X
##;§N = 255,100,100;;;;;;;;;;X
##;§R = 240,0,0;;;;;;;;;;X
##;§W = 255,255,255;white;;;;;;;;;X
##;§Y = 208,232,248;orange;;;;;;;;;X
##;§Z = 0,0,0;;;;;;;;;;X
##;§§ - restores old color;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not  exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X
#LANGUAGE;English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
##;;;;;;;;;;;X
RT_USER_1;User tech component 1;Composant tech perso 1;Componente tecnologico 1;Tecnologнa personalizada 1;Bestandteil der Benutzertechnologie 1;Komponent technologiczny 1;;Компонент технологии 1;;;X
RT_USER_2;User tech component 2;Composant tech perso 2;Componente tecnologico 2;Tecnologнa personalizada 2;Bestandteil der Benutzertechnologie 2;Komponent technologiczny 2;;Компонент технологии 2;;;X
RT_USER_3;User tech component 3;Composant tech perso 3;Componente tecnologico 3;Tecnologнa personalizada 3;Bestandteil der Benutzertechnologie 3;Komponent technologiczny 3;;Компонент технологии 3;;;X
RT_USER_4;User tech component 4;Composant tech perso 4;Componente tecnologico 4;Tecnologнa personalizada 4;Bestandteil der Benutzertechnologie 4;Komponent technologiczny 4;;Компонент технологии 4;;;X
RT_USER_5;User tech component 5;Composant tech perso 5;Componente tecnologico 5;Tecnologнa personalizada 5;Bestandteil der Benutzertechnologie 5;Komponent technologiczny 5;;Компонент технологии 5;;;X
RT_USER_6;User tech component 6;Composant tech perso 6;Componente tecnologico 6;Tecnologнa personalizada 6;Bestandteil der Benutzertechnologie 6;Komponent technologiczny 6;;Компонент технологии 6;;;X
RT_USER_7;User tech component 7;Composant tech perso 7;Componente tecnologico 7;Tecnologнa personalizada 7;Bestandteil der Benutzertechnologie 7;Komponent technologiczny 7;;Компонент технологии 7;;;X
RT_USER_8;User tech component 8;Composant tech perso 8;Componente tecnologico 8;Tecnologнa personalizada 8;Bestandteil der Benutzertechnologie 8;Komponent technologiczny 8;;Компонент технологии 8;;;X
RT_USER_9;User tech component 9;Composant tech perso 9;Componente tecnologico 9;Tecnologнa personalizada 9;Bestandteil der Benutzertechnologie 9;Komponent technologiczny 9;;Компонент технологии 9;;;X
RT_USER_10;User tech component 10;Composant tech perso 10;Componente tecnologico 10;Tecnologнa personalizada 10;Bestandteil der Benutzertechnologie 10;Komponent technologiczny 10;;Компонент технологии 10;;;X
RT_USER_11;User tech component 11;Composant tech perso 11;Componente tecnologico 11;Tecnologнa personalizada 11;Bestandteil der Benutzertechnologie 11;Komponent technologiczny 11;;Компонент технологии 11;;;X
RT_USER_12;User tech component 12;Composant tech perso 12;Componente tecnologico 12;Tecnologнa personalizada 12;Bestandteil der Benutzertechnologie 12;Komponent technologiczny 12;;Компонент технологии 12;;;X
RT_USER_13;User tech component 13;Composant tech perso 13;Componente tecnologico 13;Tecnologнa personalizada 13;Bestandteil der Benutzertechnologie 13;Komponent technologiczny 13;;Компонент технологии 13;;;X
RT_USER_14;User tech component 14;Composant tech perso 14;Componente tecnologico 14;Tecnologнa personalizada 14;Bestandteil der Benutzertechnologie 14;Komponent technologiczny 14;;Компонент технологии 14;;;X
RT_USER_15;User tech component 15;Composant tech perso 15;Componente tecnologico 15;Tecnologнa personalizada 15;Bestandteil der Benutzertechnologie 15;Komponent technologiczny 15;;Компонент технологии 15;;;X
RT_USER_16;User tech component 16;Composant tech perso 16;Componente tecnologico 16;Tecnologнa personalizada 16;Bestandteil der Benutzertechnologie 16;Komponent technologiczny 16;;Компонент технологии 16;;;X
##;;;;;;;;;;;X
PROV_PETROGRAD;Odinholm;Odinholm;Odinholm;Odinholm;Odinholm;Odinholm;;Odinholm;;;X
PROV_TSARITSYN;Volgograd;Volgograd;Volgograd;Volgograd;Volgograd;Volgograd;;Volgograd;;;X
PROV_POKROVSK;Pokrovsk;Pokrovsk;Pokrovsk;Pokrovsk;Pokrovsk;Pokrowsk;;Покровск;;;X
UTC_SOUTHERN_RUSSIA;Southern Russia;Russie mйridionale;Russia Meridionale;Rusia del Sur;Sьd-Russland;Rosja Poіudniowa;;Южная Россия;;;X
PRI_NORTHERN_RUSSIA;Northern Russia;Russie septentrionale;Russia Settentrionale;Rusia del Norte;Nord-Russland;Rosja Pуіnocna;;Северная Россия;;;X
##;;;;;;;;;;;X
