#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portugese;Russian;;Extra2;X
##;;;;;;;;;;;X
H_SCENARIO;Hegemonia 1.08;;;;;;;;;;X
AUS_DESC;After the German War of Unification, Austria was finally forced to submit to Germany's dominance in the Holy Roman Empire. Henceforth Austrian foreign policy would be dictated by Germany. The appearance of the Union of Rome only assured Austria's continued reliance on Germany. Where once the German army was an unloved reminder of submission, now it is an implied guarantee, for Austria shares a long border with the communists.;;;;;;;;;;X
CHI_DESC;The old Ming Empire has radically reformed itself along modern, democratic lines, and the name Ming has fallen into disuse, its rulers simply referring to their country as the 'Chinese Nation', their ambition to return all of China to the Chinese.;;;;;;;;;;X
EGY_DESC;Modern Egypt is a unique blend of English and Arab culture, ever since the establishment of a Crusader state in the Middle Ages. Arguably, Egypt's most important feature today is the Suez canal. A treaty between the Great Powers and Egypt has guaranteed the latter's independence and prosperity.;;;;;;;;;;X
ENG_DESC;The British Empire saw a steady decline in the 19th century with the loss of most of its colonies to war or rebellion. Once stretching across the entire world, all that is left of Britain's colonies is now her holdings in Korea, Borneo and Taiwan. Making friends with old enemies in the face of a growing reactionary and communist threat, Great Britain joined with Iberia and Russia in forming the League of Democracies in 1930. Together with her new allies, can Britain reclaim her past glory and achieve dominance of the seas once more?;;;;;;;;;;;x
GER_DESC;Germany was united in 1880 by the Kingdom of Swabia after defeating Austria in the German Leadership War. A second victory against Austria forced the old rival to become a part of the Reich, though it retained a degree of autonomy. The late 19th and early 20th century were good times for Germany, its rapidly growing industry and vast colonial empire turning it into one of the most prosperous countries in the world whilst remaining an absolute monarchy under German Monarch and Holy Roman Emperor Frederick II. However, in the 1930s the Great Depression threw the German Empire into social and economic chaos. The ranks of democratic and communist movements swelled, as did those of the radical reactionary defenders of the crown. After being crowned in 1934, Waldemar VII sided with the reactionaries, but can even the support of the military and aristocracy help the young Kaiser keep his Empire together?;;;;;;;;;;;x
LIT_DESC;Lithuania rose to prominence in the east after the collapse of the Finnish Empire, expanding its territory eastward and westward, bringing Ukraine, Poland, the Baltic and Russia into its domain. The Lithuanian Empire faced rebellion and dissent throughout the 19th century, and was forced to compromise with Poland and establish a dual monarchy after the loss of Russia in the Russian Rebellion. Even so, Lithuania fell into a spiral of decline from which it has only recently begun to recover. Victory in the Russian-Lithuanian war was only achieved with German help, and the territories seized from Russia in the peace treaty remain a point of contention. Can Lithuania hold on to its culturally diverse Empire in this age of war and nationalism?;;;;;;;;;;x
MEX_DESC;The Republic of Mazula, spanning a full half of the North American Continent, has seen a period of decline in recent years, its unregulated markets hit harder than any other by the Great Depression and its army soundly defeated in North American War by the American Federation, throwing the country into political turmoil. A new president, Hamid-el-Hamman has promised to restore both the economy and military and drive the Americans out of Mazula, but it remains to see whether he can keep his promises without sacrificing some of the liberties Mazulans cherish.;;;;;;;;;;X
PHI_DESC;The Tagalog Republic has been colonised by the British in the 16th century, and has gained its independence at the end of the 18th century. Recently it has rechristened itself a Socialist Republic.;;;;;;;;;;X
ROM_DESC;Roumania was only given autonomy fairly recently by Lithuania and is ruled by a Lithuanian strongman who ruthlessly exploits the country to fund its oversized military to protect against a potential Union attack.;;;;;;;;;;X
