CATEGORY;VERYEASY;EASY;NORMAL;HARD;VERYHARD;BLANK;X
HUMAN;;;;;;;X
INDUSTRY;0;0;0;0;0;;X
RESOURCES;0;0;-5;0;0;;X
MANPOWER;0;0;0;0;0;;X
RESEARCH;0;0;0;0;0;;X
ORGANISATION;0;0;0;0;0;;X
COMBAT;0;0;0;0;0;;X
MOVE_SPEED;0;0;0;0;0;;X
DISSENT;0;0;0;0;0;;X
DIPLOMACY;0;0;0;0;0;;X
INTELLIGENCE;20;10;0;-10;-20;;X
STOCKPILES;0;0;0;0;0;0;X
#;;;;;;;X
AI;;;;;;;X
INDUSTRY;-20;-10;10;10;20;;X
RESOURCES;-20;-10;5;10;20;;X
MANPOWER;-20;-10;0;10;20;;X
RESEARCH;-20;-10;8;10;20;;X
ORGANISATION;-20;-10;0;10;20;;X
COMBAT;-20;-10;0;10;20;;X
MOVE_SPEED;-20;-10;0;10;20;;X
DISSENT;-20;-10;0;10;20;;X
DIPLOMACY;-20;-10;0;10;20;;X
INTELLIGENCE;-20;-10;0;10;20;;X
STOCKPILES;0;0;0;0;0;0;X
#;;;;;;;X
AXIS;;;;;;;X
INDUSTRY;0;0;0;0;0;;X
RESOURCES;0;0;0;0;0;;X
MANPOWER;0;0;0;0;0;;X
RESEARCH;0;0;0;0;0;;X
ORGANISATION;0;0;0;0;0;;X
COMBAT;0;0;0;0;0;;X
MOVE_SPEED;0;0;0;0;0;;X
DISSENT;0;0;0;0;0;;X
DIPLOMACY;0;0;0;0;0;;X
INTELLIGENCE;0;0;0;0;0;;X
STOCKPILES;0;0;0;0;0;0;X
#;;;;;;;X
ALLIES;;;;;;;X
INDUSTRY;0;0;0;0;0;;X
RESOURCES;0;0;0;0;0;;X
MANPOWER;0;0;0;0;0;;X
RESEARCH;0;0;0;0;0;;X
ORGANISATION;0;0;0;0;0;;X
COMBAT;0;0;0;0;0;;X
MOVE_SPEED;0;0;0;0;0;;X
DISSENT;0;0;0;0;0;;X
DIPLOMACY;0;0;0;0;0;;X
INTELLIGENCE;0;0;0;0;0;;X
STOCKPILES;0;0;0;0;0;0;X
#;;;;;;;X
COMINTERN;;;;;;;X
INDUSTRY;0;0;0;0;0;;X
RESOURCES;0;0;0;0;0;;X
MANPOWER;0;0;0;0;0;;X
RESEARCH;0;0;0;0;0;;X
ORGANISATION;0;0;0;0;0;;X
COMBAT;0;0;0;0;0;;X
MOVE_SPEED;0;0;0;0;0;;X
DISSENT;0;0;0;0;0;;X
DIPLOMACY;0;0;0;0;0;;X
INTELLIGENCE;0;0;0;0;0;;X
STOCKPILES;0;0;0;0;0;0;X
#;;;;;;;X
NEUTRAL;;;;;;;X
INDUSTRY;0;0;0;0;0;;X
RESOURCES;0;0;0;0;0;;X
MANPOWER;0;0;0;0;0;;X
RESEARCH;0;0;0;0;0;;X
ORGANISATION;0;0;0;0;0;;X
COMBAT;0;0;0;0;0;;X
MOVE_SPEED;0;0;0;0;0;;X
DISSENT;0;0;0;0;0;;X
DIPLOMACY;0;0;0;0;0;;X
INTELLIGENCE;0;0;0;0;0;;X
STOCKPILES;0;0;0;0;0;0;X
EOF;;;;;;;X
