Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Bardolff;2700;U09;1930;1930;1990;1990;2;5;516;1;0;3;0;L2700;1930;1960;x
Barger;2701;U09;1930;1940;1990;1990;3;4;0;1;0;4;0;L2701;1930;1960;x
Bassler;2702;U09;1930;1939;1990;1990;2;4;1;1;0;5;0;L2702;1930;1941;x
Beyer;2703;U09;1930;1930;1930;1990;1;6;528;2;0;4;0;L2703;1930;1960;x
Bornemann;2704;U09;1930;1941;1990;1990;3;5;0;1;0;4;0;L2704;1930;1960;x
Britzelmayr;2705;U09;1944;1990;1990;1990;3;4;0;0;0;2;0;L2705;1944;1960;x
Eglseer;2706;U09;1930;1990;1990;1990;3;5;256;1;0;3;0;L2706;1930;1960;x
Eppich;2707;U09;1930;1990;1990;1990;3;5;256;0;0;5;0;L2707;1930;1960;x
Ernst;2708;U09;1930;1930;1939;1990;2;7;513;1;0;5;0;L2708;1930;1941;x
Feurstein;2709;U09;1930;1930;1990;1990;2;5;256;1;0;4;0;L2709;1930;1960;x
Gebauer;2710;U09;1930;1930;1930;1990;1;4;513;1;0;5;0;L2710;1930;1940;x
Glaise-Horstenau;2711;U09;1930;1930;1990;1990;2;3;0;0;0;3;0;L2711;1930;1960;x
Gräser;2712;U09;1939;1990;1990;1990;3;5;0;0;0;5;0;L2712;1939;1960;x
Hammer;2713;U09;1930;1990;1990;1990;3;4;32;0;0;5;0;L2713;1930;1960;x
Haselmayr;2714;U09;1930;1990;1990;1990;3;5;12;0;0;3;0;L2714;1930;1960;x
Hickmann;2715;U09;1930;1939;1944;1990;2;5;32;2;0;4;0;L2715;1930;1960;x
Kienbauer;2716;U09;1930;1990;1990;1990;3;4;0;0;0;4;0;L2716;1930;1960;x
Kotik;2717;U09;1930;1930;1939;1990;2;3;513;1;0;3;0;L2717;1930;1960;x
Kritek;2718;U09;1930;1930;1940;1990;2;5;514;1;0;5;0;L2718;1930;1943;x
Kubena;2719;U09;1930;1930;1943;1945;2;5;0;3;0;4;0;L2719;1930;1960;x
Leitner;2720;U09;1930;1930;1990;1990;2;3;0;0;0;3;0;L2720;1930;1960;x
Martinek;2721;U09;1939;1990;1990;1990;3;6;384;1;0;5;0;L2721;1939;1941;x
Materna;2722;U09;1930;1990;1990;1990;3;4;8;1;0;4;0;L2722;1930;1960;x
Meixner von Zweienstamm;2723;U09;1930;1930;1938;1990;2;4;528;1;0;4;0;L2723;1930;1941;x
Mickl;2724;U09;1939;1990;1990;1990;3;5;128;0;0;3;0;L2724;1939;1943;x
Moyses;2725;U09;1938;1942;1990;1990;3;5;32;1;0;3;0;L2725;1938;1960;x
Pohl;2726;U09;1930;1943;1990;1990;3;5;0;1;0;4;0;L2726;1930;1960;x
Rendulic;2727;U09;1930;1990;1990;1990;3;6;128;1;0;2;0;L2727;1930;1960;x
Schaffarz;2728;U09;1930;1930;1990;1990;2;4;0;0;0;4;0;L2728;1930;1960;x
Schariczer von Rény;2729;U09;1930;1930;1939;1990;2;5;544;1;0;4;0;L2729;1930;1942;x
Schilhawsky;2730;U09;1930;1930;1930;1990;1;5;516;1;0;5;0;L2730;1930;1943;x
Schmidt;2731;U09;1941;1943;1990;1990;2;5;0;1;0;4;0;L2731;1941;1960;x
Schubert;2732;U09;1930;1990;1990;1990;3;4;0;0;0;5;0;L2732;1930;1960;x
Seebauer;2733;U09;1942;1945;1990;1990;2;5;128;1;0;5;0;L2733;1942;1960;x
Stümpfl;2734;U09;1930;1990;1990;1990;3;4;0;0;0;4;0;L2734;1930;1960;x
Towarek;2735;U09;1941;1990;1990;1990;3;6;64;0;0;5;0;L2735;1941;1960;x
Vaugoin;2736;U09;1930;1930;1990;1990;2;3;1;0;0;5;0;L2736;1930;1960;x
Vesely;2737;U09;1930;1990;1990;1990;3;3;0;0;0;5;0;L2737;1930;1960;x
von Brudermann;2738;U09;1930;1930;1940;1990;2;4;521;2;0;4;0;L2738;1930;1943;x
von Eimannsberger;2739;U09;1930;1930;1990;1990;2;4;513;1;0;5;0;L2739;1930;1960;x
von Hegedüs;2740;U09;1940;1943;1990;1990;2;3;2;1;0;4;0;L2740;1940;1960;x
von Hubicki;2741;U09;1930;1930;1990;1990;2;6;128;2;0;4;0;L2741;1930;1960;x
von Jahn;2742;U09;1930;1941;1990;1990;2;5;16;1;0;5;0;L2742;1930;1960;x
von Jansa;2743;U09;1930;1930;1939;1990;1;4;2;1;0;4;0;L2743;1930;1943;x
von Schönburg-Hartenstein;2744;U09;1930;1930;1940;1990;2;5;576;2;0;5;0;L2744;1930;1941;x
von Waldstätten;2745;U09;1930;1930;1990;1990;2;5;514;1;0;4;0;L2745;1930;1943;x
von Wittas;2746;U09;1930;1942;1946;1990;2;5;260;2;0;5;0;L2746;1930;1960;x
Wessely;2747;U09;1930;1939;1990;1990;2;5;528;2;0;4;0;L2747;1930;1941;x
Zaiser;2748;U09;1930;1939;1943;1990;2;5;256;2;0;4;0;L2748;1930;1960;x
Zborzil;2749;U09;1930;1943;1990;1990;3;5;0;1;0;4;0;L2749;1930;1960;x
Zehner;2750;U09;1930;1930;1930;1930;0;3;2;0;0;5;0;L2750;1930;1960;x
Hickmann;2751;U09;1939;1990;1990;1990;3;3;0;0;0;4;1;L2751;1939;1960;x
von Brudermann;2752;U09;1930;1930;1990;1990;2;3;2560;0;0;5;1;L2752;1930;1943;x
von Hegedüs;2753;U09;1930;1939;1990;1990;2;3;0;1;0;4;1;L2753;1930;1960;x
von Klopfenburg;2754;U09;1930;1990;1990;1990;3;3;0;0;0;5;1;L2754;1930;1960;x
Beyer;2755;U09;1930;1990;1990;1990;3;3;131584;1;0;4;2;L2755;1930;1941;x
Brunner;2756;U09;1941;1990;1990;1990;3;4;16384;0;0;4;2;L2756;1941;1960;x
Longin;2757;U09;1930;1990;1990;1990;3;4;32768;0;0;5;2;L2757;1930;1960;x
Löhr;2758;U09;1930;1930;1990;1990;2;6;16384;1;0;3;2;L2758;1930;1960;x
Schöbel;2759;U09;1939;1990;1990;1990;3;4;0;1;0;4;2;L2759;1939;1941;x
Seebauer;2760;U09;1942;1945;1990;1990;2;5;4096;1;0;5;2;L2760;1942;1960;x
Vodepp;2761;U09;1939;1990;1990;1990;3;4;0;0;0;5;2;L2761;1939;1943;x
von Jahn;2762;U09;1941;1990;1990;1990;3;3;0;0;0;5;2;L2762;1941;1960;x
von Klopfenburg;2763;U09;1940;1990;1990;1990;3;3;131072;0;0;5;2;L2763;1940;1960;x
Yllam;2764;U09;1930;1930;1939;1990;2;5;4608;3;0;4;2;L2764;1930;1942;x
Klimann;2765;U09;1930;1990;1990;1990;3;3;2;0;0;5;0;L2765;1930;1960;x
Knaus;2766;U09;1930;1990;1990;1990;3;3;128;0;0;5;0;L2766;1930;1960;x
Reinl;2767;U09;1930;1990;1990;1990;3;4;64;0;0;5;0;L2767;1930;1960;x
Schenck;2768;U09;1930;1990;1990;1990;3;3;1;0;0;5;0;L2768;1930;1960;x
Kuttelwascher;2770;U09;1930;1930;1990;1990;2;4;4096;0;0;2;2;L18050;1930;1960;x
Skorzeny;2771;U09;1945;1990;1990;1990;3;8;272;2;0;5;0;L528;1945;1960;x
Fitzhum;2772;U09;1943;1990;1990;1990;3;5;1;1;0;5;0;L499;1943;1960;x
Kutschera;2773;U09;1942;1990;1990;1990;3;5;4;1;0;5;0;L513;1942;1960;x
