Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Chi Xieyuan;502301;U74;1930;1930;1930;1930;0;2;512;1;0;4;0;M52017;1930;1960;x
Bao Wenyue;502302;U74;1930;1930;1930;1990;1;2;512;1;0;2;0;M52018;1930;1960;x
Liu Yufen;502303;U74;1930;1930;1930;1990;1;2;4;1;0;2;0;L502210;1930;1960;x
Zheng Dazhang;502304;U74;1930;1930;1990;1990;2;2;16;1;0;2;0;L502212;1930;1960;x
Meng Zhizhong;502305;U74;1930;1930;1990;1990;2;4;0;2;0;2;0;L502216;1930;1960;x
Sun Liangcheng;502306;U74;1938;1939;1990;1990;2;2;512;1;0;2;0;L502217;1942;1960;x
Fu Shuangying;502307;U74;1938;1939;1943;1990;1;4;0;2;0;2;0;L502226;1930;1960;x
Zhang Weixi;502308;U74;1938;1939;1943;1990;1;4;0;2;0;2;0;L502227;1930;1960;x
Sun Dianying;502309;U74;1941;1943;1990;1990;2;3;512;1;0;2;0;L502234;1942;1960;x
Ling Xiao;502310;U74;1938;1939;1943;1990;2;4;0;2;0;1;1;L502236;1930;1960;x
Yao Xijiu;502311;U74;1938;1939;1990;1990;2;5;0;1;0;4;2;L1510706;1930;1960;x
Ying Rugeng;502312;U74;1930;1930;1990;1990;2;1;512;1;0;4;0;M503101;1930;1960;x
Miou Bin;502313;U74;1938;1939;1940;1990;3;5;1;2;0;1;0;L502251;1930;1960;x
Zhang Lanfeng;502314;U74;1938;1939;1941;1990;1;2;512;1;0;1;0;L502200;1930;1960;x
Wu Huawen;502315;U74;1940;1942;1944;1990;2;3;4;1;0;1;0;L502201;1930;1960;x
Liu Peixu;502316;U74;1938;1939;1990;1990;2;4;0;2;0;1;0;L502228;1930;1960;x
Pang Bingxun;502317;U74;1930;1930;1930;1990;1;5;3;2;0;0;0;L50250;1943;1960;x
Wang Kemin;502318;U74;1930;1930;1930;1990;1;1;0;1;0;4;0;M52012;1930;1960;x
Shi Yousan;502319;U74;1930;1930;1990;1990;2;5;528;1;0;1;0;L50260;1941;1960;x
Belov;502000;U74;1930;1990;1990;1990;3;2;256;0;0;5;0;L502000;1930;1960;x
Chen Jitang;502001;U74;1930;1930;1930;1938;0;2;513;1;0;1;0;L50031;1930;1960;x
Kravelkin;502002;U74;1930;1990;1990;1990;3;2;4;0;0;5;0;L502002;1930;1960;x
Li Jishen;502003;U74;1930;1930;1930;1990;1;3;16;1;0;5;0;L502003;1930;1960;x
Li Zongren;502004;U74;1930;1939;1941;1944;1;4;4;3;0;4;0;L50186;1930;1960;x
Golukjin;502005;U74;1930;1930;1990;1990;2;2;0;0;0;5;0;L502005;1930;1960;x
Bai Chongxi;502006;U74;1930;1939;1941;1990;1;4;16;2;0;3;0;L50247;1930;1960;x
Shermentcheff;502007;U74;1930;1930;1990;1990;2;2;4;0;0;4;0;L502007;1930;1960;x
Tschevelkov;502008;U74;1930;1990;1990;1990;3;2;0;0;0;5;0;L502008;1930;1960;x
von Appel;502009;U74;1930;1942;1990;1990;3;3;128;1;0;5;0;L502009;1930;1960;x
Yu Hanmou;502010;U74;1930;1939;1990;1990;2;2;0;1;0;4;0;L502010;1930;1960;x
Belov;502011;U74;1930;1990;1990;1990;3;2;0;0;0;5;1;L502000;1930;1960;x
Dranilov;502012;U74;1930;1990;1990;1990;3;2;0;0;0;5;1;L502012;1930;1960;x
Ertelkin;502013;U74;1930;1930;1990;1990;2;3;8192;1;0;5;1;L502013;1930;1960;x
Bai Chongxi;502014;U74;1930;1939;1941;1990;1;2;0;1;0;3;1;L50247;1930;1960;x
Kulchin;502015;U74;1930;1990;1990;1990;3;2;0;0;0;5;1;L502015;1930;1960;x
Beryakin;502016;U74;1930;1990;1990;1990;3;2;0;0;0;5;2;L502016;1930;1960;x
Khripin;502017;U74;1930;1990;1990;1990;3;2;4096;0;0;5;2;L502017;1930;1960;x
Li Zongren;502018;U74;1930;1930;1941;1990;1;2;0;1;0;4;2;L50186;1930;1960;x
Lindemann;502019;U74;1930;1930;1990;1990;2;4;10;0;0;5;0;L502019;1930;1960;x
Hoffmann;502020;U74;1940;1940;1990;1990;2;4;516;1;0;5;0;L502020;1940;1960;x
Vorbrugg;502021;U74;1930;1930;1990;1990;2;4;129;1;0;5;0;L502021;1944;1960;x
Belchurkin;502100;U74;1930;1930;1990;1990;2;2;514;1;0;5;0;L503000;1930;1960;x
Fu Zuoyi;502101;U74;1930;1930;1942;1990;1;4;128;1;0;3;0;L50085;1930;1960;x
Kernichek;502102;U74;1930;1990;1990;1990;3;2;1;0;0;5;0;L503002;1930;1960;x
Li Fuying;502103;U74;1930;1940;1942;1990;2;3;0;2;0;4;0;L50174;1930;1960;x
Peng Ziqin;502104;U74;1930;1990;1990;1990;3;3;8;0;0;5;0;L503004;1930;1960;x
