Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Aflatan Pasha;340001;EGY;1930;1930;1941;1990;2;3;0;1;0;5;0;M512083;1930;1943;x
al-Nasser;340002;EGY;1945;1949;1952;1990;1;5;256;2;0;5;0;L512001;1945;1960;x
Amer;340003;EGY;1945;1990;1990;1990;3;4;4;0;0;5;0;L512002;1945;1960;x
an-Nukraishi;340004;EGY;1930;1930;1990;1990;2;3;513;1;0;5;0;M512016;1930;1942;x
as-Sadat;340005;EGY;1944;1946;1990;1990;2;5;4;1;0;3;0;L512004;1944;1960;x
Beyran Pasha;340006;EGY;1930;1930;1990;1990;2;3;514;1;0;5;0;L512005;1930;1943;x
el-Hakeem Amer;340007;EGY;1938;1939;1942;1946;1;4;0;3;0;5;0;L512006;1938;1960;x
el-Hamza Makkawi;340008;EGY;1946;1990;1990;1990;3;3;128;0;0;5;0;L512007;1946;1960;x
Fathy Pasha;340009;EGY;1930;1930;1930;1930;0;2;514;1;0;5;0;L512008;1930;1940;x
Fouad Pasha;340010;EGY;1930;1930;1990;1990;2;3;513;1;0;5;0;L512009;1930;1942;x
Ghayib;340011;EGY;1943;1946;1990;1990;2;4;128;1;0;5;0;L512010;1943;1960;x
Goktai;340012;EGY;1930;1938;1943;1990;2;5;1;2;0;5;0;L512011;1930;1960;x
Hamza;340013;EGY;1930;1990;1990;1990;3;4;16;0;0;5;0;L512012;1930;1943;x
Kamel;340014;EGY;1930;1930;1938;1990;1;3;2;1;0;5;0;M512087;1930;1945;x
Naguib;340015;EGY;1939;1942;1945;1990;1;4;1;2;0;5;0;M512088;1939;1960;x
Nashran;340016;EGY;1939;1942;1990;1990;2;3;0;1;0;5;0;M512080;1939;1960;x
Refey Pasha;340017;EGY;1930;1938;1990;1990;2;3;0;1;0;5;0;L512016;1930;1960;x
Sabry Pasha;340018;EGY;1930;1930;1930;1990;1;3;514;1;0;5;0;M512007;1930;1940;x
Saleh Pasha;340019;EGY;1930;1941;1990;1990;2;3;1;1;0;5;0;L512018;1930;1960;x
Salim Pasha;340020;EGY;1930;1939;1990;1990;2;3;0;1;0;5;0;L512019;1930;1945;x
Sirry Pasha;340021;EGY;1930;1930;1941;1990;1;4;2;1;0;5;0;L512020;1930;1946;x
Soliman;340022;EGY;1930;1938;1990;1990;2;3;0;1;0;5;0;M512048;1930;1960;x
Tabril Pasha;340023;EGY;1930;1930;1930;1990;1;4;512;1;0;5;0;L512022;1930;1939;x
