Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Ardant du Picq;870001;FRA;1930;1938;1990;1990;2;4;1;2;0;5;0;L24000;1930;1960;x
Arlabosse;870002;FRA;1930;1939;1990;1990;3;3;0;2;0;4;0;L24001;1930;1960;x
Armand;870003;FRA;1943;1990;1990;1990;3;4;1;1;0;4;0;L24002;1943;1960;x
Armingeat;870004;FRA;1937;1939;1990;1990;2;3;0;2;0;3;0;L24003;1937;1960;x
Audet;870005;FRA;1930;1938;1943;1990;3;3;2;3;0;4;0;L24005;1930;1960;x
Aymé;870006;FRA;1930;1943;1946;1990;3;4;0;3;0;3;0;L24006;1930;1960;x
Barreau;870007;FRA;1930;1990;1990;1990;3;4;64;1;0;4;0;L24007;1930;1960;x
Bastien;870008;FRA;1943;1990;1990;1990;3;4;256;1;0;3;0;L24008;1943;1960;x
Beaumont;870009;FRA;1938;1990;1990;1990;3;3;32;1;0;4;0;L24009;1938;1960;x
Blanchet;870010;FRA;1943;1946;1990;1990;3;4;4;2;0;4;0;L24016;1943;1960;x
Blaizot;870011;FRA;1940;1943;1944;1990;2;5;0;3;0;5;0;L24017;1940;1960;x
Carlès;870012;FRA;1930;1938;1990;1990;2;3;1;2;0;4;0;L24027;1930;1960;x
Carpentier;870013;FRA;1940;1944;1947;1990;3;6;1;3;0;5;0;L24028;1940;1960;x
Condé;870014;FRA;1930;1930;1930;1990;1;5;514;2;0;5;0;L24035;1930;1960;x
Corap;870015;FRA;1930;1930;1938;1990;1;6;2;2;0;5;0;L24036;1930;1960;x
Crepin-Artu;870016;FRA;1943;1990;1990;1990;3;5;4;1;0;4;0;L24038;1943;1960;x
d'Arras;870017;FRA;1930;1939;1990;1990;2;4;0;2;0;5;0;L24039;1930;1960;x
d'Harcourt;870018;FRA;1943;1990;1990;1990;3;4;256;1;0;4;0;L24040;1943;1960;x
de Bazelaire de Ruppiere;870019;FRA;1930;1938;1990;1990;2;4;513;2;0;4;0;L24041;1930;1960;x
de Benouville;870020;FRA;1944;1990;1990;1990;3;5;4;1;0;5;0;L24042;1944;1960;x
de Guillebon;870021;FRA;1944;1990;1990;1990;3;4;1;1;0;5;0;L24048;1944;1990;x
de Hesdin;870022;FRA;1942;1943;1946;1990;2;5;64;3;0;5;0;L24049;1942;1960;x
de la Porte du Theil;870023;FRA;1930;1938;1939;1990;2;4;2;3;0;5;0;L24050;1930;1960;x
de Larminat;870024;FRA;1941;1942;1943;1990;1;5;5;3;0;5;0;L24051;1941;1960;x
de Roux;870025;FRA;1938;1990;1990;1990;3;5;0;1;0;5;0;L24052;1938;1960;x
Desmazes;870026;FRA;1930;1939;1990;1990;2;3;0;2;0;4;0;L24060;1930;1960;x
Doumenc;870027;FRA;1930;1930;1930;1990;1;3;514;2;0;4;0;L24062;1930;1960;x
Doyen;870028;FRA;1930;1939;1990;1990;2;3;128;2;0;4;0;L24063;1930;1960;x
Dubuisson;870029;FRA;1930;1930;1939;1990;1;4;0;2;0;3;0;L24065;1930;1960;x
Dunoyer de Segonzac;870030;FRA;1938;1990;1990;1990;3;4;1;1;0;3;0;L24068;1938;1960;x
Garchery;870031;FRA;1930;1930;1930;1990;1;4;256;3;0;5;0;L24079;1930;1960;x
Geoffroy;870032;FRA;1946;1990;1990;1990;3;5;288;1;0;5;0;L24081;1946;1960;x
