Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Brahnos;505001;IND;1930;1990;1990;1990;3;3;32;0;0;3;0;L31500;1930;1960;x
Demestichas;505002;IND;1930;1938;1990;1990;2;3;0;1;0;4;0;L31501;1930;1960;x
Diakos;505003;IND;1930;1990;1990;1990;3;3;128;0;0;3;0;L31502;1939;1960;x
Drakos;505004;IND;1930;1930;1990;1990;2;3;0;1;0;4;0;L31503;1930;1960;x
Elfthimios;505005;IND;1930;1946;1990;1990;2;4;256;1;0;2;0;L31504;1943;1960;x
Gazes;505006;IND;1930;1943;1990;1990;2;4;0;1;0;5;0;L31955;1939;1960;x
Karassos;505007;IND;1930;1943;1990;1990;3;4;32;1;0;4;0;L31506;1939;1960;x
Kitsos;505008;IND;1930;1944;1990;1990;3;4;0;1;0;2;0;L31507;1939;1960;x
Klados;505009;IND;1930;1930;1990;1990;2;4;514;1;0;4;0;L31508;1930;1960;x
Kondylis;505010;IND;1930;1930;1930;1990;1;5;516;1;0;3;0;L31509;1930;1960;x
Kotsalos;505011;IND;1930;1942;1990;1990;3;4;64;1;0;3;0;L31510;1939;1960;x
Lavdas;505012;IND;1930;1930;1990;1990;2;3;0;0;0;4;0;L31511;1930;1960;x
Lioumpas;505013;IND;1940;1990;1990;1990;3;3;128;0;0;3;0;L31512;1940;1960;x
Ballentine;505014;IND;1943;1990;1990;1990;3;4;128;0;0;5;0;L1019;1943;1960;x
Markou;505015;IND;1930;1938;1990;1990;2;4;0;1;0;2;0;L31513;1930;1960;x
Melissinos;505016;IND;1944;1990;1990;1990;3;5;0;0;0;4;0;L31514;1944;1960;x
Metaxas;505017;IND;1930;1930;1938;1990;1;5;2;1;0;3;0;L31515;1930;1960;x
Moutouses;505018;IND;1930;1930;1990;1990;2;3;0;0;0;3;0;L31516;1930;1960;x
Papadopoulos  C.;505019;IND;1944;1990;1990;1990;3;4;256;0;0;4;0;L31518;1944;1960;x
Bhutbapool;505020;IND;1930;1990;1990;1990;3;2;0;0;0;5;0;L505015;1930;1960;x
Papageorgiou;505021;IND;1930;1943;1946;1990;2;4;0;2;0;3;0;L31520;1930;1960;x
Papagos;505022;IND;1930;1930;1930;1945;1;6;2;2;0;5;0;L31521;1930;1960;x
Papakonstinou;505023;IND;1940;1990;1990;1990;3;4;0;0;0;4;0;L31522;1940;1960;x
Paraskevopoulos;505024;IND;1930;1930;1930;1990;1;5;513;1;0;3;0;L31523;1930;1960;x
