Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Adamkavicius;130000;LIT;1939;1990;1990;1990;3;3;131;0;0;3;0;L130000;1939;1960;x
Bangerskis;130001;LIT;1930;1930;1990;1990;2;6;516;1;0;2;0;L130001;1930;1960;x
Barzda-Bradauskas;130002;LIT;1930;1938;1990;1990;2;3;0;1;0;4;0;L130002;1930;1960;x
Cepas-Cepauskas;130003;LIT;1938;1990;1990;1990;3;4;128;0;0;3;0;L130003;1938;1960;x
Galvydis-Bykauskas;130004;LIT;1930;1930;1930;1990;1;4;514;1;0;5;0;L130004;1930;1960;x
Jackus;130005;LIT;1930;1990;1990;1990;3;3;512;1;0;4;0;L130005;1930;1960;x
Jocys;130006;LIT;1939;1990;1990;1990;3;3;1;0;0;4;0;L130006;1939;1960;x
Karvelis;130007;LIT;1938;1944;1990;1990;3;5;0;1;0;2;0;L130007;1938;1960;x
Liatukas;130008;LIT;1930;1930;1940;1990;2;5;530;1;0;5;0;L130008;1930;1960;x
Macijauskas;130009;LIT;1942;1990;1990;1990;3;4;0;0;0;2;0;L130009;1942;1960;x
Musteikis;130010;LIT;1930;1930;1990;1990;2;3;0;1;0;3;0;L130010;1930;1960;x
Nagevitchius;130011;LIT;1930;1939;1990;1990;3;3;514;1;0;4;0;L130011;1930;1960;x
Papieliushko;130012;LIT;1937;1990;1990;1990;3;3;0;0;0;3;0;L130012;1937;1960;x
Plechavicius;130013;LIT;1942;1945;1990;1990;2;4;32;1;0;2;0;L130013;1942;1960;x
Radus-Zenkavicius;130014;LIT;1938;1990;1990;1990;3;3;0;0;0;4;0;L130014;1938;1960;x
Ramanasukas-Vanagas;130015;LIT;1944;1990;1990;1990;3;5;16;0;0;3;0;L130015;1944;1960;x
Rastikis;130016;LIT;1930;1930;1938;1990;1;4;0;2;0;3;0;L130016;1930;1960;x
Reklatis;130017;LIT;1930;1938;1990;1990;2;3;0;1;0;3;0;L130017;1930;1960;x
Snieckus;130018;LIT;1943;1990;1990;1990;3;4;1;0;0;2;0;L130018;1943;1960;x
Sutkus;130019;LIT;1937;1943;1990;1990;3;4;0;1;0;5;0;L130019;1937;1960;x
Tallat-Kelpsa;130020;LIT;1942;1990;1990;1990;3;3;0;0;0;3;0;L130020;1942;1960;x
