Almazan;170001;MEX;1941;1945;1990;1990;3;5;32;1;0;1;0;L4500;1941;1960;x
Alvarez Algrea;170002;MEX;1930;1990;1990;1990;3;4;128;0;0;5;0;L4501;1930;1946;x
Amaro Dominguez;170003;MEX;1930;1938;1990;1990;2;6;16;1;0;5;0;L4502;1930;1944;x
Ávila Camacho;170004;MEX;1930;1930;1940;1990;1;5;0;1;0;5;0;L4503;1930;1945;x
Ballestreros Miranda;170005;MEX;1939;1990;1990;1990;3;4;32;0;0;1;0;L4504;1939;1960;x
Calles del Rio;170006;MEX;1938;1941;1990;1990;2;4;128;1;0;3;0;L4505;1938;1945;x
Calles Plutarco;170007;MEX;1930;1930;1990;1990;2;4;2;1;0;3;0;L4506;1930;1939;x
Cardenas del Rio;170008;MEX;1930;1930;1930;1990;1;4;2;1;0;5;0;L4507;1930;1944;x
Cardenas Rodriguez;170009;MEX;1942;1945;1990;1990;3;6;256;1;0;5;0;L4508;1942;1960;x
Díaz Ovalle;170010;MEX;1930;1939;1990;1990;2;4;1;1;0;4;0;L4509;1930;1943;x
Estrada Reynoso;170011;MEX;1930;1930;1930;1990;1;6;513;1;0;5;0;L4510;1930;1940;x
Figueroa Figueroa;170012;MEX;1939;1943;1946;1990;2;5;2;2;0;5;0;L4511;1939;1960;x
Garcia Barragan;170013;MEX;1942;1944;1990;1990;3;6;256;1;0;5;0;L4512;1942;1960;x
Garza Siller;170014;MEX;1930;1990;1990;1990;3;4;1;0;0;3;0;L4513;1930;1939;x
Guillermo Villasina;170015;MEX;1938;1941;1990;1990;2;4;1;1;0;5;0;L4514;1938;1946;x
Hernandéz Krumm;170016;MEX;1930;1990;1990;1990;3;4;128;0;0;4;0;L4515;1930;1942;x
Hill;170017;MEX;1930;1930;1990;1990;2;6;516;1;0;5;0;L4516;1930;1939;x
Jara Corona;170018;MEX;1939;1942;1990;1990;2;4;0;1;0;5;0;L4517;1939;1960;x
Lara Viejo;170019;MEX;1940;1990;1990;1990;3;4;4;1;0;4;0;L4518;1940;1960;x
Limon Marquez;170020;MEX;1939;1942;1945;1990;2;5;4;2;0;5;0;L4519;1939;1960;x
Macias Valenzuela;170021;MEX;1939;1941;1990;1990;2;5;0;1;0;5;0;L4520;1939;1947;x
Mugica Valdéz;170022;MEX;1930;1930;1990;1990;2;6;528;1;0;2;0;L4521;1930;1939;x
Olachea Aviles;170023;MEX;1943;1946;1990;1990;3;7;256;1;0;5;0;L4522;1943;1960;x
Palafox;170024;MEX;1930;1930;1930;1990;1;4;64;1;0;2;0;L4523;1930;1938;x
Pro Díaz;170025;MEX;1939;1990;1990;1990;3;4;2;0;0;3;0;L4524;1939;1960;x
Quiroga Escamilla;170026;MEX;1930;1939;1942;1990;1;5;0;2;0;5;0;L4525;1930;1947;x
Ramos Santos;170027;MEX;1941;1945;1990;1990;3;5;1;1;0;3;0;L4526;1941;1960;x
Rojas Razo;170028;MEX;1943;1990;1990;1990;3;5;128;0;0;5;0;L4527;1943;1960;x
Salgado Cordero;170029;MEX;1945;1990;1990;1990;3;4;0;0;0;5;0;L4528;1945;1960;x
Serrano;170030;MEX;1930;1930;1990;1990;2;6;513;1;0;3;0;L4529;1930;1941;x
Urquizo Benavides;170031;MEX;1930;1939;1990;1990;2;5;4;1;0;5;0;L4530;1930;1945;x
Zapata Vera;170032;MEX;1938;1990;1990;1990;3;4;32;0;0;5;0;L4531;1938;1946;x
Ángel Castillo;170033;MEX;1943;1945;1990;1990;3;5;0;1;0;5;1;L4532;1943;1960;x
Coello Ochoa;170034;MEX;1930;1990;1990;1990;3;4;1024;0;0;5;1;L4533;1930;1941;x
Corona;170035;MEX;1937;1939;1942;1990;1;5;0;1;0;5;1;L4534;1937;1960;x
Del Mercado;170036;MEX;1938;1942;1990;1990;2;4;0;1;0;5;1;L4535;1938;1946;x
Gomez Maqueo;170037;MEX;1941;1943;1990;1990;2;4;0;1;0;5;1;L4536;1941;1960;x
Macias Alvarez;170038;MEX;1930;1930;1990;1990;2;6;8704;1;0;5;1;L4537;1930;1941;x
Meixueiro Alejandre;170039;MEX;1943;1990;1990;1990;3;4;0;0;0;5;1;L4538;1943;1960;x
Niembro Almazán;170040;MEX;1944;1990;1990;1990;3;4;4096;0;0;5;1;L4539;1944;1960;x
Othon Blanco;170041;MEX;1930;1930;1930;1990;1;6;2560;1;0;5;1;L4540;1930;1939;x
Schaufelberger;170042;MEX;1944;1946;1990;1990;3;6;0;1;0;5;1;L4541;1944;1960;x
Sildar;170043;MEX;1930;1990;1990;1990;3;4;0;0;0;5;1;L4542;1930;1943;x
Toledo Hiram;170044;MEX;1930;1930;1939;1990;1;6;4608;1;0;2;1;L4543;1930;1943;x
Zermenao Araico;170045;MEX;1941;1944;1990;1990;3;5;4096;1;0;5;1;L4544;1941;1960;x
Cardenas Rodriguez;170046;MEX;1942;1945;1990;1990;3;4;0;1;0;5;2;L4545;1942;1960;x
Carranza Rodriguez;170047;MEX;1943;1990;1990;1990;3;5;4096;0;0;5;2;L4546;1943;1960;x
Espinosa Fuentes;170048;MEX;1942;1990;1990;1990;3;4;0;0;0;5;2;L4547;1942;1947;x
Espinoza Galván;170049;MEX;1941;1990;1990;1990;3;4;65536;0;0;5;2;L4548;1941;1960;x
Fernandez Lopez Portillo;170050;MEX;1944;1990;1990;1990;3;4;0;0;0;5;2;L4549;1944;1960;x
Fiero Villalobos;170051;MEX;1942;1944;1990;1990;2;5;0;1;0;5;2;L4550;1942;1960;x
Gorriz;170052;MEX;1930;1990;1990;1990;3;4;0;0;0;5;2;L4551;1930;1941;x
Guillermo Villasina;170053;MEX;1930;1930;1990;1990;2;4;0;1;0;5;2;L4552;1930;1941;x
Macias Alvarez;170054;MEX;1930;1930;1990;1990;2;5;131584;1;0;5;2;L4553;1930;1941;x
Olachea Aviles;170055;MEX;1943;1946;1990;1990;3;5;0;1;0;5;2;L4554;1943;1960;x
Rojas Razo;170056;MEX;1940;1945;1990;1990;3;5;16384;1;0;5;2;L4555;1940;1960;x
Ruiz Gavino;170057;MEX;1930;1938;1990;1990;2;6;32768;1;0;5;2;L4556;1930;1940;x
Salinas Camina;170058;MEX;1937;1940;1941;1990;1;5;4096;2;0;5;2;L4557;1937;1960;x
Salinas Carraza;170059;MEX;1941;1990;1990;1990;3;4;0;0;0;5;2;L4558;1941;1946;x
Sildar;170060;MEX;1930;1990;1990;1990;3;5;131072;0;0;5;2;L4559;1930;1943;x
Vega Santander;170061;MEX;1944;1990;1990;1990;3;4;0;0;0;5;2;L4560;1944;1960;x
Huerta;170062;MEX;1905;1911;1914;1935;3;5;0;3;0;4;0;899;1905;1935;x
Blanquet;170063;MEX;1905;1914;1935;1935;3;4;0;2;0;4;0;900;1905;1935;x
Díaz F.;170064;MEX;1908;1935;1935;1935;3;4;0;1;0;4;0;901;1908;1935;x
Reyes;170065;MEX;1897;1897;1935;1935;3;4;512;2;0;4;0;902;1897;1914;x
