Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Arana;305001;PAN;1941;1945;1990;1990;3;4;0;1;0;4;0;L210000;1941;1960;x
Arbenz Guzman;305002;PAN;1942;1990;1990;1990;3;3;0;0;0;3;0;L210001;1942;1960;x
Buenaventure Pineda;305003;PAN;1930;1930;1990;1990;2;3;1;0;0;3;0;L210002;1930;1945;x
Castillo Armas;305004;PAN;1942;1944;1990;1990;2;3;0;1;0;4;0;L210003;1942;1960;x
Chacon de Leon;305005;PAN;1930;1941;1990;1990;2;5;16;1;0;4;0;L210004;1930;1946;x
Diaz de Leon;305006;PAN;1944;1990;1990;1990;3;4;4;0;0;3;0;L210005;1944;1960;x
Flores Avendano;305007;PAN;1943;1990;1990;1990;3;4;0;0;0;4;0;L210006;1943;1960;x
Orellana;305008;PAN;1930;1930;1939;1990;1;3;2;1;0;3;0;L210007;1930;1946;x
Ortiz Escaranté;305009;PAN;1940;1990;1990;1990;3;3;256;0;0;5;0;L210008;1940;1960;x
Ponce Vaides;305010;PAN;1930;1930;1930;1990;1;3;0;1;0;3;0;L210009;1930;1945;x
Ubico Castaneda;305011;PAN;1930;1930;1930;1990;1;4;1;1;0;4;0;L210010;1930;1944;x
Villafranco Mendoza;305012;PAN;1939;1990;1990;1990;3;4;0;0;0;5;0;L210011;1939;1960;x
Villagrán Ariza;305013;PAN;1938;1943;1990;1990;2;4;64;1;0;3;0;L210012;1938;1960;x
Ydigoras Fuentes;305014;PAN;1941;1990;1990;1990;3;4;128;0;0;5;0;L210013;1941;1960;x
Ezuira Abel;305015;PAN;1930;1990;1990;1990;3;3;0;0;0;3;1;L210014;1930;1944;x
Mendoza Arauja;305016;PAN;1945;1990;1990;1990;3;3;1024;0;0;4;1;L210015;1945;1960;x
Mendoza Urribe;305017;PAN;1930;1930;1990;1990;2;3;0;1;0;4;1;L210016;1930;1944;x
Torriello Garrido;305018;PAN;1938;1942;1990;1990;2;3;8192;1;0;3;1;L210017;1938;1960;x
Buenaventure Pineda;305019;PAN;1930;1930;1990;1990;2;3;0;1;0;3;2;L210018;1930;1945;x
Garcia Granados;305020;PAN;1942;1990;1990;1990;3;3;0;0;0;3;2;L210019;1942;1960;x
Martinez Castro;305021;PAN;1944;1990;1990;1990;3;3;0;0;0;2;2;L210020;1944;1960;x
Peralta Azurdia;305022;PAN;1939;1943;1990;1990;2;4;0;1;0;3;2;L210021;1939;1960;x
Tesch Orlando;305023;PAN;1941;1945;1990;1990;2;4;0;1;0;4;2;L210022;1941;1960;x
Orellana, J.M.;305024;PAN;1908;1908;1908;1935;1;3;0;2;0;5;0;621;1908;1935;x
Chacón;305025;PAN;1908;1908;1908;1935;1;3;0;2;0;5;0;unknown;1908;1935;x
Duarte;305026;PAN;1908;1908;1908;1935;1;3;0;2;0;5;0;unknown;1908;1935;x
Letona;305027;PAN;1908;1908;1908;1935;1;3;0;2;0;5;0;unknown;1908;1935;x
Aguijar;305028;PAN;1908;1908;1935;1935;2;3;0;2;0;5;0;unknown;1908;1935;x
Orellana, L.;305029;PAN;1908;1908;1935;1935;2;3;0;2;0;5;0;unknown;1908;1935;x
Herrera;305030;PAN;1908;1908;1935;1935;2;3;0;2;0;5;0;unknown;1908;1935;x
Padilla;305031;PAN;1908;1908;1935;1935;2;3;0;2;0;5;0;unknown;1908;1935;x
Orantes;305032;PAN;1908;1908;1935;1935;2;3;0;2;0;5;0;unknown;1908;1935;x
Larrave;305033;PAN;1908;1935;1935;1935;3;3;0;2;0;5;0;unknown;1908;1935;x
Linares;305034;PAN;1908;1935;1935;1935;3;3;0;2;0;5;0;unknown;1908;1935;x
Sifuentes;305035;PAN;1908;1935;1935;1935;3;3;0;2;0;5;0;unknown;1908;1935;x
Lima;305036;PAN;1908;1935;1935;1935;3;3;0;2;0;5;0;unknown;1908;1935;x
Jiménez;305037;PAN;1908;1935;1935;1935;3;3;0;2;0;5;0;unknown;1908;1935;x
Ruiz;305038;PAN;1908;1935;1935;1935;3;3;0;2;0;5;0;unknown;1908;1935;x
Monterrosa;305039;PAN;1908;1935;1935;1935;3;3;0;2;0;5;0;unknown;1908;1935;x
Sandoval;305040;PAN;1908;1935;1935;1935;3;3;0;2;0;5;0;unknown;1908;1935;x
Mejía;305041;PAN;1908;1935;1935;1935;3;3;0;2;0;5;0;unknown;1908;1935;x
Bonilla;305042;PAN;1908;1935;1935;1935;3;3;0;2;0;5;0;unknown;1908;1935;x
Castañeda;305043;PAN;1908;1935;1935;1935;3;3;0;2;0;5;0;622;1908;1935;x
de la Espriella;310001;PAN;1945;1990;1990;1990;3;3;0;0;0;3;0;L350000;1945;1960;x
Figueres Ferrer;310002;PAN;1939;1942;1945;1990;2;5;4;2;0;2;0;L350001;1939;1960;x
Lorenzo Brenes;310003;PAN;1945;1990;1990;1990;3;3;0;0;0;3;0;L350002;1945;1960;x
Marshall Jimenéz;310004;PAN;1945;1990;1990;1990;3;3;256;0;0;5;0;L350003;1945;1960;x
Marten Chavarria;310005;PAN;1930;1942;1990;1990;2;3;2;1;0;2;0;L350004;1930;1960;x
Narvaez Guell;310006;PAN;1945;1990;1990;1990;3;3;16;0;0;3;0;L350005;1945;1960;x
Orlich Bolmarich;310007;PAN;1930;1939;1990;1990;2;3;128;1;0;3;0;L350006;1930;1945;x
Ortuno Sabrado;310008;PAN;1945;1990;1990;1990;3;3;0;0;0;3;0;L350007;1945;1960;x
Ramirez Alcantara;310009;PAN;1945;1990;1990;1990;3;3;1;0;0;3;0;L350008;1945;1960;x
Ramirez y Ramirez;310010;PAN;1930;1930;1990;1990;2;5;576;1;0;5;0;L350009;1930;1940;x
Rosendo Arguello;310011;PAN;1945;1990;1990;1990;3;3;1;0;0;2;0;L350010;1945;1960;x
Ross Cardono  E.;310012;PAN;1939;1945;1990;1990;2;3;4;1;0;3;0;L350011;1939;1960;x
Ross Cardono  S.;310013;PAN;1945;1990;1990;1990;3;3;0;0;0;3;0;L350012;1945;1960;x
Santa Reynaldo;310014;PAN;1940;1990;1990;1990;3;3;0;0;0;4;0;L350013;1940;1945;x
Sinaja Calufa;310015;PAN;1945;1945;1990;1990;2;3;0;1;0;3;0;L350014;1945;1947;x
Tinoco;310016;PAN;1930;1930;1930;1990;1;3;2;1;0;4;0;L350015;1930;1939;x
Volio Jimenéz;310017;PAN;1938;1990;1990;1990;3;3;128;0;0;3;0;L350016;1938;1946;x
Zamora  A.;310018;PAN;1930;1942;1945;1990;2;3;0;2;0;3;0;L350017;1930;1960;x
Zamora  E.;310019;PAN;1945;1990;1990;1990;3;3;0;0;0;5;0;L350018;1945;1960;x
Abreu Castro;310020;PAN;1943;1990;1990;1990;3;3;0;0;0;3;1;L350019;1943;1960;x
Juarez Camposino;310021;PAN;1939;1945;1990;1990;2;3;0;1;0;5;1;L350020;1939;1960;x
Siedler Mendoza;310022;PAN;1945;1990;1990;1990;3;3;0;0;0;4;1;L350021;1945;1960;x
Vaqueza Cortes;310023;PAN;1930;1943;1990;1990;3;3;1024;1;0;5;1;L350022;1930;1945;x
Macho Nuñez;310024;PAN;1940;1990;1990;1990;3;4;8192;0;0;3;2;L350023;1940;1945;x
Padilla Sellean;310025;PAN;1945;1990;1990;1990;3;3;0;0;0;3;2;L350024;1945;1960;x
Uribé Alpoveda;310026;PAN;1945;1990;1990;1990;3;3;0;0;0;3;2;L350025;1945;1960;x
Zamora;310027;PAN;1930;1940;1990;1990;2;3;0;1;0;3;2;L350026;1930;1960;x
