Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Martin Reault;200001;PAR;1943;1945;1946;1990;1;4;2;2;0;4;0;L240000;1943;1960;x
Huon Aubé;200002;PAR;1930;1990;1990;1990;3;3;256;0;0;5;0;L240001;1930;1941;x
Florus Achin;200003;PAR;1939;1941;1990;1990;2;4;2;1;0;5;0;L240002;1939;1960;x
Bernier;200004;PAR;1930;1930;1990;1990;2;5;2;1;0;5;0;L240003;1930;1939;x
Antoine Lapresse;200005;PAR;1941;1946;1990;1990;3;3;64;1;0;5;0;L240004;1941;1960;x
Ernest Martin;200006;PAR;1942;1990;1990;1990;3;4;0;0;0;5;0;L240005;1942;1947;x
Delgado;200007;PAR;1930;1930;1990;1990;2;4;32;0;0;5;0;L240006;1930;1940;x
Ern;200008;PAR;1930;1930;1990;1990;2;5;513;1;0;5;0;L240007;1930;1938;x
Verrill Drouin;200009;PAR;1930;1930;1930;1937;0;9;20;5;0;5;0;L240008;1930;1941;x
Franco;200010;PAR;1930;1930;1990;1990;2;2;3;0;0;5;0;L240009;1930;1938;x
Pinabel Labrie;200011;PAR;1940;1944;1990;1990;3;4;4;1;0;5;0;L240010;1940;1960;x
Rouze;200012;PAR;1930;1938;1990;1990;2;5;2;1;0;5;0;L240011;1930;1945;x
Allaire;200013;PAR;1940;1943;1990;1990;2;3;0;1;0;4;0;L240012;1940;1960;x
Irrazábal;200014;PAR;1944;1990;1990;1990;3;4;16;0;0;5;0;L240013;1944;1960;x
Maurice Grandbois;200015;PAR;1938;1942;1990;1990;2;4;128;1;0;4;0;L240014;1938;1960;x
Daniel Lebel;200016;PAR;1943;1946;1990;1990;3;5;0;1;0;5;0;L240015;1943;1960;x
Mena Rojas;200017;PAR;1945;1947;1990;1990;3;4;1;1;0;5;0;L240016;1945;1960;x
Molas Lopez;200018;PAR;1930;1930;1940;1990;1;4;0;0;0;4;0;L240017;1930;1945;x
Hardouin Allain;200019;PAR;1930;1930;1940;1990;2;4;4;1;0;4;0;L240018;1930;1946;x
Artus Duffet;200020;PAR;1930;1990;1990;1990;3;4;1;0;0;5;0;L240019;1930;1940;x
Pascal Laurent;200021;PAR;1943;1947;1990;1990;3;4;5;1;0;4;0;L240020;1943;1960;x
Jean Cormier;200022;PAR;1946;1990;1990;1990;3;3;1;0;0;5;0;L240021;1946;1960;x
Alexandre Bourque;200023;PAR;1940;1946;1990;1990;3;3;0;1;0;3;0;L240022;1940;1960;x
Arno Marquis;200024;PAR;1939;1943;1990;1990;2;4;128;1;0;5;0;L240023;1939;1960;x
Raoul Ratté;200025;PAR;1945;1990;1990;1990;3;4;1;2;0;3;0;L240024;1945;1960;x
Martin Reault;200026;PAR;1943;1945;1946;1990;1;3;0;2;0;5;1;L240000;1943;1960;x
Gaston D'Avis;200027;PAR;1940;1945;1990;1990;2;3;0;1;0;5;1;L240026;1940;1960;x
Arnaud Brousseau;200028;PAR;1930;1990;1990;1990;3;3;0;0;0;5;1;L240027;1930;1944;x
Orson Leduc;200029;PAR;1945;1990;1990;1990;3;3;0;0;0;5;2;L240028;1945;1960;x
Roger Savoie;200030;PAR;1930;1930;1990;1990;2;5;8192;1;0;5;2;L240029;1930;1941;x
Manville Jomphe;200031;PAR;1943;1990;1990;1990;3;3;0;0;0;5;2;L240030;1943;1960;x
Lothair Boisvert;200032;PAR;1930;1990;1990;1990;3;3;0;0;0;5;2;L240031;1930;1939;x
Karel Poulin;200033;PAR;1946;1990;1990;1990;3;3;0;0;0;5;2;L240032;1946;1990;x
Adrien L'Hiver;200034;PAR;1930;1990;1990;1990;3;3;0;0;0;5;2;L240033;1930;1943;x
Hugh Fortin;200035;PAR;1930;1990;1990;1990;3;5;4096;1;0;4;2;L240034;1930;1939;x
Rojas Baltassare;200036;PAR;1939;1942;1990;1990;2;4;0;1;0;4;2;L240035;1939;1960;x
