Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Andrews;325001;PHI;1943;1990;1990;1990;3;4;0;1;0;5;0;L58000;1943;1960;x
Awatere;325002;PHI;1941;1990;1990;1990;3;5;16;1;0;5;0;L58001;1941;1946;x
Barrowclough;325003;PHI;1940;1944;1990;1990;3;5;4;2;0;5;0;L58002;1940;1960;x
Burrows;325004;PHI;1940;1990;1990;1990;3;4;0;1;0;5;0;L58003;1940;1942;x
Clifton;325005;PHI;1930;1990;1990;1990;3;3;32;1;0;5;0;L58004;1930;1942;x
Cunningham;325006;PHI;1939;1990;1990;1990;3;3;0;1;0;5;0;L58005;1939;1943;x
Duigan;325007;PHI;1930;1930;1990;1990;2;4;2;1;0;5;0;L58006;1930;1941;x
Falconer;325008;PHI;1944;1990;1990;1990;3;4;4;1;0;5;0;L58007;1944;1960;x
Falla;325009;PHI;1938;1940;1990;1990;2;2;1;1;0;5;0;L58008;1938;1945;x
Fitzgerald;325010;PHI;1943;1990;1990;1990;3;4;256;1;0;5;0;L58009;1943;1960;x
Freyberg;325011;PHI;1930;1937;1939;1990;1;8;5;4;0;5;0;L58010;1930;1960;x
Gentry;325012;PHI;1930;1942;1990;1990;2;5;64;1;0;5;0;L58011;1930;1960;x
Goss;325013;PHI;1941;1990;1990;1990;3;4;0;1;0;5;0;L58012;1941;1960;x
Hanson;325014;PHI;1942;1990;1990;1990;3;5;33;1;0;5;0;L58013;1942;1946;x
Hargest;325015;PHI;1930;1990;1990;1990;3;3;64;1;0;5;0;L58014;1930;1941;x
Hunt;325016;PHI;1944;1990;1990;1990;3;4;0;1;0;5;0;L58015;1944;1960;x
Inglis;325017;PHI;1930;1942;1990;1990;2;5;128;2;0;5;0;L58016;1930;1960;x
Jameson;325018;PHI;1944;1990;1990;1990;3;4;256;1;0;5;0;L58017;1944;1960;x
Kenrick;325019;PHI;1930;1990;1990;1990;3;4;1;1;0;5;0;L58018;1930;1942;x
Kippenberger;325020;PHI;1938;1944;1990;1990;3;5;4;2;0;5;0;L58019;1938;1960;x
Mason;325021;PHI;1930;1990;1990;1990;3;3;0;1;0;5;0;L58020;1930;1943;x
McKenzie;325022;PHI;1939;1990;1990;1990;3;4;256;1;0;5;0;L58021;1939;1946;x
Mead;325023;PHI;1930;1938;1990;1990;2;4;514;1;0;5;0;L58022;1930;1942;x
Miles;325024;PHI;1930;1990;1990;1990;3;4;64;1;0;5;0;L58023;1930;1943;x
Mitchell;325025;PHI;1939;1990;1990;1990;3;4;32;1;0;5;0;L58024;1939;1946;x
Nichols;325026;PHI;1930;1930;1990;1990;2;5;512;1;0;5;0;L58025;1930;1939;x
Park;325027;PHI;1930;1941;1990;1990;2;4;0;2;0;5;0;L58026;1930;1944;x
Parkinson;325028;PHI;1940;1943;1990;1990;3;6;192;2;0;5;0;L58027;1940;1960;x
Peren;325029;PHI;1940;1990;1990;1990;3;5;256;1;0;5;0;L58028;1940;1960;x
Pleasants;325030;PHI;1945;1990;1990;1990;3;4;4;1;0;5;0;L58029;1945;1960;x
Porritt;325031;PHI;1945;1990;1990;1990;3;5;0;1;0;5;0;L58030;1945;1960;x
Puttick;325032;PHI;1930;1930;1990;1990;2;5;514;1;0;5;0;L58031;1930;1946;x
Queree;325033;PHI;1944;1990;1990;1990;3;4;2;1;0;5;0;L58032;1944;1960;x
Romans;325034;PHI;1939;1990;1990;1990;3;4;1;1;0;5;0;L58033;1939;1942;x
Row;325035;PHI;1943;1990;1990;1990;3;3;0;1;0;5;0;L58034;1943;1960;x
Russell;325036;PHI;1930;1930;1990;1990;2;4;0;1;0;5;0;L58035;1930;1941;x
Saunders;325037;PHI;1930;1990;1990;1990;3;3;0;1;0;5;0;L58036;1930;1941;x
Sinclair-Burgess;325038;PHI;1930;1930;1930;1990;1;6;514;2;0;5;0;L58037;1930;1938;x
Stevens;325039;PHI;1937;1940;1990;1990;2;3;0;2;0;5;0;L58038;1937;1945;x
Stewart;325040;PHI;1939;1942;1990;1990;2;4;128;2;0;5;0;L58039;1939;1944;x
Tuker;325041;PHI;1939;1943;1990;1990;2;6;128;2;0;5;0;L58040;1939;1960;x
Weir;325042;PHI;1938;1944;1990;1990;3;6;64;2;0;5;0;L58041;1939;1960;x
Drummond;325043;PHI;1930;1941;1990;1990;2;4;0;2;0;5;1;L58042;1930;1946;x
Faulkner;325044;PHI;1942;1990;1990;1990;3;5;8192;1;0;5;1;L58043;1942;1960;x
Field;325045;PHI;1943;1946;1990;1990;3;4;0;2;0;5;1;L58044;1943;1960;x
Hilliard;325046;PHI;1930;1943;1990;1990;2;4;1024;2;0;5;1;L58045;1930;1946;x
Horan;325047;PHI;1930;1930;1990;1990;2;5;4096;1;0;5;1;L58046;1930;1942;x
Lake;325048;PHI;1944;1990;1990;1990;3;5;0;1;0;5;1;L58047;1944;1960;x
MacDonald;325049;PHI;1938;1990;1990;1990;3;4;0;1;0;5;1;L58048;1938;1960;x
MacNulty;325050;PHI;1930;1930;1990;1990;2;4;0;1;0;5;1;L58049;1930;1940;x
Phipps;325051;PHI;1942;1990;1990;1990;3;5;0;1;0;5;1;L58050;1942;1960;x
Simpson;325052;PHI;1945;1990;1990;1990;3;4;0;1;0;5;1;L58051;1945;1960;x
Stratton;325053;PHI;1930;1930;1939;1990;1;5;0;2;0;5;1;L58052;1930;1947;x
Bayley;325054;PHI;1938;1942;1990;1990;2;4;131072;2;0;5;2;L58053;1938;1944;x
Blake;325055;PHI;1943;1945;1990;1990;2;5;131072;2;0;5;2;L58054;1943;1960;x
Carr;325056;PHI;1938;1940;1942;1945;1;6;16384;4;0;5;2;L58055;1938;1947;x
Dall-Mackie;325057;PHI;1942;1990;1990;1990;3;4;4096;1;0;5;2;L58056;1942;1946;x
Deere;325058;PHI;1930;1941;1990;1990;2;5;0;2;0;5;2;L58057;1930;1960;x
Issit;325059;PHI;1930;1939;1943;1990;1;6;0;3;0;5;2;L58058;1930;1960;x
