Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Naveed Rizwan;3400;SPA;1930;1930;1930;1960;3;4;1;0;0;5;0;L3400;1930;1960;x
Diya Faizel;3401;SPA;1930;1930;1930;1990;3;7;16;3;0;5;0;L3401;1930;1960;x
Sabriyya Ahmad;3402;SPA;1930;1937;1990;1990;2;4;0;1;0;5;0;L3402;1930;1960;x
Asad Waqar;3403;SPA;1930;1930;1990;1990;2;6;32;1;0;3;0;L3403;1930;1960;x
Barak Basir;3404;SPA;1941;1943;1990;1990;2;4;0;1;0;5;0;L3404;1941;1960;x
Rafiq Sulayman;3405;SPA;1930;1937;1942;1990;2;6;0;2;0;5;0;L3405;1930;1960;x
Kamil Ziya;3406;SPA;1930;1990;1990;1990;3;4;0;0;0;4;0;L3406;1930;1960;x
Khaled Javed;3407;SPA;1930;1990;1990;1990;3;7;64;0;0;5;0;L3407;1930;1960;x
Hikmat Yaqub;3408;SPA;1930;1930;1990;1990;2;4;0;0;0;5;0;L3408;1930;1960;x
Abd-al-Hamid Fadil;3409;SPA;1937;1941;1990;1990;3;5;2;1;0;5;0;L3409;1937;1960;x
Anass Isma'il;3410;SPA;1938;1990;1990;1990;3;4;0;0;0;5;0;L3410;1938;1960;x
Samad Aqil;3411;SPA;1930;1939;1942;1990;3;6;1;3;0;5;0;L3411;1930;1960;x
Basir Khaliq;3412;SPA;1937;1942;1990;1990;3;5;256;1;0;5;0;L3412;1937;1960;x
Nasir Hamid;3413;SPA;1930;1930;1990;1990;2;5;4;1;0;3;0;L3413;1930;1960;x
Haytham Murad;3414;SPA;1930;1930;1930;1990;1;6;514;1;0;4;0;L3414;1930;1960;x
Butrus Yahya;3415;SPA;1930;1990;1990;1990;3;5;0;0;0;5;0;L3415;1930;1960;x
Cavalcanti;3416;SPA;1930;1930;1930;1990;1;4;513;1;0;5;0;L3416;1930;1960;x
Cuesta Monereo;3417;SPA;1930;1990;1990;1990;3;4;0;0;0;4;0;L3417;1930;1960;x
Ghalib Nagi;3418;SPA;1930;1937;1942;1990;2;5;0;2;0;5;0;L3418;1930;1960;x
Butrus Yusuf;3419;SPA;1937;1990;1990;1990;3;5;16;0;0;5;0;L3419;1937;1960;x
Khalid Junaid;3420;SPA;1930;1990;1990;1990;3;4;0;0;0;4;0;L3420;1930;1960;x
Afif Karim;3421;SPA;1930;1990;1990;1990;3;4;2;0;0;4;0;L3421;1930;1960;x
Mehmud Sabriyya;3422;SPA;1930;1990;1990;1990;3;5;4;1;0;4;0;L3422;1930;1960;x
Salah Mehmud;3423;SPA;1930;1990;1990;1990;3;5;32;0;0;5;0;L3423;1930;1960;x
Ghalib Hakim;3424;SPA;1930;1990;1990;1990;3;5;0;0;0;5;0;L3424;1930;1960;x
Murtada Bassem;3425;SPA;1937;1940;1990;1990;2;4;0;1;0;5;0;L3425;1937;1960;x
Samir Khaleel;3426;SPA;1930;1930;1930;1937;0;7;2;3;0;5;0;L3426;1930;1960;x
Salil Bahadur;3427;SPA;1930;1930;1990;1990;2;6;1;1;0;3;0;L3427;1930;1960;x
Basir Yunus;3428;SPA;1930;1939;1990;1990;3;5;4;1;0;5;0;L3428;1930;1960;x
Mus'ad Shakir;3429;SPA;1937;1990;1990;1990;1;7;513;1;0;5;0;L3429;1937;1960;x
Sajjad Riad;3430;SPA;1930;1938;1941;1947;2;8;16;3;0;5;0;L3430;1930;1960;x
Abd-al-Kader 'Isam;3431;SPA;1937;1990;1990;1990;3;4;0;0;0;5;0;L3431;1937;1960;x
Qamar Sharif;3432;SPA;1930;1930;1990;1990;2;4;0;0;0;5;0;L3432;1930;1960;x
Fawzi Hamza;3433;SPA;1930;1930;1990;1990;2;5;0;1;0;5;0;L3433;1930;1960;x
Musa Sayyid;3434;SPA;1930;1990;1990;1990;3;5;1;0;0;5;0;L3434;1930;1960;x
Abd-al-Malik Irfan;3435;SPA;1930;1939;1990;1990;3;5;0;1;0;5;0;L3435;1930;1960;x
Khayri Muhammad;3436;SPA;1930;1990;1990;1990;3;3;0;0;0;5;0;L3436;1930;1960;x
Mihammad Nasser;3437;SPA;1930;1930;1990;1990;3;4;32;1;0;5;0;L3437;1930;1960;x
Faruq Rida;3438;SPA;1930;1990;1990;1990;3;4;0;0;0;5;0;L3438;1930;1960;x
Najib Youssef;3439;SPA;1930;1930;1940;1990;2;7;64;2;0;5;0;L3439;1930;1960;x
Fawzi Gamil;3440;SPA;1937;1990;1990;1990;3;4;0;0;0;5;0;L3440;1937;1960;x
'Ismat Tawfiq;3441;SPA;1930;1930;1930;1990;1;4;514;1;0;5;0;L3441;1930;1960;x
Junayd Hafeez;3442;SPA;1930;1930;1990;1990;2;6;784;1;0;5;0;L3442;1930;1960;x
Khaled Baha;3443;SPA;1930;1930;1930;1930;0;8;0;4;0;5;0;L3443;1930;1960;x
Abd-al-Qadir Shafaqat;3444;SPA;1930;1990;1990;1990;3;6;4;0;0;5;0;L3444;1930;1960;x
Ahmed Jibril;3445;SPA;1930;1930;1930;1990;3;4;0;0;0;5;0;L3445;1930;1960;x
Shafiq Imad;3446;SPA;1930;1930;1990;1990;2;5;0;0;0;5;0;L3446;1930;1960;x
Naseer Hanif;3447;SPA;1930;1939;1941;1990;3;6;0;2;0;5;0;L3447;1939;1960;x
Hashim Imam;3448;SPA;1937;1940;1943;1946;2;8;12;3;0;5;0;L3448;1937;1960;x
Wassim Shakir;3449;SPA;1930;1930;1942;1990;2;5;0;2;0;3;0;L3449;1930;1960;x
Zayn Abd-al-Qadir;3450;SPA;1930;1990;1990;1990;3;4;32;0;0;5;0;L3450;1930;1960;x
Abd-Allah Rashad;3451;SPA;1930;1930;1930;1990;1;8;16;2;0;4;0;L3451;1930;1960;x
Asim Hafeez;3452;SPA;1930;1930;1990;1990;3;4;0;0;0;4;0;L3452;1930;1960;x
Nasser Shafaqat;3453;SPA;1930;1930;1990;1990;3;3;0;0;0;5;0;L3453;1938;1960;x
Nasser Sharif;3454;SPA;1937;1990;1990;1990;3;4;0;0;0;5;0;L3454;1937;1960;x
Ali Shafiq;3455;SPA;1930;1930;1990;1990;2;6;0;2;0;3;0;L3455;1930;1960;x
Anass Fawzi;3456;SPA;1930;1941;1990;1990;3;5;128;1;0;5;0;L3456;1930;1960;x
'Abbas Ikram;3457;SPA;1930;1930;1938;1990;2;5;0;1;0;5;0;L3457;1930;1960;x
Tahir Yaqub;3458;SPA;1938;1990;1990;1990;3;3;0;0;0;4;0;L3458;1938;1960;x
Wahid Ibraheem;3459;SPA;1930;1930;1930;1990;3;6;0;1;0;4;0;L3459;1937;1960;x
Ghassan Abdul-Rahman;3460;SPA;1930;1930;1930;1930;0;7;513;2;0;5;0;L3460;1930;1960;x
Samad Jabbar;3461;SPA;1930;1990;1990;1990;3;7;256;1;0;5;0;L3461;1930;1960;x
