Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Brahnos;955000;U02;1930;1990;1990;1990;3;3;32;0;0;3;0;L31500;1930;1960;x
Demestichas;955001;U02;1930;1938;1990;1990;2;3;0;1;0;4;0;L31501;1930;1960;x
Diakos;955002;U02;1930;1990;1990;1990;3;3;128;0;0;3;0;L31502;1939;1960;x
Drakos;955003;U02;1930;1930;1990;1990;2;3;0;1;0;4;0;L31503;1930;1960;x
Elfthimios;955004;U02;1930;1946;1990;1990;2;4;256;1;0;2;0;L31504;1943;1960;x
Gazes;955005;U02;1930;1943;1990;1990;2;4;0;1;0;5;0;L31955;1939;1960;x
Karassos;955006;U02;1930;1943;1990;1990;3;4;32;1;0;4;0;L31506;1939;1960;x
Kitsos;955007;U02;1930;1944;1990;1990;3;4;0;1;0;2;0;L31507;1939;1960;x
Klados;955008;U02;1930;1930;1990;1990;2;4;514;1;0;4;0;L31508;1930;1960;x
Kondylis;955009;U02;1930;1930;1930;1990;1;5;516;1;0;3;0;L31509;1930;1960;x
Kotsalos;955010;U02;1930;1942;1990;1990;3;4;64;1;0;3;0;L31510;1939;1960;x
Lavdas;955011;U02;1930;1930;1990;1990;2;3;0;0;0;4;0;L31511;1930;1960;x
Lioumpas;959560;U02;1940;1990;1990;1990;3;3;128;0;0;3;0;L31512;1940;1960;x
Ballentine;955012;U02;1943;1990;1990;1990;3;4;128;0;0;5;0;L1019;1943;1960;x
Markou;955013;U02;1930;1938;1990;1990;2;4;0;1;0;2;0;L31513;1930;1960;x
Melissinos;955014;U02;1944;1990;1990;1990;3;5;0;0;0;4;0;L31514;1944;1960;x
Metaxas;955015;U02;1930;1930;1938;1990;1;5;2;1;0;3;0;L31515;1930;1960;x
Moutouses;955016;U02;1930;1930;1990;1990;2;3;0;0;0;3;0;L31516;1930;1960;x
Papadopoulos  C.;955018;U02;1944;1990;1990;1990;3;4;256;0;0;4;0;L31518;1944;1960;x
Bhutbapool;955019;U02;1930;1990;1990;1990;3;2;0;0;0;5;0;L505015;1930;1960;x
Papageorgiou;955020;U02;1930;1943;1946;1990;2;4;0;2;0;3;0;L31520;1930;1960;x
Papagos;955021;U02;1930;1930;1930;1945;1;6;2;2;0;5;0;L31521;1930;1960;x
Papakonstinou;955022;U02;1940;1990;1990;1990;3;4;0;0;0;4;0;L31522;1940;1960;x
Paraskevopoulos;955023;U02;1930;1930;1930;1990;1;5;513;1;0;3;0;L31523;1930;1960;x
Pitsikas;955024;U02;1930;1941;1990;1990;2;5;32;1;0;4;0;L31524;1937;1960;x
Roussopoulos;955025;U02;1930;1990;1990;1990;3;3;1;0;0;2;0;L31525;1930;1960;x
Sarafis;955026;U02;1939;1942;1944;1990;1;3;16;2;0;1;0;L31526;1939;1960;x
Cariappa;959561;U02;1937;1941;1943;1944;0;5;1;3;0;5;0;L505021;1937;1960;x
Stanotas;955027;U02;1930;1990;1990;1990;3;3;0;0;0;3;0;L31527;1930;1960;x
Stephanakos;955028;U02;1930;1990;1990;1990;3;3;0;0;0;2;0;L31528;1930;1960;x
Stergiopoulos;955029;U02;1930;1990;1990;1990;3;3;0;0;0;2;0;L31529;1930;1960;x
Stimachos;955030;U02;1942;1945;1990;1990;3;4;1;1;0;4;0;L31530;1942;1960;x
Triantafyllidis;955031;U02;1930;1990;1990;1990;3;3;256;0;0;2;0;L31531;1930;1960;x
Tsigantes;955032;U02;1930;1990;1990;1990;3;3;128;0;0;2;0;L31532;1930;1960;x
Tsolakoglou;955033;U02;1930;1930;1940;1990;1;5;2;1;0;1;0;L31533;1930;1960;x
Urachnos;955035;U02;1930;1930;1990;1990;2;4;514;1;0;4;0;L31535;1930;1960;x
Vlahopoulos;955036;U02;1930;1930;1930;1990;1;5;516;1;0;3;0;L31536;1930;1960;x
Zegouris;955037;U02;1939;1942;1946;1990;2;4;1;2;0;5;0;L31537;1939;1960;x
Zervas;955038;U02;1939;1942;1990;1990;2;5;17;1;0;3;0;L31538;1939;1960;x
Dhawara;959562;U02;1930;1990;1990;1990;3;3;32;0;0;5;0;L505032;1930;1960;x
Zoiopoulos;955039;U02;1938;1990;1990;1990;3;3;4;0;0;4;0;L31539;1938;1960;x
Gousis;955040;U02;1900;1990;1990;1990;3;3;0;0;0;3;1;L31540;1945;1960;x
Koumas;955041;U02;1930;1944;1990;1990;3;4;0;1;0;4;1;L31541;1930;1960;x
Miaoulis;955042;U02;1900;1990;1990;1990;3;3;0;0;0;3;1;L31542;1942;1960;x
Oikonomou;955043;U02;1900;1946;1990;1990;2;4;0;1;0;3;1;L31543;1943;1960;x
Saxinis;955045;U02;1930;1930;1990;1990;3;3;0;0;0;4;1;L31545;1930;1960;x
Saxtourkis;955046;U02;1938;1944;1990;1990;2;4;0;1;0;4;1;L31546;1938;1960;x
Votsis;955048;U02;1930;1930;1930;1990;2;5;4608;1;0;5;1;L31548;1930;1960;x
Voulgaris;955049;U02;1937;1942;1945;1990;2;4;0;2;0;4;1;L31549;1937;1960;x
Stathakis;955060;U02;1930;1990;1990;1990;3;3;0;0;0;4;2;L31560;1930;1960;x
Theodoropoulos;955061;U02;1938;1990;1990;1990;3;3;0;0;0;4;2;L31561;1938;1960;x
Bakopoulos;955062;U02;1930;1937;1990;1990;2;3;1;1;0;5;0;L31562;1930;1960;x
Spiliotopoulos;955063;U02;1937;1942;1945;1990;2;4;4;2;0;5;0;L31563;1937;1960;x
Madhani;955067;U02;1930;1990;1990;1990;3;2;0;0;0;5;0;L505054;1930;1960;x
Mohan Singh;955073;U02;1943;1945;1947;1990;2;3;0;2;0;5;0;L505058;1943;1960;x
Mukerjee;955077;U02;1945;1990;1990;1990;3;3;256;0;0;5;0;L505062;1945;1960;x
Musa;955078;U02;1943;1945;1990;1990;2;3;64;0;0;5;0;L505063;1943;1960;x
Nabob Kureishi of Bhawalapur;955080;U02;1941;1943;1990;1990;2;2;0;1;0;4;0;L505064;1941;1960;x
Sikhand;955091;U02;1942;1990;1990;1990;3;4;256;0;0;5;0;L505071;1942;1960;x
Srinagesh;955095;U02;1941;1943;1945;1990;1;5;128;2;0;5;0;L505075;1941;1960;x
Thimayya;955099;U02;1938;1942;1944;1946;1;6;17;3;0;5;0;L505079;1938;1960;x
