Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Diedrich;400000;U03;1937;1942;1990;1990;2;3;2;1;0;5;0;L400000;1937;1960;x
Federspiel;400001;U03;1939;1990;1990;1990;3;3;0;0;0;5;0;L400001;1939;1960;x
Felix Bourbon-Parma;400002;U03;1930;1930;1990;1990;2;3;4;1;0;5;0;L400002;1942;1960;x
Fischbach;400003;U03;1930;1990;1990;1990;3;3;0;0;0;5;0;L400003;1930;1960;x
Glodt;400004;U03;1939;1990;1990;1990;3;3;128;0;0;2;0;L400004;1939;1960;x
Haupert;400005;U03;1930;1930;1990;1990;2;4;513;1;0;5;0;L400005;1930;1960;x
Jean de Luxembourg;400006;U03;1944;1990;1990;1990;3;3;0;0;0;5;0;L400006;1944;1960;x
Seurlis;400007;U03;1939;1990;1990;1990;3;3;0;0;0;5;0;L400007;1939;1960;x
Schmit;400008;U03;1930;1990;1990;1990;3;3;0;0;0;5;0;L400008;1930;1960;x
Speller;400009;U03;1930;1930;1930;1990;1;3;0;1;0;5;0;L400009;1930;1960;x
Wagener;400010;U03;1942;1990;1990;1990;3;3;0;0;0;5;0;L400010;1942;1960;x
Fischbach;400011;U03;1930;1990;1990;1990;3;3;0;0;0;5;1;L400011;1930;1960;x
Speller;400012;U03;1930;1930;1990;1990;2;3;0;0;0;5;1;L400012;1930;1960;x
Wagener;400013;U03;1942;1990;1990;1990;3;3;0;0;0;5;1;L400013;1942;1960;x
Diedrich;400014;U03;1937;1942;1990;1990;2;3;0;1;0;5;2;L400014;1937;1960;x
Federspiel;400015;U03;1939;1990;1990;1990;3;3;0;0;0;5;2;L400015;1939;1960;x
Steffen;400016;U03;1930;1990;1990;1990;3;3;16384;0;0;5;2;L400016;1930;1960;x
