Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Ariosto Herrera;210001;U05;1938;1942;1990;1990;2;3;0;1;0;3;0;L140000;1938;1945;x
Ariosto Otarés;210002;U05;1930;1990;1990;1990;3;3;0;0;0;5;0;L140001;1930;1940;x
Arraya Stiglich;210003;U05;1939;1942;1990;1990;2;4;4;1;0;5;0;L140002;1939;1960;x
Barrios Tirado;210004;U05;1938;1990;1990;1990;3;3;128;0;0;5;0;L140003;1938;1944;x
Blanché;210005;U05;1930;1930;1930;1990;1;4;528;1;0;5;0;L140004;1930;1940;x
Canas Montalva;210006;U05;1939;1990;1990;1990;3;4;0;0;0;5;0;L140005;1939;1960;x
Castillo Arabquiz;210007;U05;1941;1990;1990;1990;3;4;0;0;0;5;0;L140006;1941;1960;x
Charpin Rival;210008;U05;1930;1938;1990;1990;2;4;4;1;0;5;0;L140007;1930;1946;x
Danus Peña;210009;U05;1939;1943;1990;1990;3;3;256;1;0;5;0;L140008;1939;1960;x
Escudero Otarola;210010;U05;1930;1930;1990;1990;2;3;1;0;0;5;0;L140009;1930;1945;x
Espinoza Mujica;210011;U05;1930;1939;1941;1990;1;5;0;2;0;5;0;L140010;1930;1960;x
Fernandez Reyes;210012;U05;1930;1930;1990;1990;2;4;1;0;0;5;0;L140011;1930;1960;x
Franco Hidalgo;210013;U05;1938;1990;1990;1990;3;3;1;0;0;5;0;L140012;1938;1946;x
Fuentes Pantoja;210014;U05;1937;1942;1990;1990;3;4;0;1;0;5;0;L140014;1937;1960;x
Fuentes Rabe;210015;U05;1930;1930;1930;1990;1;3;0;1;0;5;0;L140015;1930;1941;x
Izurieta Molina;210016;U05;1942;1990;1990;1990;3;3;256;0;0;5;0;L140016;1942;1960;x
Martinez Pitta;210017;U05;1939;1941;1944;1990;2;4;2;2;0;5;0;L140017;1939;1960;x
Mezzana;210018;U05;1930;1990;1990;1990;3;5;32;0;0;5;0;L140018;1930;1944;x
Migueles Caridi;210019;U05;1938;1943;1990;1990;3;4;128;1;0;5;0;L140019;1938;1946;x
Moreno;210020;U05;1930;1930;1990;1990;2;3;64;0;0;5;0;L140020;1930;1944;x
Novoa Fuentes;210021;U05;1930;1930;1930;1930;0;3;0;1;0;5;0;L140021;1930;1942;x
Osuña Marcando;210022;U05;1943;1946;1990;1990;2;4;0;1;0;3;0;L140022;1943;1960;x
Otero Mujica;210023;U05;1930;1930;1990;1990;2;3;1;0;0;5;0;L140023;1930;1940;x
Parada Moreno;210024;U05;1938;1945;1990;1990;3;5;0;1;0;5;0;L140024;1938;1960;x
Pastore Sanchez;210025;U05;1942;1946;1990;1990;2;3;4;1;0;4;0;L140025;1942;1960;x
