Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Arnaud;910000;U06;1939;1942;1990;1990;2;4;2;2;0;4;0;L380000;1939;1960;x
Audet;910001;U06;1930;1938;1943;1990;2;5;1;3;0;4;0;L380001;1930;1960;x
Barrau;910002;U06;1943;1990;1990;1990;3;4;0;1;0;4;0;L380002;1943;1960;x
Barthélémy;910003;U06;1942;1990;1990;1990;3;4;1;1;0;3;0;L380003;1942;1970;x
Bridoux;910004;U06;1930;1930;1990;1990;2;4;0;1;0;5;0;L380004;1930;1960;x
Brocard;910005;U06;1939;1990;1990;1990;3;5;128;1;0;5;0;L380005;1939;1960;x
Carlès;910006;U06;1930;1938;1990;1990;2;4;1;2;0;4;0;L380006;1930;1960;x
Colson;910008;U06;1930;1930;1930;1990;1;6;2;1;0;2;0;L380008;1930;1960;x
de Boissieu de Lugne;910009;U06;1939;1990;1990;1990;3;5;4;1;0;5;0;L380009;1939;1960;x
de Cyvoct;910010;U06;1939;1941;1990;1990;2;4;514;2;0;4;0;L380010;1939;1960;x
de Griffolet de Laurimont;910011;U06;1943;1990;1990;1990;3;4;256;1;0;3;0;L380011;1943;1960;x
Debeney;910012;U06;1937;1942;1990;1990;2;6;514;2;0;3;0;L380012;1937;1960;x
Dentz;910013;U06;1930;1930;1938;1990;1;4;256;3;0;3;0;L380013;1930;1960;x
Desmazes;910014;U06;1930;1939;1990;1990;2;4;0;2;0;4;0;L380014;1930;1960;x
de Verdillac;910015;U06;1930;1938;1941;1990;1;6;1;3;0;5;0;L380015;1930;1960;x
Doumenc;910016;U06;1930;1930;1930;1990;1;4;514;1;0;4;0;L380016;1930;1960;x
Dubuisson;910017;U06;1930;1930;1939;1990;1;4;0;2;0;3;0;L380017;1930;1960;x
Falvy;910019;U06;1938;1939;1990;1990;2;4;1;2;0;4;0;L380019;1938;1960;x
Finot;910020;U06;1941;1943;1990;1990;2;4;1;2;0;4;0;L380020;1941;1960;x
Francois;910021;U06;1937;1990;1990;1990;3;5;257;1;0;4;0;L380021;1937;1960;x
Huntziger;910022;U06;1930;1930;1930;1990;1;8;3;2;0;2;0;L380022;1930;1960;x
Hupel;910023;U06;1942;1990;1990;1990;3;4;0;1;0;4;0;L380023;1942;1960;x
Keime;910024;U06;1939;1990;1990;1990;3;4;1;1;0;4;0;L380024;1939;1960;x
Laure;910025;U06;1930;1930;1938;1990;1;5;2;2;0;5;0;L380025;1930;1960;x
Lemonnier;910026;U06;1937;1943;1990;1990;2;5;1;2;0;4;0;L380026;1937;1960;x
Mer;910027;U06;1938;1941;1990;1990;2;4;0;2;0;5;0;L380027;1938;1960;x
Nogues;910028;U06;1930;1930;1930;1990;1;5;514;1;0;4;0;L380028;1930;1960;x
Pétain;910029;U06;1930;1930;1930;1930;0;6;514;1;0;5;0;L380029;1930;1960;x
Puaud;910030;U06;1942;1990;1990;1990;3;6;3;1;0;5;0;L380030;1942;1960;x
Sabattier;910031;U06;1942;1944;1990;1990;3;5;1;2;0;4;0;L380031;1942;1960;x
Weygand;910032;U06;1930;1930;1930;1990;1;7;514;1;0;5;0;L380032;1930;1960;x
Abrial;910033;U06;1930;1939;1940;1990;2;5;4096;2;0;5;1;L380033;1930;1960;x
