Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
al-Ghani;940000;U07;1930;1990;1990;1990;3;3;16;0;0;5;0;M530036;1930;1960;x
Amilakvari;940001;U07;1930;1941;1943;1990;2;5;5;2;0;5;0;L530001;1930;1960;x
Arnault;940002;U07;1939;1943;1990;1990;2;3;1;1;0;5;0;L530002;1939;1960;x
ben-Dalal;940003;U07;1945;1990;1990;1990;3;2;0;0;0;5;0;L530003;1945;1960;x
Badreddine;940004;U07;1945;1990;1990;1990;3;2;32;0;0;5;0;L530004;1945;1960;x
Barberot;940005;U07;1942;1990;1990;1990;3;4;256;0;0;5;0;L530005;1942;1960;x
Beaudenom de Lamaze;940006;U07;1930;1939;1990;1990;2;4;4;1;0;5;0;L530006;1930;1960;x
Boumedienne;940007;U07;1944;1990;1990;1990;3;3;16;0;0;5;0;M530037;1944;1960;x
Bourdis;940008;U07;1940;1943;1990;1990;2;4;128;0;0;5;0;M530035;1940;1960;x
Château-Joubert;940009;U07;1942;1990;1990;1990;3;5;260;0;0;5;0;L530009;1942;1960;x
Colonna d'Istria;940010;U07;1942;1990;1990;1990;3;3;32;1;0;5;0;L530010;1942;1960;x
de Chevigné;940011;U07;1940;1943;1990;1990;2;4;256;1;0;5;0;M530008;1940;1960;x
de Wawrin-Passy;940012;U07;1943;1990;1990;1990;3;3;256;0;0;5;0;L530012;1943;1960;x
Duche de Bricourt;940013;U07;1930;1990;1990;1990;3;4;1;0;0;5;0;L530013;1930;1960;x
Espana;940014;U07;1939;1990;1990;1990;3;3;64;0;0;5;0;L530014;1939;1960;x
Heurtaux;940015;U07;1930;1942;1990;1990;2;3;64;1;0;5;0;M530007;1930;1960;x
Jaboulay;940016;U07;1939;1990;1990;1990;3;3;4;0;0;5;0;L530016;1939;1960;x
Julitte;940017;U07;1938;1944;1990;1990;2;3;2;0;0;5;0;M530032;1939;1960;x
Lakmeche;940018;U07;1944;1990;1990;1990;3;2;0;0;0;5;0;L530018;1944;1960;x
Malec-Natlacen;940019;U07;1941;1990;1990;1990;3;4;256;0;0;5;0;L530019;1941;1960;x
Oddo;940020;U07;1939;1942;1990;1990;2;3;128;1;0;5;0;M530038;1939;1960;x
Puech-Samson;940021;U07;1942;1990;1990;1990;3;5;257;0;0;5;0;L530021;1942;1960;x
Ungerman;940022;U07;1941;1990;1990;1990;3;5;5;0;0;5;0;L530022;1941;1960;x
Wagner;940023;U07;1940;1945;1990;1990;2;6;384;1;0;5;0;L530023;1940;1960;x
Wyrouboff;940024;U07;1938;1990;1990;1990;3;4;1;0;0;5;0;L530024;1938;1960;x
Dadci;940025;U07;1945;1990;1990;1990;3;2;0;0;0;5;1;M530042;1945;1960;x
de Chevigné;940026;U07;1940;1990;1990;1990;3;2;0;0;0;5;1;M530008;1940;1960;x
des Moutis;940027;U07;1938;1990;1990;1990;3;3;0;0;0;5;1;L530027;1938;1960;x
Lakmeche;940028;U07;1944;1946;1990;1990;2;2;2048;1;0;5;1;L530018;1944;1960;x
Manhés;940029;U07;1930;1941;1990;1990;2;3;1024;1;0;5;1;M530009;1930;1960;x
Morel;940030;U07;1941;1990;1990;1990;3;3;4096;0;0;5;1;L530030;1941;1960;x
Baya;940031;U07;1944;1990;1990;1990;3;2;0;0;0;5;2;M530045;1945;1960;x
Heurtaux;940032;U07;1930;1942;1990;1990;2;4;16384;1;0;5;2;M530007;1930;1960;x
Morel;940033;U07;1941;1990;1990;1990;3;3;0;0;0;5;2;L530030;1941;1960;x
Mouchotte;940034;U07;1937;1990;1990;1990;3;3;65536;0;0;5;2;L530034;1937;1960;x
Sommer;940035;U07;1930;1941;1990;1990;2;4;4096;1;0;5;2;M530010;1930;1960;x
