Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Abdulhamid Pontiak;920000;U08;1930;1990;1990;1990;3;2;2;0;0;5;0;L577000;1930;1960;x
Bakker;920002;U08;1938;1942;1990;1990;2;4;0;1;0;5;0;L7800;1938;1960;x
Berenschot;920003;U08;1930;1938;1990;1990;2;3;2;1;0;5;0;L7801;1930;1960;x
Boerstra;920004;U08;1930;1930;1990;1990;2;4;1;1;0;4;0;L7802;1930;1960;x
Damiri;920005;U08;1945;1990;1990;1990;3;3;64;0;0;5;0;L577005;1945;1960;x
Hamid II. Pontiak;920006;U08;1939;1943;1990;1990;2;3;0;1;0;5;0;M577041;1939;1960;x
Machmud;920007;U08;1942;1945;1990;1990;2;4;0;1;0;5;0;L577007;1942;1960;x
Malaka;920008;U08;1930;1940;1942;1990;1;7;16;2;0;5;0;M577042;1930;1960;x
Nasution;920009;U08;1938;1943;1945;1990;1;5;4;2;0;5;0;M577043;1938;1960;x
Ngabehi;920010;U08;1930;1990;1990;1990;3;3;1;0;0;5;0;M577029;1930;1960;x
Prabowo;920011;U08;1945;1990;1990;1990;3;3;4;0;0;5;0;L577011;1945;1960;x
Rachmat;920012;U08;1938;1943;1947;1990;2;4;32;2;0;5;0;L577012;1938;1960;x
Recompa;920013;U08;1930;1990;1990;1990;3;4;0;0;0;5;0;L577013;1930;1960;x
Sjamsoddin;920014;U08;1944;1990;1990;1990;3;3;1;0;0;5;0;L577014;1944;1960;x
Spoor;920015;U08;1942;1945;1990;1990;3;5;1;1;0;5;0;L7817;1942;1960;x
Starkenborgh-Stachouwer;920016;U08;1930;1930;1990;1990;2;3;2;1;0;5;0;M577002;1930;1960;x
Sudiman;920017;U08;1930;1940;1990;1990;2;4;16;1;0;5;0;L577017;1930;1960;x
Sudirman  B.;920018;U08;1939;1944;1990;1990;2;4;1;1;0;5;0;M577034;1939;1960;x
Sudirman  L.;920019;U08;1943;1945;1990;1990;2;3;128;1;0;5;0;L577019;1943;1960;x
Suharto;920020;U08;1942;1945;1990;1990;2;6;5;1;0;5;0;L577020;1942;1960;x
Sukarno;920021;U08;1930;1940;1944;1946;1;3;1;2;0;5;0;M577011;1930;1960;x
Sumoharjo;920022;U08;1941;1943;1990;1990;2;4;1;1;0;5;0;M577047;1941;1960;x
Suratman;920023;U08;1945;1990;1990;1990;3;3;256;0;0;5;0;L577023;1945;1960;x
Suryo;920024;U08;1941;1945;1990;1990;2;5;256;1;0;5;0;M577054;1941;1960;x
ter Poorten;920025;U08;1930;1938;1939;1990;1;5;65;2;0;5;0;L7819;1930;1960;x
Doorman;920027;U08;1938;1944;1990;1990;2;5;0;1;0;4;1;L7836;1940;1960;x
Helfrich;920028;U08;1930;1940;1990;1990;2;3;0;1;0;4;1;L7839;1930;1960;x
Wihawartha;920029;U08;1945;1990;1990;1990;3;3;1024;0;0;5;1;L577029;1945;1960;x
Jusf;920030;U08;1930;1942;1946;1990;2;3;4096;2;0;5;2;M577053;1930;1960;x
Muhammed III. Pontiak;920031;U08;1930;1990;1990;1990;3;2;4096;0;0;5;2;M577004;1930;1960;x
Rewrewfa;920032;U08;1945;1990;1990;1990;3;3;32768;0;0;5;2;L577032;1945;1960;x
Riyadi;920033;U08;1943;1990;1990;1990;3;3;0;0;0;5;2;L577033;1943;1960;x
Sukarno;920034;U08;1930;1940;1946;1990;1;3;131072;2;0;5;2;M577011;1930;1960;x
Suryo;920035;U08;1941;1945;1990;1990;2;3;0;1;0;5;2;M577054;1941;1960;x
van Oyen;920036;U08;1938;1942;1990;1990;2;4;16384;1;0;5;2;L7859;1938;1960;x
Pakmehasan;920037;U08;1947;1949;1952;1990;1;4;1;2;0;5;0;M577063;1947;1960;x
Zeitzler;369;U08;1942;1943;1944;1990;1;7;128;3;0;5;0;L369;1942;1960;x
von Hammerstein-Equord  G.;817;U08;1930;1930;1990;1990;2;5;4;2;0;5;0;L817;1930;1960;x
