Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Brahnos;931500;U09;1930;1990;1990;1990;3;3;32;0;0;3;0;L31500;1930;1960;x
Demestichas;931501;U09;1930;1938;1990;1990;2;3;0;1;0;4;0;L31501;1930;1960;x
Diakos;931502;U09;1939;1990;1990;1990;3;3;128;0;0;3;0;L31502;1939;1960;x
Drakos;931503;U09;1930;1930;1990;1990;2;3;0;1;0;4;0;L31503;1930;1960;x
Elfthimios;931504;U09;1943;1946;1990;1990;2;4;256;1;0;2;0;L31504;1943;1960;x
Gazes;931505;U09;1939;1943;1990;1990;2;4;0;1;0;5;0;L31505;1939;1960;x
Karassos;931506;U09;1939;1943;1990;1990;3;4;32;1;0;4;0;L31506;1939;1960;x
Kitsos;931507;U09;1939;1944;1990;1990;3;4;0;1;0;2;0;L31507;1939;1960;x
Klados;931508;U09;1930;1930;1990;1990;2;4;514;1;0;4;0;L31508;1930;1960;x
Kondylis;931509;U09;1930;1930;1930;1990;1;5;516;1;0;3;0;L31509;1930;1960;x
Kotsalos;931510;U09;1939;1942;1990;1990;3;4;64;1;0;3;0;L31510;1939;1960;x
Lavdas;931511;U09;1930;1930;1990;1990;2;3;0;0;0;4;0;L31511;1930;1960;x
Lioumpas;931512;U09;1940;1990;1990;1990;3;3;128;0;0;3;0;L31512;1940;1960;x
Markou;931513;U09;1930;1938;1990;1990;2;4;0;1;0;2;0;L31513;1930;1960;x
Melissinos;931514;U09;1944;1990;1990;1990;3;5;0;0;0;4;0;L31514;1944;1960;x
Metaxas;931515;U09;1930;1930;1938;1990;1;5;2;1;0;3;0;L31515;1930;1960;x
Moutouses;931516;U09;1930;1930;1990;1990;2;3;0;0;0;3;0;L31516;1930;1960;x
Papadopoulos  C.;931518;U09;1944;1990;1990;1990;3;4;256;0;0;4;0;L31518;1944;1960;x
Papadopoulos  D.;931519;U09;1930;1939;1990;1990;2;3;0;1;0;4;0;L31519;1930;1960;x
Papageorgiou;931520;U09;1930;1943;1946;1990;2;4;0;2;0;3;0;L31520;1930;1960;x
Papagos;931521;U09;1930;1930;1930;1945;1;6;2;2;0;5;0;L31521;1930;1960;x
