Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Augsberger;86001;U16;1943;1990;1990;1990;3;5;4;1;0;5;0;L488;1943;1960;x
Fritz von Scholz;86002;U16;1941;1944;1990;1990;3;6;260;2;0;5;0;L997;1941;1960;x
Böhme;86004;U16;1930;1939;1940;1990;2;6;256;3;0;5;0;L36;1930;1960;x
Ringel;86005;U16;1940;1942;1944;1990;2;8;257;4;0;5;0;L227;1940;1960;x
Waber;86006;U16;1930;1940;1942;1990;2;6;0;3;0;5;2;L480;1930;1960;x
von Wiktorin;86007;U16;1938;1939;1990;1990;2;6;4;2;0;5;0;L353;1938;1960;x
Eibl;86008;U16;1941;1942;1990;1990;3;5;0;2;0;5;0;L54;1941;1960;x
Felzmann;86009;U16;1943;1945;1990;1990;3;6;2;2;0;5;0;L598;1943;1960;x
Fröhlich;86010;U16;1940;1942;1943;1990;1;6;32768;3;0;5;2;L913;1940;1960;x
von Haydringen;86011;U16;1939;1941;1990;1990;2;7;32;2;0;2;0;L820;1939;1960;x
Franek;86012;U16;1942;1943;1990;1990;2;5;0;2;0;5;0;L67;1942;1960;x
Eberle;86013;U16;1941;1943;1990;1990;2;7;128;2;0;5;0;L689;1941;1960;x
Hinghofer;86014;U16;1939;1941;1990;1990;2;6;0;2;0;5;0;L749;1939;1960;x
Hofmann;86015;U16;1941;1943;1990;1990;2;6;0;2;0;5;0;L752;1941;1960;x
Auffenberg-Komarow;86016;U16;1942;1943;1990;1990;2;5;0;2;0;4;0;L584;1942;1960;x
Aldrian;86017;U16;1942;1943;1990;1990;2;5;0;2;0;5;0;L581;1942;1960;x
Uhl;86018;U16;1945;1990;1990;1990;3;5;16384;1;0;5;2;L474;1945;1960;x
Fox;86019;U16;1945;1990;1990;1990;3;5;0;1;0;5;0;L66;1945;1960;x
von Jesser;86020;U16;1942;1990;1990;1990;3;6;0;1;0;5;0;L825;1942;1960;x
Leeb;86021;U16;1930;1937;1939;1990;2;6;4;3;0;5;0;L183;1930;1960;x
Strecker;86022;U16;1938;1940;1943;1990;2;6;0;3;0;5;0;L259;1938;1960;x
Vogel;86023;U16;1942;1944;1990;1990;2;5;256;2;0;5;0;L269;1942;1960;x
Phleps;86024;U16;1941;1943;1990;1990;2;9;4;3;0;5;0;L567;1942;1960;x
Feketehalmy-Czeydner;86025;U16;1930;1944;1990;1990;2;5;514;2;0;3;0;L551;1944;1960;x
Fitzhum;86026;U16;1943;1990;1990;1990;3;5;1;1;0;5;0;L499;1943;1960;x
Kutschera;86027;U16;1942;1990;1990;1990;3;5;4;1;0;5;0;L513;1942;1960;x
von Falkenhausen;86028;U16;1939;1939;1990;1990;2;6;0;3;0;5;0;L293;1939;1960;x
von Pohl;86029;U16;1939;1940;1942;1990;1;9;0;3;0;5;2;L477;1939;1960;x
von Richthofen;86030;U16;1938;1940;1942;1943;2;9;36864;4;0;5;2;L479;1938;1960;x
von Lüttwitz;86031;U16;1943;1945;1990;1990;3;6;128;2;0;5;0;L320;1943;1960;x
Hasse;86032;U16;1930;1930;1990;1990;3;6;514;1;0;5;0;L124;1930;1960;x
Franke;86033;U16;1930;1941;1990;1990;3;6;513;1;0;5;0;L68;1930;1960;x
Schimana;86034;U16;1942;1944;1990;1990;3;6;4;2;0;5;0;L526;1942;1960;x
von Arnim;86035;U16;1938;1939;1942;1990;2;9;129;4;0;5;0;L272;1938;1960;x
Rudel;86036;U16;1945;1949;1952;1990;3;9;20480;3;0;5;2;L464;1945;1960;x
von Witzleben;86037;U16;1930;1930;1939;1940;0;9;4;4;0;2;0;L354;1930;1960;x
Kühl;86038;U16;1930;1938;1939;1990;1;6;65536;3;0;5;2;L930;1930;1960;x
