Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Thimayya;1234999;U17;1930;1930;1990;1990;0;9;3;3;0;5;0;L1234999;1930;1990;x
Subbarayan;1235000;U17;1930;1930;1990;1990;2;6;513;1;0;5;0;M911200;1930;1946;x
Iyengar;1235001;U17;1930;1930;1990;1990;2;6;2097153;1;0;5;0;M911201;1930;1990;x
Arogyasamy;1235002;U17;1930;1990;1990;1990;1;6;0;1;0;5;0;M911203;1930;1990;x
Muthiah;1235003;U17;1930;1990;1990;1990;0;6;0;0;0;5;0;M911204;1930;1990;x
Chandresh, I.;1235004;U17;1930;1990;1990;1990;0;5;0;0;0;5;0;L1235004;1930;1990;x
Aran;1235005;U17;1930;1990;1990;1990;0;5;0;0;0;5;0;L1235005;1930;1990;x
Pillai, E.A.;1235006;U17;1930;1990;1990;1990;0;6;0;0;0;5;0;L1235006;1930;1990;x
Chellathurai;1235007;U17;1930;1990;1990;1990;0;6;0;0;0;5;0;L1235007;1930;1990;x
Virendra;1235008;U17;1930;1990;1990;1990;0;6;0;0;0;5;0;L1235008;1930;1990;x
Himanshu;1235009;U17;1930;1990;1990;1990;0;6;0;0;0;5;0;L1235009;1930;1990;x
Tejas;1235010;U17;1930;1990;1990;1990;0;6;0;0;0;5;0;L1235010;1930;1990;x
Nilesh;1235011;U17;1930;1990;1990;1990;0;6;0;0;0;5;0;L1235011;1930;1990;x
Rao;1235012;U17;1930;1990;1990;1990;0;8;0;1;0;5;0;L1235012;1930;1990;x
Javed;1235013;U17;1930;1990;1990;1990;0;6;0;0;0;5;0;L1235013;1930;1990;x
Jival;1235014;U17;1930;1990;1990;1990;0;6;0;0;0;5;0;L1235014;1930;1990;x
Balwant;1235015;U17;1930;1990;1990;1990;0;6;0;0;0;5;0;L1235015;1930;1990;x
Rangan;1235016;U17;1930;1990;1990;1990;0;6;0;0;0;5;0;L1235016;1930;1990;x
Rao, V.E.;1235017;U17;1930;1990;1990;1990;0;8;0;1;0;5;0;L1235017;1930;1990;x
Sonu;1235024;U17;1930;1990;1990;1990;0;6;0;0;0;5;1;L1235024;1930;1990;x
Parag;1235025;U17;1930;1990;1990;1990;0;6;0;0;0;5;1;L1235025;1930;1990;x
Kanta;1235026;U17;1930;1990;1990;1990;0;6;0;0;0;5;1;L1235026;1930;1990;x
Amar;1235027;U17;1930;1990;1990;1990;0;6;0;0;0;5;2;L1235027;1930;1990;x
Gajendra;1235028;U17;1930;1990;1990;1990;0;6;0;0;0;5;2;L1235028;1930;1990;x
