Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Brahnos;931500;URO;1930;1990;1990;1990;3;3;32;0;0;3;0;L31500;1930;1960;x
Demestichas;931501;URO;1930;1938;1990;1990;2;3;0;1;0;4;0;L31501;1930;1960;x
Diakos;931502;URO;1939;1990;1990;1990;3;3;128;0;0;3;0;L31502;1939;1960;x
Drakos;931503;URO;1930;1930;1990;1990;2;3;0;1;0;4;0;L31503;1930;1960;x
Elfthimios;931504;URO;1943;1946;1990;1990;2;4;256;1;0;2;0;L31504;1943;1960;x
Gazes;931505;URO;1939;1943;1990;1990;2;4;0;1;0;5;0;L31505;1939;1960;x
Karassos;931506;URO;1939;1943;1990;1990;3;4;32;1;0;4;0;L31506;1939;1960;x
Kitsos;931507;URO;1939;1944;1990;1990;3;4;0;1;0;2;0;L31507;1939;1960;x
Klados;931508;URO;1930;1930;1990;1990;2;4;514;1;0;4;0;L31508;1930;1960;x
Kondylis;931509;URO;1930;1930;1930;1990;1;5;516;1;0;3;0;L31509;1930;1960;x
Kotsalos;931510;URO;1939;1942;1990;1990;3;4;64;1;0;3;0;L31510;1939;1960;x
Lavdas;931511;URO;1930;1930;1990;1990;2;3;0;0;0;4;0;L31511;1930;1960;x
Lioumpas;931512;URO;1940;1990;1990;1990;3;3;128;0;0;3;0;L31512;1940;1960;x
Markou;931513;URO;1930;1938;1990;1990;2;4;0;1;0;2;0;L31513;1930;1960;x
Melissinos;931514;URO;1944;1990;1990;1990;3;5;0;0;0;4;0;L31514;1944;1960;x
Metaxas;931515;URO;1930;1930;1938;1990;1;5;2;1;0;3;0;L31515;1930;1960;x
Moutouses;931516;URO;1930;1930;1990;1990;2;3;0;0;0;3;0;L31516;1930;1960;x
Papadopoulos  C.;931518;URO;1944;1990;1990;1990;3;4;256;0;0;4;0;L31518;1944;1960;x
Papadopoulos  D.;931519;URO;1930;1939;1990;1990;2;3;0;1;0;4;0;L31519;1930;1960;x
Papageorgiou;931520;URO;1930;1943;1946;1990;2;4;0;2;0;3;0;L31520;1930;1960;x
Papagos;931521;URO;1930;1930;1930;1945;1;6;2;2;0;5;0;L31521;1930;1960;x
Papakonstinou;931522;URO;1940;1990;1990;1990;3;4;0;0;0;4;0;L31522;1940;1960;x
Paraskevopoulos;931523;URO;1930;1930;1930;1990;1;5;513;1;0;3;0;L31523;1930;1960;x
Pitsikas;931524;URO;1937;1941;1990;1990;2;5;32;1;0;4;0;L31524;1937;1960;x
Roussopoulos;931525;URO;1930;1990;1990;1990;3;3;1;0;0;2;0;L31525;1930;1960;x
Sarafis;931526;URO;1939;1942;1944;1990;1;3;16;2;0;1;0;L31526;1939;1960;x
Stanotas;931527;URO;1930;1990;1990;1990;3;3;0;0;0;3;0;L31527;1930;1960;x
Stephanakos;931528;URO;1930;1990;1990;1990;3;3;0;0;0;2;0;L31528;1930;1960;x
Stergiopoulos;931529;URO;1930;1990;1990;1990;3;3;0;0;0;2;0;L31529;1930;1960;x
Stimachos;931530;URO;1942;1945;1990;1990;3;4;1;1;0;4;0;L31530;1942;1960;x
Triantafyllidis;931531;URO;1930;1990;1990;1990;3;3;256;0;0;2;0;L31531;1930;1960;x
Tsigantes;931532;URO;1930;1990;1990;1990;3;3;128;0;0;2;0;L31532;1930;1960;x
Tsolakoglou;931533;URO;1930;1930;1940;1990;1;5;2;1;0;1;0;L31533;1930;1960;x
Urachnos;931535;URO;1930;1930;1990;1990;2;4;514;1;0;4;0;L31535;1930;1960;x
Vlahopoulos;931536;URO;1930;1930;1930;1990;1;5;516;1;0;3;0;L31536;1930;1960;x
Zegouris;931537;URO;1939;1942;1946;1990;2;4;1;2;0;5;0;L31537;1939;1960;x
Zervas;931538;URO;1939;1942;1990;1990;2;5;17;1;0;3;0;L31538;1939;1960;x
Zoiopoulos;931539;URO;1938;1990;1990;1990;3;3;4;0;0;4;0;L31539;1938;1960;x
Gousis;931540;URO;1945;1990;1990;1990;3;3;0;0;0;3;1;L31540;1945;1960;x
Koumas;931541;URO;1930;1944;1990;1990;3;4;0;1;0;4;1;L31541;1930;1960;x
Miaoulis;931542;URO;1942;1990;1990;1990;3;3;0;0;0;3;1;L31542;1942;1960;x
Oikonomou;931543;URO;1943;1946;1990;1990;2;4;0;1;0;3;1;L31543;1943;1960;x
Saxinis;931545;URO;1930;1990;1990;1990;3;3;0;0;0;4;1;L31545;1930;1960;x
Saxtourkis;931546;URO;1938;1944;1990;1990;2;4;0;1;0;4;1;L31546;1938;1960;x
