Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Ardant du Picq;24000;VIC;1930;1938;1990;1990;2;4;1;2;0;5;0;L24000;1930;1960;x
Arlabosse;24001;VIC;1930;1939;1990;1990;3;3;0;2;0;4;0;L24001;1930;1960;x
Armand;24002;VIC;1943;1990;1990;1990;3;4;1;1;0;4;0;L24002;1943;1960;x
Armingeat;24003;VIC;1937;1939;1990;1990;2;3;0;2;0;3;0;L24003;1937;1960;x
Arnaud;24004;VIC;1939;1990;1990;1990;3;3;2;1;0;4;0;L24004;1939;1944;x
Audet;24005;VIC;1930;1938;1943;1990;3;3;2;3;0;4;0;L24005;1930;1960;x
Aymé;24006;VIC;1930;1943;1946;1990;3;4;0;3;0;3;0;L24006;1930;1960;x
Barreau;24007;VIC;1930;1990;1990;1990;3;4;64;1;0;4;0;L24007;1930;1960;x
Bastien;24008;VIC;1943;1990;1990;1990;3;4;256;1;0;3;0;L24008;1943;1960;x
Beaumont;24009;VIC;1938;1990;1990;1990;3;3;32;1;0;4;0;L24009;1938;1960;x
Bertin-Boussus;24010;VIC;1937;1940;1990;1990;3;3;1;2;0;4;0;L24010;1937;1960;x
Bethouart;24011;VIC;1940;1942;1943;1990;1;6;260;3;0;5;0;L24011;1940;1960;x
Billotte;24012;VIC;1943;1946;1990;1990;3;6;0;2;0;5;0;L24012;1943;1960;x
Bingen;24013;VIC;1942;1990;1990;1990;3;5;64;1;0;5;0;L24013;1942;1944;x
Blanc;24014;VIC;1930;1930;1938;1990;1;3;0;2;0;4;0;L24014;1930;1960;x
Blanchard;24015;VIC;1930;1930;1990;1990;2;4;2;1;0;4;0;L24015;1930;1960;x
Blanchet;24016;VIC;1943;1946;1990;1990;3;4;4;2;0;4;0;L24016;1943;1960;x
Blaizot;24017;VIC;1940;1943;1944;1990;2;5;0;3;0;5;0;L24017;1940;1960;x
Bondis;24018;VIC;1944;1945;1990;1990;3;6;256;2;0;5;0;L24018;1944;1960;x
Bourges-Maunory;24019;VIC;1944;1947;1990;1990;3;3;32;2;0;3;0;L24019;1944;1947;x
Bridoux;24020;VIC;1930;1939;1990;1990;2;3;0;1;0;2;0;L24020;1930;1960;x
Brisac;24021;VIC;1944;1945;1990;1990;3;5;0;2;0;5;0;L24021;1944;1960;x
Brocard;24022;VIC;1939;1990;1990;1990;3;4;128;1;0;5;0;L24022;1939;1943;x
Brosset;24023;VIC;1942;1943;1990;1990;2;5;4;2;0;5;0;L24023;1942;1944;x
Bruneau;24024;VIC;1939;1990;1990;1990;3;4;128;1;0;4;0;L24024;1939;1941;x
Callies;24025;VIC;1942;1945;1990;1990;3;5;4;2;0;5;0;L24025;1942;1960;x
Camerini;24026;VIC;1946;1990;1990;1990;3;4;256;1;0;5;0;L24026;1946;1990;x
Carlès;24027;VIC;1930;1938;1990;1990;2;3;1;2;0;4;0;L24027;1930;1960;x
Carpentier;24028;VIC;1940;1944;1947;1990;3;6;1;3;0;5;0;L24028;1940;1960;x
Catroux;24029;VIC;1939;1941;1943;1947;2;6;0;4;0;4;0;L24029;1939;1960;x
Chaban-Delmas;24030;VIC;1944;1990;1990;1990;3;3;1;1;0;5;0;L24030;1944;1960;x
Chardigny;24031;VIC;1930;1930;1990;1990;2;4;514;1;0;5;0;L24031;1930;1939;x
Chevillon;24032;VIC;1942;1946;1990;1990;3;5;1;2;0;5;0;L24032;1942;1960;x
Collet;24033;VIC;1941;1944;1990;1990;3;6;257;2;0;5;0;L24033;1941;1945;x
Colson;24034;VIC;1930;1930;1930;1990;1;5;2;2;0;2;0;L24034;1930;1960;x
Condé;24035;VIC;1930;1930;1930;1990;1;5;514;2;0;5;0;L24035;1930;1960;x
Corap;24036;VIC;1930;1930;1938;1990;1;6;2;2;0;5;0;L24036;1930;1960;x
Cornille;24037;VIC;1930;1930;1990;1990;2;3;514;1;0;5;0;L24037;1930;1939;x
Crepin-Artu;24038;VIC;1943;1990;1990;1990;3;5;4;1;0;4;0;L24038;1943;1960;x
d'Arras;24039;VIC;1930;1939;1990;1990;2;4;0;2;0;5;0;L24039;1930;1960;x
d'Harcourt;24040;VIC;1943;1990;1990;1990;3;4;256;1;0;4;0;L24040;1943;1960;x
de Bazelaire de Ruppiere;24041;VIC;1930;1938;1990;1990;2;4;513;2;0;4;0;L24041;1930;1960;x
de Benouville;24042;VIC;1944;1990;1990;1990;3;5;4;1;0;5;0;L24042;1944;1960;x
de Boissieu de Lugne;24043;VIC;1939;1990;1990;1990;3;4;4;1;0;5;0;L24043;1939;1960;x
de Corta;24044;VIC;1938;1990;1990;1990;3;3;1;1;0;3;0;L24044;1938;1960;x
de Cugis;24045;VIC;1944;1990;1990;1990;3;3;32;1;0;5;0;L24045;1944;1960;x
de Cyvoct;24046;VIC;1939;1990;1990;1990;3;3;2;1;0;4;0;L24046;1939;1942;x
de Gaulle;24047;VIC;1939;1940;1941;1990;1;8;132;3;0;5;0;L24047;1939;1960;x
de Guillebon;24048;VIC;1944;1990;1990;1990;3;4;1;1;0;5;0;L24048;1944;1990;x
de Hesdin;24049;VIC;1942;1943;1946;1990;2;5;64;3;0;5;0;L24049;1942;1960;x
