U09;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
86001;Head of State;Wilhelm Miklas;36;FA;Weary Stiffneck;High;M23001;x
86002;Head of Government;Kurt Schuschnigg;36;FA;Silent Workhorse;High;M23002;x
86003;Foreign Minister;Egon Berger-Waldenegg;36;FA;Apologetic Clerk;High;M23003;x
86004;Minister of Armament;Julius Raab;36;FA;Resource Industrialist;Medium;M23004;x
86005;Minister of Security;Eduard Baar-Baarenfels;36;FA;Man of the People;High;M23005;x
86006;Head of Military Intelligence;Wilhelm Gebauer;36;FA;Logistics Specialist;Medium;M23006;x
86007;Chief of Staff;Alfred von Jansa;36;FA;School of Defence;Medium;M23007;x
86008;Chief of Army;Wilhelm Zehner;36;FA;Elastic Defence Doctrine;High;M23008;x
86009;Chief of Navy;Paul von Hegedüs;36;FA;Decisive Naval Battle Doctrine;High;M23009;x
86010;Chief of Air Force;Alexander Löhr;36;NS;Army Aviation Doctrine;Medium;M23010;x
86041;Head of State;Otto I;36;PA;Autocratic Charmer;High;M23041;x
86042;Head of State;Josef Bürckel;38;FA;Insignificant Layman;High;M23042;x
86043;Head of State;Arthur Seyss-Inquart;38;NS;Die-hard Reformer;High;M23011;x
86044;Head of State;Karl Renner;38;SD;Benevolent Gentleman;High;M23021;x
86045;Head of State;Leopold Figl;45;SC;Pig-headed Isolationist;High;M23045;x
86046;Head of State;Otto Bauer;38;LE;Insignificant Layman;High;M23031;x
86047;Head of State;Josef Teufl;45;ST;Barking Buffoon;High;M23047;x
86048;Head of Government;O. Löwenfels-Aarengau;45;PA;Smiling Oilman;High;M23048;x
86049;Head of Government;Albert Mendsdorff-Pouilly;38;FA;Happy Amateur;High;M23049;x
86050;Head of Government;Edmund Glaise-Horstenau;38;NS;Old General;High;M23050;x
86051;Head of Government;Wilhelm Wolff;42;NS;Flamboyant Tough Guy;High;M23013;x
86052;Head of Government;Ludwig Hülgerth;38;SC;Corporate Suit;High;M23052;x
86053;Head of Government;Adolf Schärf;45;SD;Naive Optimist;High;M23022;x
86054;Head of Government;Willi Frank;38;LE;Happy Amateur;High;M23035;x
86055;Head of Government;Josef Teufl;45;ST;Backroom Backstabber;High;M23047;x
86056;Foreign Minister;O. Löwenfels-Aarengau;45;PA;General Staffer;High;M23048;x
86057;Foreign Minister;Guido Schmidt;36;FA;The Cloak N Dagger Schemer;High;M23057;x
86058;Foreign Minister;Eduard Baar-Baarenfels;38;FA;Iron Fisted Brute;High;M23005;x
86059;Foreign Minister;Albert Mendsdorff-Pouilly;39;FA;Apologetic Clerk;Medium;M23049;x
86060;Foreign Minister;Wilhelm Wolff;38;NS;Ideological Crusader;High;M23013;x
86061;Foreign Minister;Edmund Glaise-Horstenau;42;NS;General Staffer;Medium;M23061;x
86062;Foreign Minister;Karl Gruber;38;SC;Biased Intellectual;Low;M23086;x
86063;Foreign Minister;Leopold Figl;45;ML;Great Compromiser;Medium;M23045;x
86064;Foreign Minister;Adolf Schärf;45;ML;Biased Intellectual;Medium;M23022;x
86065;Foreign Minister;Alfred Klahr;38;LE;Ideological Crusader;High;M23033;x
86066;Foreign Minister;Willi Frank;45;ST;Iron Fisted Brute;Medium;M23035;x
86067;Minister of Armament;T. Winkler-Kreuth-Mautner;45;PA;laissez-faire capitalist;High;M23067;x
86068;Minister of Armament;Albert Mendsdorff-Pouilly;46;PA;Administrative Genius;Medium;M23049;x
86069;Minister of Armament;Josef Dobretsberger;36;FA;laissez-faire capitalist;High;M23069;x
86070;Minister of Armament;Paul von Hegedüs;38;FA;Battle Fleet Proponent;High;M23009;x
86071;Minister of Armament;Rudolf Neumayr;38;NS;Resource Industrialist;Medium;M23014;x
86072;Minister of Armament;Hans Fischböck;42;NS;Military Entrepreneur;High;M23072;x
86073;Minister of Armament;Alfred Maleta;44;NS;Tank Proponent;Medium;M23073;x
86074;Minister of Armament;Eduard Heinl;38;ML;Theoretical Scientist;Medium;M23024;x
86075;Minister of Armament;Karl Gruber;42;ML;Air Superiority Proponent;Low;M23086;x
86076;Minister of Armament;Karl Renner;45;SC;Strategic Air Proponent;Low;M23021;x
86077;Minister of Armament;Karl Tuppy;45;SD;Corrupt Kleptocrat;Low;M23077;x
86078;Minister of Armament;Fritz Stöckinger;46;SD;Air to Ground Proponent;High;M23078;x
86079;Minister of Armament;Ludwig Huelgerth;46;SD;Air to Sea Proponent;Medium;M23052;x
86080;Minister of Armament;Robert Winterstein;38;LE;Submarine Proponent;Medium;M23025;x
86081;Minister of Armament;Erwin Puschmann;45;ST;Infantry Proponent;Medium;M23034;x
86082;Minister of Security;W. Ehrenburg von Lüttitz;45;PA;Efficient Sociopath;High;M23082;x
86083;Minister of Security;Kurt Schuschnigg;37;FA;Compassionate Gentleman;High;M23002;x
86084;Minister of Security;Constantin Dumba;38;FA;Man of the People;Medium;M23084;x
86085;Minister of Security;Arthur Seyss-Inquart;38;NS;Silent Lawyer;High;M23011;x
86086;Minister of Security;Hanns Rauter;42;NS;Man of the People;High;M23086;x
86087;Minister of Security;Edmund Glaise-Horstenau;44;NS;Prince of Terror;Medium;M23050;x
86088;Minister of Security;Robert Winterstein;38;SC;Crooked Kleptocrat;Medium;M23025;x
86089;Minister of Security;Karl Tuppy;45;SC;Efficient Sociopath;Low;M23077;x
86090;Minister of Security;Franz Sebek;45;SD;Compassionate Gentleman;High;M23036;x
86091;Minister of Security;Otto Bauer;38;LE;Back Stabber;Very Low;M23031;x
