URO;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
110001;Head of State;Manuel XXVI;36;PA;Ruthless Powermonger;High;M18001;x
110002;Head of Government;Constantinos Demertzis;36;PA;Naive Optimist;NA;M18002;x
110003;Foreign Minister;Constantinos Demertzis;36;PA;Biased Intellectual;Very High;M18002;x
110004;Minister of Armament;Georgios Mantzavinos;36;PA;Military Entrepreneur;Medium;M18004;x
110005;Minister of Security;Georgios Logothetis;36;PA;Crime Fighter;Medium;M18005;x
110006;Head of Military Intelligence;Georgios Logothetis;36;PA;Dismal Enigma;Medium;M18005;x
110007;Chief of Staff;Theodor Pangalos;36;PA;School of Defence;Low;M18007;x
110008;Chief of Army;Alexandros Papagos;36;PA;Elastic Defence Doctrine;Low;M18008;x
110009;Chief of Navy;Anastassio Sakellariou;36;PA;Open Seas Doctrine;Medium;M18009;x
110010;Chief of Air Force;Panagotis Papanikolaou;36;SC;Carpet Bombing Doctrine;Medium;M18042;x
110040;Head of State;Grigoriev Murnov;41;NS;Weary Stiffneck;High;M18040;x
110041;Head of State;Mario Vercellino;42;NS;Resigned Generalissimo;High;M18041;x
110042;Head of State;Reinhard Altenburg;43;NS;Autocratic Charmer;High;M18042;x
110046;Head of Government;Themistocles Sophoulis;36;SL;Flamboyant Tough Guy;High;M18014;x
110047;Head of Government;Georgios Papandreou;44;SL;Silent Workhorse;High;M18015;x
110048;Head of Government;Panagiolis Poulitsas;46;SL;Smiling Oilman;High;M18048;x
110049;Head of Government;Ioannis Metaxas;36;SC;Old General;High;M18049;x
110050;Head of Government;Alexandros Korizis;41;SC;Political Protege;High;M18050;x
110051;Head of Government;Emmanouel Tsouderos;41;SC;Happy Amateur;High;M18051;x
110052;Head of Government;Sophocles Venizelos;44;SC;Naive Optimist;High;M18012;x
110053;Head of Government;Konstantinos Tsaldaris;46;SC;Old General;High;M18053;x
110054;Head of Government;Dimitrios Maximos;47;SC;Political Protege;High;M18054;x
