AFG;Ruling Cabinet - Start;Name;{pp;;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;X
155001;Head of State;Muhammed Zahir;33;FA;Autocratic Charmer;Very High;M54001;X
155002;Head of Government;Muhammed Hashim;33;FA;Happy Amateur;High;M54002;X
155003;Foreign Minister;Haji Faiz Muhammed Zikeria;33;FA;Ideological Crusader;High;M54003;X
155004;Minister of Armament;Abdul Majid Zabuli;33;FA;Laissez-Faire Capitalist;High;M54004;X
155005;Minister of Security;Muhammed Hashim;33;FA;Crooked Kleptocrat;Medium;M54002;X
155006;Head of Military Intelligence;Shah Mahmud Ghazi;33;FA;Dismal Enigma;Medium;M54006;X
155007;Chief of Staff;Mohammed Daoud;33;FA;School of Psychology;High;M54007;X
155008;Chief of Army;Mohammed Daoud;33;FA;Elastic Defence Doctrine;Medium;M54007;X
155009;Chief of Navy;Muhammed Zahir;33;FA;Indirect Approach Doctrine;Medium;M54009;X
155010;Chief of Air Force;Mohammed Daoud;33;FA;Army Aviation Doctrine;Medium;M54007;X
155011;Head of State;Muhammed Zahir;39;SC;Benevolent Gentleman;High;2138;X
155012;Head of State;Muhammed Zahir;36;PA;Autocratic Charmer;Very High;2138;X
155013;Head of Government;Muhammed Hashim;39;SC;Happy Amateur;High;M54002;X
155014;Head of Government;Shah Mahmud Ghazi;46;PA;Old General;High;M54006;X
155015;Foreign Minister;Abdul Hadi Dawai;37;FA;Apologetic Clerk;High;M54013;X
155016;Foreign Minister;Amanullah;33;FA;Ideological Crusader;Low;M54011;X
155017;Foreign Minister;Mohammed Daoud;39;SC;Great Compromiser;Medium;M54007;X
155018;Foreign Minister;Wazir Akbar Khan;42;SC;General Staffer;Medium;M54018;X
155019;Foreign Minister;Ali Muhammed Khan;39;SC;Biased Intellectual;Medium;M54020;X
155020;Foreign Minister;Mohammed Etemadi Khan;44;SC;The Cloak N Dagger Schemer;Medium;M54016;X
155021;Foreign Minister;Asadullah Seraj Khan;45;PA;Iron Fisted Brute;High;M54031;X
155022;Minister of Armament;Mohammed Daoud;37;FA;Air to Ground Proponent;Medium;M54007;X
155023;Minister of Armament;Italo Sergente;38;FA;Tank Proponent;Low;M54033;X
155024;Minister of Armament;Bortolo Berlotti;39;FA;Administrative Genius;Low;M54034;X
155025;Minister of Armament;Asadullah Seraj Khan;39;SC;Infantry Proponent;Medium;M54031;X
155026;Minister of Armament;Haji Faiz Muhammed Zikeria;40;SC;laissez-faire capitalist;High;M54003;X
155027;Minister of Armament;Nasirullah Husain;40;SC;Battle Fleet Proponent;Medium;M54019;X
155028;Minister of Armament;Feruccio Serafini;40;SC;Air Superiority Proponent;Medium;M54038;X
155029;Minister of Armament;Amanullah;33;SC;Corrupt Kleptocrat;Low;M54011;X
155030;Minister of Armament;Massimo Pilotti;41;SC;Theoretical Scientist;Medium;M54040;X
155031;Minister of Armament;Pompeo Aloisi;43;SC;Military Entrepreneur;Medium;M54041;X
155032;Minister of Armament;Shah Wali Khan;44;SC;Strategic Air Proponent;Medium;M54042;X
155033;Minister of Armament;Mohammed Etemadi Khan;45;PA;Submarine Proponent;Medium;M54016;X
155034;Minister of Armament;Muhammed Nowroz;46;PA;Resource Industrialist;High;M54044;X
155035;Minister of Armament;Ali Muhammed Khan;47;PA;Air to Sea Proponent;Medium;M54020;X
155036;Minister of Security;Carlo Garbasso;38;FA;Prince of Terror;High;M54046;X
155037;Minister of Security;Ghulam Faruq Usman;39;FA;Crime Fighter;High;M54047;X
155038;Minister of Security;Ali Muhammed Khan;39;SC;Efficient Sociopath;Medium;M54020;X
155039;Minister of Security;Muhammed Zahir;41;SC;Man of the People;Medium;M54009;X
155040;Minister of Security;Ricci A. Busatti;43;SC;Silent Lawyer;High;M54050;X
155041;Minister of Security;Abdul Majid Zabuli;45;PA;Crooked Kleptocrat;High;M54004;X
155042;Minister of Security;Muhammed Ghobar;46;PA;Back Stabber;Medium;M54015;X
155043;Minister of Security;Asadullah Seraj Khan;47;PA;Compassionate Gentleman;High;M54031;X
155044;Head of Military Intelligence;Pietro Stoppani;37;FA;Industrial Specialist;Medium;M54054;X
155045;Head of Military Intelligence;Carlo Schanzer;38;FA;Technical Specialist;Medium;M54055;X
155046;Head of Military Intelligence;Carlo Enrico Barduzzi;39;SC;Political Specialist;Medium;M54056;X
155047;Head of Military Intelligence;Ali Muhammed Khan;40;SC;Naval Intelligence Specialist;Medium;M54020;X
155048;Head of Military Intelligence;Abdul Majid Zabuli;43;SC;Dismal Enigma;High;M54004;X
155049;Head of Military Intelligence;Mohammed Etemadi Khan;45;PA;Logistics Specialist;Medium;M54016;X
155050;Chief of Staff;Shah Mahmud Ghazi;33;FA;School of Psychology;Medium;M54006;X
155051;Chief of Staff;Wazir Akbar Khan;39;SC;School of Defence;Medium;M54018;X
