ANG;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
568001;Head of State;Antonio Lopes Mateus;36;SC;Insignificant Layman;High;M568001;x
568002;Head of Government;Giedrius Darius;36;PA;Flamboyant Tough Guy;High;M568002;x
568003;Foreign Minister;Karolis Gintaras;36;PA;General Staffer;High;M568003;x
568004;Minister of Armament;Karolis Vincentas;36;PA;Tank Proponent;Medium;M568004;x
568005;Minister of Security;Liudvikas Arturas;36;PA;Man of the People;Medium;M568005;x
568006;Head of Military Intelligence;Lukas Marijus;36;PA;Dismal Enigma;Medium;M568006;x
568007;Chief of Staff;Arturas Paulius;36;PA;School of Psychology;Medium;M568007;x
568008;Chief of Army;Kazimeras Bronislovas;36;PA;Static Defence Doctrine;Medium;M568008;x
568009;Chief of Navy;Gintaras Vilhelmas;36;PA;Indirect Approach Doctrine;Medium;M568009;x
568010;Chief of Air Force;Darius Jurgis;36;PA;Army Aviation Doctrine;Medium;M568010;x
568011;Head of State;Liudvikas Kazimeras;36;ML;Pig-headed Isolationist;High;M568011;x
568012;Head of State;Karolis Vincentas;36;LWR;Resigned Generalissimo;High;M568004;x
568013;Head of Government;Herkus Andrius;36;ML;Happy Amateur;High;M568013;x
568014;Head of Government;Augustas Gvidas;36;LWR;Political Protege;High;M568014;x
568015;Foreign Minister;Waldemar Bornhausen;36;ML;Ideological Crusader;High;M568015;x
568016;Foreign Minister;Vytautas Vincentas;36;LWR;The Cloak N Dagger Schemer;High;M568016;x
568017;Minister of Armament;Andrius Lukas;36;ML;Military Entrepreneur;Medium;M568017;x
568018;Minister of Armament;Giedrius Bronius;36;LWR;Resource Industrialist;Medium;M568018;x
568019;Minister of Security;Paulius Kazimeras;36;ML;Crooked Kleptocrat;Medium;M568019;x
568020;Minister of Security;Tomas Raimondas;43;ML;Silent Lawyer;Medium;M568020;x
568021;Minister of Security;Petras Pranciskus;36;LWR;Compassionate Gentleman;Medium;M568021;x
568022;Head of Military Intelligence;Giedrius Raimondas;36;ML;Industrial Specialist;Medium;M568022;x
568023;Head of Military Intelligence;Giedrius Bronius;36;LWR;Logistics Specialist;Medium;M568023;x
568024;Chief of Staff;Karolis Vincentas;43;PA;School of Manoeuvre;Medium;M568004;x
568025;Chief of Staff;Kazimeras Marijus;36;ML;School of Defence;Medium;M568025;x
568026;Chief of Staff;Petras Ramunas;36;LWR;School of Mass Combat;Medium;M568026;x
568027;Chief of Army;Steponas Tomas;41;PA;Elastic Defence Doctrine;Medium;M568027;x
568028;Chief of Army;Lukas Henrikas;36;ML;Guns and Butter Doctrine;Medium;M568028;x
568029;Chief of Army;Karolis Gintaras;36;LWR;Decisive Battle Doctrine;Medium;M568003;x
568030;Chief of Navy;Kazimeras Bronislovas;36;ML;Decisive Naval Battle Doctrine;High;M568030;x
568031;Chief of Navy;Augustas Gvidas;36;LWR;Base Control Doctrine;High;M568014;x
568032;Chief of Air Force;Augustas Karolis;36;ML;Air Superiority Doctrine;Medium;M568032;x
568033;Chief of Air Force;Vytautas Vincentas;36;LWR;Carpet Bombing Doctrine;Medium;M568016;x
568034;Head of State;Augustinas IV;36;PA;Weary Stiffneck;High;M28031;x
EOF;x
