BRA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;X
160001;Head of State;Namir Kouri;33;LWR;Autocratic Charmer;High;M34001;X
160002;Head of Government;Namir Kouri;33;LWR;Naive Optimist;High;M34001;X
160003;Foreign Minister;Shadi Almasi;33;LWR;Iron Fisted Brute;Medium;M34003;X
160004;Minister of Armament;Zuhayr Quraishi;33;SD;Military Entrepreneur;Low;M34004;X
160005;Minister of Security;Safwah Gerges;33;SD;Crime Fighter;High;M34005;X
160006;Head of Military Intelligence;Radi Salib;33;SD;Political Specialist;Very High;M34006;X
160007;Chief of Staff;Yahya Koury;33;LWR;School of Defence;Medium;M34007;X
160008;Chief of Army;Abdul-Hasib Atiyeh;33;LWR;Static Defence Doctrine;Medium;M34008;X
160009;Chief of Navy;Muflih Wasem;33;SD;Open Seas Doctrine;Medium;M34009;X
160010;Chief of Air Force;Ratib Deeb;33;LWR;Army Aviation Doctrine;Medium;M34010;X
160011;Head of State;Rabah Basara;33;ST;Die-hard Reformer;High;M34051;X
160012;Head of State;Qutuz Boutros;45;SD;Benevolent Gentleman;High;M34031;X
160013;Head of State;Isma'il Quraishi;37;ML;Stern Imperialist;High;M34021;X
160014;Head of State;Latif Antar;43;SC;Insignificant Layman;High;M34066;X
160015;Head of State;Yahya Koury;45;SC;Weary Stiffneck;High;M34011;X
160016;Head of State;Hashim Atiyeh;33;FA;Powerhungry Demagogue;High;M34041;X
160017;Head of Government;Rabah Basara;33;ST;Smiling Oilman;High;M34051;X
160018;Head of Government;Qutuz Boutros;45;SD;Naive Optimist;High;M34031;X
160019;Head of Government;Isma'il Quraishi;37;ML;Flamboyant Tough Guy;High;M34021;X
160020;Head of Government;Latif Antar;43;SC;Naive Optimist;High;M34066;X
160021;Head of Government;Yahya Koury;45;PA;Old General;High;M34011;X
160022;Head of Government;Hashim Atiyeh;33;FA;Backroom Backstabber;High;M34041;X
160023;Foreign Minister;Ramadan Baz;38;LWR;Biased Intellectual;Medium;M34076;X
160024;Foreign Minister;Katib Mustafa;44;LWR;Great Compromiser;Medium;M34077;X
160025;Foreign Minister;Taslim Rahal;39;ST;Ideological Crusader;Very Low;M34053;X
160026;Foreign Minister;Abdul-Aliyy Aswad;42;LE;The Cloak N Dagger Schemer;High;M34079;X
160027;Foreign Minister;Kadar Assaf;37;SD;The Cloak N Dagger Schemer;High;M34080;X
160028;Foreign Minister;Nawaf Bishara;45;SD;Great Compromiser;High;M34033;X
160029;Foreign Minister;Nawaf Bishara;37;ML;The Cloak N Dagger Schemer;Low;M34033;X
160030;Foreign Minister;Muhannad Totah;39;ML;Great Compromiser;High;M34083;X
160031;Foreign Minister;Abdul-Khaliq Kanaan;43;ML;Biased Intellectual;Low;M34084;X
160032;Foreign Minister;Harith Salib;43;SC;Ideological Crusader;High;M34086;X
160033;Foreign Minister;Al Tayyib Quraishi;46;SC;Biased Intellectual;High;M34087;X
160034;Foreign Minister;Waqqas Naser;47;SC;Great Compromiser;High;M34013;X
160035;Foreign Minister;Abdul-Hasib Atiyeh;45;SC;General Staffer;High;M34008;X
160036;Foreign Minister;Subhi Atiyeh;37;FA;Iron Fisted Brute;Low;M34043;X
160037;Foreign Minister;Hashim Atiyeh;42;FA;Apologetic Clerk;Medium;M34041;X
160038;Foreign Minister;Nabeel Maalouf;44;FA;General Staffer;Medium;M34047;X
160039;Minister of Armament;Jalal Gaber;37;LWR;Tank Proponent;High;M34093;X
160040;Minister of Armament;Shadi Almasi;39;LWR;laissez-faire capitalist;Medium;M34003;X
160041;Minister of Armament;Namir Kouri;41;LWR;Administrative Genius;High;M34001;X
160042;Minister of Armament;Luqman Nassar;43;LWR;Corrupt Kleptocrat;Medium;M34096;X
160043;Minister of Armament;Taslim Rahal;41;ST;Air Superiority Proponent;Very Low;M34053;X
160044;Minister of Armament;Rabah Basara;45;SD;Strategic Air Proponent;Very Low;M34051;X
160045;Minister of Armament;Abdul-Muqtadir Basara;37;ML;Resource Industrialist;Medium;M34024;X
160046;Minister of Armament;Zayd Hajjar;39;ML;Theoretical Scientist;Medium;M34103;X
160047;Minister of Armament;Humam Fakhoury;40;ML;laissez-faire capitalist;High;M34104;X
160048;Minister of Armament;Isma'il Quraishi;43;ML;Air to Ground Proponent;Medium;M34021;X
160049;Minister of Armament;Wajdi Asker;45;ML;Air Superiority Proponent;High;M34106;X
160050;Minister of Armament;Latif Antar;43;SC;Administrative Genius;Low;M34066;X
160051;Minister of Armament;Muhannad Totah;42;SC;Battle Fleet Proponent;High;M34083;X
160052;Minister of Armament;Husain Moghadam;45;SC;Resource Industrialist;High;M34014;X
160053;Minister of Armament;Rabah Gerges;46;SC;Submarine Proponent;Medium;M34044;X
160054;Minister of Armament;Rabah Gerges;37;FA;Military Entrepreneur;Medium;M34044;X
160055;Minister of Armament;Murtadi Haddad;41;FA;Infantry Proponent;High;M34112;X
160056;Minister of Armament;Jubair Nahas;43;FA;laissez-faire capitalist;High;M34113;X
160057;Minister of Security;Katib Mustafa;37;LWR;Compassionate Gentleman;Medium;M34077;X
160058;Minister of Security;Alim Mansour;40;LWR;Man of the People;Low;M34035;X
160059;Minister of Security;Kadar Assaf;43;LWR;Crooked Kleptocrat;High;M34080;X
160060;Minister of Security;Abdul-Quddus Seif;39;ST;Prince of Terror;High;M34055;X
160061;Minister of Security;Qutaibah Kassis;44;ST;Man of the People;High;M34119;X
160062;Minister of Security;Najjar Totah;39;SD;Efficient Sociopath;High;M34118;X
160063;Minister of Security;Abdul-Aliyy Aswad;41;SD;Silent Lawyer;High;M34079;X
160064;Minister of Security;Abdul-Quddus Seif;45;SD;Back Stabber;Low;M34055;X
160065;Minister of Security;Abdul-Qadir Shadid;37;ML;Compassionate Gentleman;Medium;M34015;X
160066;Minister of Security;Diya al Din Nazari;39;ML;Silent Lawyer;High;M34025;X
160067;Minister of Security;Mudar Arian;43;ML;Prince of Terror;High;M34126;X
160068;Minister of Security;Waqqas Naser;43;SC;Back Stabber;High;M34013;X
160069;Minister of Security;Abdul-Wajid Shammas;45;SC;Crime Fighter;Medium;M34128;X
160070;Minister of Security;Mudar Arian;46;SC;Prince of Terror;High;M34126;X
160071;Minister of Security;Salah al Din Tannous;47;SC;Efficient Sociopath;High;M34130;X
160072;Minister of Security;Khaldoon Malouf;37;FA;Efficient Sociopath;Medium;M34045;X
160073;Minister of Security;Jubair Nahas;40;FA;Prince of Terror;High;M34113;X
160074;Minister of Security;Salah al Din Tannous;43;FA;Back Stabber;High;M34130;X
160075;Head of Military Intelligence;Abdul-Rafi Antoun;39;LWR;Logistics Specialist;High;M34134;X
160076;Head of Military Intelligence;Ahusto de Souza e Silva;43;LWR;Political Specialist;High;M34056;X
160077;Head of Military Intelligence;Qutaibah Kassis;43;ST;Naval Intelligence Specialist;High;M34119;X
160078;Head of Military Intelligence;Alim Mansour;45;SD;Technical Specialist;Low;M34035;X
160079;Head of Military Intelligence;Abdul-Qadir Shadid;37;ML;Naval Intelligence Specialist;Medium;M34015;X
160080;Head of Military Intelligence;Diya al Din Nazari;39;ML;Dismal Enigma;High;M34025;X
