CAN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
220001;Head of State;Axel Sundberg;36;ML;Benevolent Gentleman;High;M45001;x
220002;Head of Government;Algot Sjöberg;36;ML;Flamboyant Tough Guy;High;M45002;x
220003;Foreign Minister;Algot Sjöberg;36;ML;Great Compromiser;Undying;M45002;x
220004;Minister of Armament;Melvin Sandberg;36;ML;Administrative Genius;High;M45004;x
220005;Minister of Security;Axel Norberg;36;ML;Crime Fighter;Very High;M45005;x
220006;Head of Military Intelligence;Tim Abrahamsson;36;ML;Technical Specialist;High;M45006;x
220007;Chief of Staff;Tage Bengtsson;36;ML;School of Fire Support;Very High;M45007;x
220008;Chief of Army;Tage Bengtsson;36;ML;Guns and Butter Doctrine;Very High;M45007;x
220009;Chief of Navy;Gordon Ekström;36;ML;Open Seas Doctrine;Very High;M45009;x
220010;Chief of Air Force;Dennis Berglund;36;ML;Carpet Bombing Doctrine;Very High;M45010;x
220011;Head of State;Tobias Strömberg;36;FA;Barking Buffoon;High;M45011;x
220012;Head of State;Sigge Petersson;36;ST;Insignificant Layman;High;M45021;x
220013;Head of Government;Stefan Carlsson;36;SC;Silent Workhorse;High;M45036;x
220014;Head of Government;Per Svensson;36;SC;Naive Optimist;High;M45037;x
220015;Head of Government;Sven Öberg;44;SC;Smiling Oilman;High;M45038;x
220016;Head of Government;Tobias Strömberg;36;FA;Happy Amateur;High;M45011;x
220017;Head of Government;Sigge Petersson;36;ST;Ambitious Union Boss;High;M45021;x
220018;Foreign Minister;Martin Persson;46;ML;General Staffer;High;M45042;x
220019;Foreign Minister;Stefan Carlsson;36;SC;Iron Fisted Brute;Undying;M45036;x
220020;Foreign Minister;Bruno Bergman;38;SC;Ideological Crusader;High;M45044;x
220021;Foreign Minister;Per Svensson;36;SC;Apologetic Clerk;Undying;M45037;x
220022;Foreign Minister;Sven Öberg;44;SC;Biased Intellectual;Undying;M45038;x
220023;Foreign Minister;Tobias Strömberg;36;FA;Ideological Crusader;Low;M45011;x
220024;Foreign Minister;Karl Ström;44;PA;Iron Fisted Brute;Medium;M45016;x
220025;Foreign Minister;Sigge Petersson;36;ST;The Cloak N Dagger Schemer;Very Low;M45021;x
220026;Foreign Minister;Henning Sandström;42;LWR;Biased Intellectual;Medium;M45050;x
220027;Foreign Minister;Albert Åberg;45;LE;Ideological Crusader;Medium;M45028;x
220028;Minister of Armament;Viking Månsson;39;ML;Infantry Proponent;High;M45053;x
220029;Minister of Armament;Arvin Blomqvist;44;ML;Submarine Proponent;Very High;M45054;x
220030;Minister of Armament;Moltas Lundberg;36;ML;laissez-faire capitalist;Low;M45055;x
220031;Minister of Armament;Johannes Sjögren;40;SC;Resource Industrialist;High;M45056;x
220032;Minister of Armament;Henning Bergström;40;SC;railroad baron;Very High;M45057;x
220033;Minister of Armament;Ludvig Andreasson;36;PA;Corrupt Kleptocrat;Very Low;M45014;x
220034;Minister of Armament;Jonny Henriksson;39;PA;Air to Ground Proponent;Medium;M45059;x
220035;Minister of Armament;Timmy Dahlberg;42;PA;Infantry Proponent;Medium;M45060;x
220036;Minister of Armament;Gunnar Henriksson;44;PA;Battle Fleet Proponent;Medium;M45061;x
220037;Minister of Armament;Thim Lundin;45;PA;Resource Industrialist;Medium;M45062;x
220038;Minister of Armament;Christoffe Persson;36;LWR;Tank Proponent;Low;M45024;x
220039;Minister of Armament;Oskar Söderberg;38;LE;Resource Industrialist;Low;M45064;x
220040;Minister of Armament;Gabriel Axelsson;41;LWR;Infantry Proponent;Medium;M45065;x
220041;Minister of Armament;Henning Svensson;43;LE;Air Superiority Proponent;Medium;M45030;x
220042;Minister of Security;Anders Gustafsson;44;ML;Compassionate Gentleman;Medium;M45069;x
220043;Minister of Security;Emanuel Ekström;36;ML;Man of the People;Very High;M45070;x
220044;Minister of Security;Edvard Berg;40;SC;Silent Lawyer;High;M45071;x
220045;Minister of Security;Nicolas Göransson;41;ML;Crime Fighter;High;M45042;x
220046;Minister of Security;Tage Jonasson;44;SC;Man of the People;High;M45073;x
