EGY;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
512002;Head of Government;Ali Mahir Pasha;36;FA;Silent Workhorse;High;M512002;x
512003;Foreign Minister;Ali Mahir Pasha;36;FA;Great Compromiser;High;M512002;x
512004;Minister of Armament;John F. King;36;FA;resource industrialist;Medium;M512004;x
512005;Minister of Security;Mustafa an-Nahhas Pasha;36;FA;Silent Lawyer;Medium;M512005;x
512006;Head of Military Intelligence;Mohammed Hilmi Issa;36;FA;Dismal Enigma;Medium;M512006;x
512007;Chief of Staff;Hassan Sabry Pasha;36;FA;School of Defence;Medium;M512007;x
512008;Chief of Army;Hassan Sabry Pasha;36;FA;Static Defence Doctrine;Medium;M512007;x
512009;Chief of Navy;Abdallah Ziwar Pasha;36;FA;Indirect Approach Doctrine;Medium;M512009;x
512013;Head of State;Michael Alexander;36;FA;Autocratic Charmer;High;M512013;x
512014;Head of Government;Mustafa an-Nahhas Pasha;36;FA;Flamboyant Tough Guy;High;M512005;x
512015;Head of Government;Hassan Sabry Pasha;40;FA;Old General;High;M512007;x
512016;Head of Government;Mahmoud an Nukraishi Pasha;40;FA;Backroom Backstabber;High;M512016;x
512017;Head of Government;John Lethbridge;36;ML;Happy Amateur;High;M512077;x
512018;Head of Government;Ali Mahir Pasha;39;ML;Smiling Oilman;High;M512002;x
512019;Head of Government;Elie Nessim Mosseri;40;ML;Political Protege;High;M512019;x
512020;Head of Government;Mahmoud an Nukraishi Pasha;45;ML;Silent Workhorse;High;M512016;x
512021;Head of Government;Ismail Sidqi Pasha;46;ML;Naive Optimist;High;M512021;x
512022;Head of Government;Abdelhamid Badawi Pasha;36;SC;Ambitious Union Boss;High;M512022;x
512023;Head of Government;Mohammed al Fransawi;38;SC;Political Protege;High;M512023;x
512024;Head of Government;Mustafa an-Nahhas Pasha;42;SC;Backroom Backstabber;High;M512005;x
512025;Head of Government;Ali Mahir Pasha;45;SC;Naive Optimist;High;M512025;x
512026;Head of Government;Abdallah Ziwar Pasha;36;SD;Old Admiral;High;M512009;x
512027;Head of Government;Ken Phillips;40;SD;Corporate Suit;High;M512027;x
512028;Foreign Minister;Mohammed al Fransawi;36;FA;The Cloak N Dagger Schemer;High;M512023;x
512029;Foreign Minister;Robert M. Edwards;37;FA;Apologetic Clerk;High;M512029;x
512030;Foreign Minister;Hassan Sabry Pasha;39;FA;General Staffer;High;M512007;x
512031;Foreign Minister;Salib Sami Bey;40;FA;Iron Fisted Brute;High;M512031;x
512032;Foreign Minister;John Lethbridge;45;FA;Biased Intellectual;High;M512077;x
