FRA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;X
5002;Head of Government;Albert Sarraut;33;SL;Happy Amateur;High;M2002;X
5003;Foreign Minister;Pierre Etienne Flandin;33;SL;Ideological Crusader;Low;M2003;X
5005;Minister of Security;Marx Dormoy;33;SL;Compassionate Gentleman;Medium;M2005;X
5010;Chief of Air Force;Victor Denain;33;SL;Carpet Bombing Doctrine;Medium;M2010;X
5012;Head of State;Daniel Mayer;44;SD;Weary Stiffneck;High;M2023;X
5013;Head of State;Maurice Thorez;33;ST;Powerhungry Demagogue;High;M2011;X
5014;Head of State;Charles de Gaulle;40;SC;Resigned Generalissimo;High;M2027;X
5015;Head of State;Jean de Bourbon;38;PA;Benevolent Gentleman;High;M2032;X
5016;Head of Government;Léon Blum;33;SD;Naive Optimist;High;M2033;X
5017;Head of Government;Felix Gouin;40;SD;Smiling Oilman;High;M2034;X
5018;Head of Government;Paul Ramadier;47;SD;Ambitious Union Boss;High;M2035;X
5019;Head of Government;Camille Chautemps;37;SL;Silent Workhorse;High;M2036;X
5020;Head of Government;Edouard Daladier;33;SD;Naive Optimist;High;M2037;X
5021;Head of Government;Paul Reynaud;40;SL;Political Protege;High;M2038;X
5026;Head of Government;Antoine Henri Queuille;41;SC;Corporate Suit;High;M2043;X
5027;Head of Government;Jacques Duclos;33;ST;Backroom Backstabber;High;M2012;X
5028;Head of Government;Marcel Cachin;38;ST;Silent Workhorse;High;M2017;X
5029;Head of Government;Charles de Gaulle;40;SC;Old General;High;M2027;X
5030;Head of Government;Jean-Marie Lattre de Tassigny;38;SC;Old General;High;M2047;X
5031;Foreign Minister;Joseph Paul Boncour;33;SD;Ideological Crusader;Medium;M2049;X
5032;Foreign Minister;Pierre Comert;41;SD;The Cloak N Dagger Schemer;Medium;M2050;X
5033;Foreign Minister;Léon Blum;47;SD;Apologetic Clerk;Very High;M2033;X
5034;Foreign Minister;Yvon Delbos;33;SL;Biased Intellectual;Medium;M2048;X
5035;Foreign Minister;Georges Bonnet;38;SL;Iron Fisted Brute;Medium;M2053;X
5036;Foreign Minister;Edouard Daladier;39;SD;Great Compromiser;High;M2037;X
5041;Foreign Minister;René Charron;44;SC;Apologetic Clerk;Medium;M2059;X
5042;Foreign Minister;Pierre Henri Watier;47;SC;Biased Intellectual;Medium;M2060;X
5043;Foreign Minister;René Lucien Massigli;43;SC;The Cloak N Dagger Schemer;High;M2061;X
5044;Foreign Minister;Marcel Cachin;33;ST;Biased Intellectual;Very High;M2017;X
5045;Foreign Minister;Marcel Gitton;40;ST;Apologetic Clerk;Medium;M2020;X
5046;Foreign Minister;Laurent Casenove;43;ST;Great Compromiser;Medium;M2064;X
5047;Foreign Minister;Jacques Duclos;47;ST;Ideological Crusader;Very High;M2012;X
5048;Foreign Minister;Maurice Bourges-Maunoury;38;PA;General Staffer;High;M2066;X
5049;Minister of Armament;Edouard Daladier;37;SD;laissez-faire capitalist;Low;M2037;X
5050;Minister of Armament;Jean Louis Barthou;38;SD;Military Entrepreneur;Medium;M2069;X
5051;Minister of Armament;Leon Jouhaux;41;SD;Strategic Air Proponent;Medium;M2070;X
5052;Minister of Armament;Guy Mollet;46;SD;Theoretical Scientist;Medium;M2071;X
5053;Minister of Armament;André Le Troquer;47;SD;Resource Industrialist;Medium;M2072;X
5054;Minister of Armament;Raoul Dautry;33;SL;Theoretical Scientist;High;M2073;X
5055;Minister of Armament;Louis Loucheur;37;SL;Air to Ground Proponent;Medium;M2074;X
5057;Minister of Armament;Marcel Hoden;39;SL;Air Superiority Proponent;Medium;M2076;X
5058;Minister of Armament;Charles de Gaulle;40;SC;Tank Proponent;High;M2027;X
5059;Minister of Armament;Georges Bonnet;33;SL;Resource Industrialist;Medium;M2053;X
5061;Minister of Armament;Joseph Louis Avenol;37;SC;Battle Fleet Proponent;Medium;M2080;X
5062;Minister of Armament;Marie Emile Fayolle;38;SC;Infantry Proponent;Medium;M2081;X
5065;Minister of Armament;André Marie;41;ML;Air Superiority Proponent;Medium;M2041;X
5067;Minister of Armament;Louis Armand;44;SC;Tank Proponent;Medium;M2086;X
