GEO;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;X
475001;Head of State;Kandid Charkviani;33;ST;Barking Buffoon;High;M519001;X
475002;Head of Government;Lavrentij Beria;33;ST;Flamboyant Tough Guy;High;M519002;X
475003;Foreign Minister;Budu Mdivani;33;ST;The Cloak N Dagger Schemer;High;M519003;X
475004;Minister of Armament;Georgi Eliava;33;ST;Theoretical Scientist;Medium;M519004;X
475005;Minister of Security;Sergo Ordzhonikidzhe;33;ST;Prince of Terror;Medium;M519005;X
475006;Head of Military Intelligence;Nikola Nakashidzhe;33;ST;Industrial Specialist;Medium;M519006;X
475007;Chief of Staff;Lavrentij Beria;33;ST;School of Psychology;Medium;M519007;X
475008;Chief of Army;Igor D. Tcherniakhovski;33;ST;Elastic Defence Doctrine;Medium;M519008;X
475009;Chief of Navy;Alexei Brusilov;33;ST;Open Seas Doctrine;Medium;M519009;X
475010;Chief of Air Force;Mamia Orakhelashvili;33;ST;Naval Aviation Doctrine;Medium;M519010;X
475011;Head of State;Raphael Ivanitski-Ingilo;33;SD;Pig-headed Isolationist;High;M519011;X
475012;Head of State;Margaretha I. Abkhazi;33;SL;Popular Figurehead;High;M519012;X
475013;Head of State;Irakly IV. Bagration de Moukhani;33;SC;Autocratic Charmer;High;M519013;X
475014;Head of State;Andriy II. Chivadjeze;33;NS;Stern Imperialist;High;M519014;X
475015;Head of Government;Mikheil Javakhishvili;33;SD;Naive Optimist;High;M519015;X
475016;Head of Government;Dr. Ivane Tsitsishvili;33;SL;Backroom Backstabber;High;M519016;X
475017;Head of Government;Ivane Javakhishvili;33;SC;Silent Workhorse;High;M519017;X
475018;Head of Government;Mikhail von Tsereteli;33;NS;Happy Amateur;High;M519018;X
475019;Foreign Minister;Mukhran Niniadzhe;33;ST;Iron Fisted Brute;High;M519019;X
475020;Foreign Minister;Filipp Makharadzhe;33;ST;Ideological Crusader;High;M519020;X
475021;Foreign Minister;Shalva Amirejbi;33;SD;Apologetic Clerk;High;M519021;X
475022;Foreign Minister;Abbot Ephrem Korselidzhe;33;SL;Apologetic Clerk;High;M519022;X
475023;Foreign Minister;Valentin S. Oschepov;33;SL;Biased Intellectual;High;M519023;X
475024;Foreign Minister;Kalistrate Tsintadzhe;33;SC;Iron Fisted Brute;High;M519024;X
475025;Foreign Minister;Alexander Nikuradze;33;NS;Great Compromiser;High;M519025;X
475026;Minister of Armament;Batchua Zezvasdze;33;ST;Resource Industrialist;Medium;M519026;X
475027;Minister of Armament;Beso Lominadzhe;33;SD;Theoretical Scientist;Medium;M519027;X
475028;Minister of Armament;Tedore Sakhoia;33;SD;Resource Industrialist;Medium;M519028;X
475029;Minister of Armament;Gheorghe Gvazava;33;SL;laissez-faire capitalist;Medium;M519029;X
475030;Minister of Armament;Avel Enukidzhe;33;SC;Air Superiority Proponent;High;M519030;X
475031;Minister of Armament;Vasil G. Tsereteli;33;SC;Air to Ground Proponent;High;M519031;X
475032;Minister of Armament;Revaz Gabashvili;33;NS;Infantry Proponent;High;M519032;X
475033;Minister of Security;Sergei Kavtaradzhe;33;ST;Efficient Sociopath;Medium;M519033;X
475034;Minister of Security;Stalva Eliavi;33;SD;Prince of Terror;Medium;M519034;X
475035;Minister of Security;Noe Jordania;33;SL;Efficient Sociopath;Medium;M519035;X
475036;Minister of Security;Mehmed Abashidzhe;33;SC;Back Stabber;Medium;M519036;X
475037;Minister of Security;Ali Mitaev;33;SC;Crime Fighter;Medium;M519037;X
475038;Minister of Security;Ekvtime Takaishivili;33;NS;Crime Fighter;Medium;M519038;X
475039;Head of Military Intelligence;Gyrogy Sturua;33;ST;Logistics Specialist;Medium;M519039;X
475040;Head of Military Intelligence;Georgi Eliava;33;SD;Technical Specialist;Medium;M519004;X
475041;Head of Military Intelligence;Nikoloz Kartsivadzhe;33;SD;Political Specialist;Medium;M519041;X
475042;Head of Military Intelligence;Mihael Akhmeteli;33;SL;Logistics Specialist;Medium;M519042;X
475043;Head of Military Intelligence;Markoz Tugushi;33;SC;Dismal Enigma;Medium;M519043;X
475044;Head of Military Intelligence;Merab Kostava;33;NS;Industrial Specialist;Medium;M519044;X
475045;Chief of Staff;Sekhnia Utchashvili;33;ST;School of Defence;Medium;M519045;X
475046;Chief of Staff;Kakutsa Cholokashvili;33;SD;School of Manoeuvre;Medium;M519046;X
475047;Chief of Staff;Shalva Karumidzhe;33;SL;School of Mass Combat;Medium;M519047;X
475048;Chief of Staff;Konstantine Abkhazi;33;SC;School of Fire Support;Medium;M519048;X
475049;Chief of Staff;Gaguca de Bagration;33;NS;School of Manoeuvre;Medium;M519049;X
475050;Chief of Army;Alexei Brusilov;33;ST;Static Defence Doctrine;Medium;M519050;X
475051;Chief of Army;Levan Razikashvili;33;SD;Decisive Battle Doctrine;Medium;M519051;X
475052;Chief of Army;Wardan Tsulukidzhe;33;SL;Elastic Defence Doctrine;Medium;M519052;X
475053;Chief of Army;Niko Nikoladzhe;33;SC;Guns and Butter Doctrine;Medium;M519053;X
475054;Chief of Army;Shalva Maglakelidzhe;33;NS;Static Defence Doctrine;Medium;M519054;X
475055;Chief of Navy;Valerian Bakradzhe;33;ST;Base Control Doctrine;Medium;M519055;X
475056;Chief of Navy;Dr. Samson Pirtskhalava;33;SD;Power Projection Doctrine;Medium;M519056;X
475057;Chief of Navy;Grigol T. Robakidzhe;33;SL;Open Seas Doctrine;Medium;M519057;X
475058;Chief of Navy;Gigla Demnadzhe;33;SC;Decisive Naval Battle Doctrine;Medium;M519058;X
475059;Chief of Navy;Franz Biwer;33;NS;Indirect Approach Doctrine;Medium;M519059;X
475060;Chief of Air Force;Djaba Vepkhiadzhe;33;ST;Army Aviation Doctrine;Medium;M519060;X
475061;Chief of Air Force;Dr. Samson Pirtskhalava;33;SD;Air Superiority Doctrine;Medium;M519056;X
475062;Chief of Air Force;Kote Andronikashvili;33;SL;Naval Aviation Doctrine;Medium;M519062;X
475063;Chief of Air Force;Erich von Falkenhayn;33;SC;Carpet Bombing Doctrine;Medium;M519063;X
475064;Chief of Air Force;Eduard Muhr;33;NS;Air Superiority Doctrine;Medium;M519064;X
475065;Head of Government;Irakli Tsereteli;33;SD;Naive Optimist;High;M4095;X
