GER;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
1;Head of State;Waldemar VII;34;SC;Autocratic Charmer;Very High;M36;x
2;Head of Government;Robert Schuman;36;SL;Silent Workhorse;High;M2;x
3;Foreign Minister;Constantin von Neurath;36;SC;respectable compromiser;High;M3;x
4;Minister of Armament;Werner von Blomberg;36;PA;Infantry Proponent;High;M4;x
5;Minister of Security;Wilhelm Frick;36;PA;Ruthless Organizer;High;M5;x
6;Head of Military Intelligence;Wilhelm Canaris;36;PA;Brilliant Spymaster;Medium;M6;x
7;Chief of Staff;Ludwig Beck;36;SC;School of Manoeuvre;High;M7;x
8;Chief of Army;Werner von Fritsch;36;SC;Armoured Spearhead Doctrine;High;M8;x
9;Chief of Navy;Erich Raeder;36;PA;Decisive Naval Battle Doctrine;High;M9;x
10;Chief of Air Force;Hermann Göring;36;PA;Army Aviation Doctrine;Medium;M10;x
23;Foreign Minister;Helmet Herzfelde;36;ST;Ideological Crusader;High;M23;x
36;Head of State;Frederick III;36;SL;Benevolent Gentleman;High;M37;x
37;Head of State;Waldemar VII;34;FA;Autocratic Charmer;Very High;M36;x
38;Head of State;Theodor Heuss;46;SC;Die-hard Reformer;High;M38;x
39;Head of State;Ludwig Renn;36;ST;Insignificant Layman;High;M21;x
40;Head of Government;Robert Schuman;36;ML;Silent Workhorse;High;M2;x
43;Head of Government;Albert Speer;45;FA;Corporate Suit;High;M43;x
46;Head of Government;Albert Dufour-Feronce;38;SC;Flamboyant Tough Guy;High;M46;x
48;Head of Government;Carl Friedrich Goerdeler;42;SC;Happy Amateur;High;M12;x
49;Head of Government;Johann Schwerin von Krosigk;44;SC;Silent Workhorse;High;M49;x
50;Head of Government;Konrad Adenauer;46;SC;Silent Workhorse;High;M50;x
51;Head of Government;Ernst Thalmann;36;ST;Backroom Backstabber;High;M22;x
52;Head of Government;Ernst Toller;39;ST;Ambitious Union Boss;High;M25;x
53;Head of Government;Walter Ulbricht;46;ST;Backroom Backstabber;High;M53;x
56;Foreign Minister;Joseph Goebbels;42;PA;The Cloak N Dagger Schemer;Very High;M56;x
57;Foreign Minister;Alfred Rosenberg;43;PA;Ideological Crusader;Very High;M57;x
59;Foreign Minister;Johann Schwerin von Krosigk;45;PA;Apologetic Clerk;Very High;M49;x
60;Foreign Minister;Ludwig Kastl;36;SC;Biased Intellectual;High;M60;x
61;Foreign Minister;Franz von Papen;36;PA;Great Compromiser;High;M47;x
63;Foreign Minister;Johann Schwerin von Krosigk;45;SC;Apologetic Clerk;High;M49;x
64;Foreign Minister;Thomas Mann;36;SL;General Staffer;Medium;M64;x
65;Foreign Minister;Albert Dufour-Feronce;38;SC;Great Compromiser;Medium;M46;x
66;Foreign Minister;Wilhelm Waetzoldt;38;SC;Apologetic Clerk;Medium;M66;x
68;Foreign Minister;Friedrich-Werner von der Schulenberg;42;SC;Ideological Crusader;Medium;M68;x
69;Foreign Minister;Ulrich von Hassel;43;SC;The Cloak N Dagger Schemer;Medium;M13;x
70;Foreign Minister;Carl Melchior;45;SC;Ideological Crusader;Medium;M70;x
71;Foreign Minister;Theodor Heuss;46;SC;Apologetic Clerk;Very High;M38;x
72;Foreign Minister;Konrad Adenauer;47;SC;Great Compromiser;Very High;M50;x
73;Foreign Minister;Walter Ulbricht;36;ST;The Cloak N Dagger Schemer;High;M53;x
74;Foreign Minister;Helmut Herzfelde;40;ST;Ideological Crusader;High;M23;x
76;Minister of Armament;Rudolf Hess;36;PA;Strategic Air Proponent;High;M40;x
77;Minister of Armament;Hjalmar Schacht;36;PA;laissez-faire capitalist;Medium;M14;x
78;Minister of Armament;Friedrich Flick;38;PA;laissez-faire capitalist;Medium;M78;x
79;Minister of Armament;Hermann Göring;38;PA;Air To Ground Proponent;Medium;M10;x
80;Minister of Armament;Walter Funk;39;PA;Resource Industrialist;Very High;M80;x
81;Minister of Armament;Walter Darré;39;PA;Military Entrepreneur;Very High;M81;x
82;Minister of Armament;Kurt Daluege;40;PA;Infantry Proponent;Very High;M82;x
83;Minister of Armament;Max Amann;41;PA;Battle Fleet Proponent;Very High;M83;x
85;Minister of Armament;Johann Schwerin von Krosigk;36;PA;Resource Industrialist;Very High;M49;x
86;Minister of Armament;Albert Speer;42;FA;Genius organizer;High;M43;x
87;Minister of Armament;Oswald Pohl;43;PA;Military Entrepreneur;High;M87;x
88;Minister of Armament;Robert Ley;36;NS;Corrupt Kleptocrat;Very High;M88;x
89;Minister of Armament;Karl Otto Saur;45;PA;Planned economy proponent;High;M89;x
90;Minister of Armament;Fritz Thyssen;36;PA;Steel magnate;Medium;M90;x
91;Minister of Armament;Fritz Todt;38;FA;Resource Industrialist;High;M91;x
93;Minister of Armament;Hans-Georg von Friedeburg;42;PA;Submarine Proponent;Very High;M93;x
