IRE;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;X
125001;Head of State;Donal Buckley;1933;ML;Insignificant Layman;High;M25001;X
125002;Head of Government;Eamon de Valera;1933;ML;Flamboyant Tough Guy;High;M25002;X
125003;Foreign Minister;Eamon de Valera;1933;ML;Ideological Crusader;Undying;M25002;X
125004;Minister of Armament;Seán MacEntee;1933;ML;laissez-faire capitalist;High;M25004;X
125005;Minister of Security;Patrick J. Ruttledge;1933;ML;Silent Lawyer;High;M25005;X
125006;Head of Military Intelligence;Gerald Boland;1933;ML;Political Specialist;High;M25006;X
125007;Chief of Staff;M.J. Costello;1933;ML;School of Defence;High;M25007;X
125008;Chief of Army;Donal Buckley;1933;ML;Elastic Defence Doctrine;High;M25001;X
125009;Chief of Navy;H.T. Green;1933;ML;Base Control Doctrine;High;M25009;X
125010;Chief of Air Force;P.A. Mulcahy;1933;ML;Air Superiority Doctrine;High;M25010;X
125011;Head of State;Alasdair McCabe;1933;SD;Benevolent Gentleman;High;M25032;X
125012;Head of State;Seán Lemass;1945;SD;Pig-headed Isolationist;High;M25033;X
125013;Head of State;Frank Fahy;1933;ML;Insignificant Layman;High;M25031;X
125014;Head of State;Douglas Hyde;1937;ML;Popular Figurehead;High;M25035;X
125015;Head of State;Seán T. O'Ceallaigh;1944;ML;Autocratic Charmer;High;M25036;X
125016;Head of State;Frank Fahy;1933;SC;Insignificant Layman;High;M25031;X
125017;Head of State;Eoin MacNeill;1937;SC;Stern Imperialist;High;M25038;X
125018;Head of State;Richard Mulcahy;1944;SC;Barking Buffoon;High;M25039;X
125019;Head of State;Oliver J. Flanagan;1933;PA;Weary Stiffneck;High;M25011;X
125020;Head of State;Jim Larkin sr.;1933;LWR;Barking Buffoon;High;M25021;X
125021;Head of Government;Thomas Johnson;1933;SD;Ambitious Union Boss;High;M25042;X
125022;Head of Government;Seán Lemass;1941;SD;Smiling Oilman;High;M25033;X
125023;Head of Government;William Norton;1944;SD;Happy Amateur;High;M25044;X
125024;Head of Government;W.T. Cosgrave;1933;SC;Silent Workhorse;High;M25046;X
125025;Head of Government;Richard Mulcahy;1944;SC;Corporate Suit;High;M25039;X
125026;Head of Government;John A. Costello;1947;SC;Backroom Backstabber;High;M25048;X
125027;Head of Government;Patrick Sweeney;1933;FA;Happy Amateur;High;M25012;X
125028;Head of Government;James Larkin jr.;1933;LWR;Political Protege;High;M25022;X
125029;Foreign Minister;Liam O'Monahan;1933;SD;Great Compromiser;High;M25051;X
