JAP;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;X
50001;Head of State;Hirohito;33;PA;Puppet emperor;High;M5001;X
50002;Head of Government;Okada Keisuke;33;PA;Happy Amateur;High;M5002;X
50003;Foreign Minister;Hirota Koki;33;PA;Great Compromiser;High;M5003;X
50004;Minister of Armament;Machida Chuji;33;SC;laissez-faire capitalist;High;M5004;X
50005;Minister of Security;Goto Fumio;33;SC;Silent Lawyer;High;M5005;X
50006;Head of Military Intelligence;Okamura Yasuji;33;PA;Political Specialist;Very Low;M5006;X
50007;Chief of Staff;Kanin Kotohito;33;PA;School of Defence;Very Low;M5007;X
50008;Chief of Army;Kanin Kotohito;33;PA;Static Defence Doctrine;Very Low;M5007;X
50009;Chief of Navy;Osumi Mineo;33;FA;Power Projection Doctrine;Very High;M5009;X
50010;Chief of Air Force;Yamamoto Isoroku;33;FA;Naval Aviation Doctrine;Very High;M5010;X
50011;Head of State;Prince Chichibu;33;PA;Ruthless Powermonger;Very High;M5207;X
50012;Head of State;Nosaka Sanzo;33;SD;Barking Buffoon;High;M5011;X
50013;Head of Government;Hayashi Senjuro;33;PA;Smiling Oilman;High;M5033;X
50014;Head of Government;Konoe Fumimaro;37;PA;Flamboyant Tough Guy;High;M5034;X
50015;Head of Government;Abe Nobuyuki;38;PA;Political Protege;High;M5035;X
50016;Head of Government;Yonai Mitsumasa;40;PA;Ambitious Union Boss;High;M5036;X
50017;Head of Government;Suzuki Kantaro;45;PA;Corporate Suit;High;M5037;X
50018;Head of Government;Higashikuni Naruhiko;45;PA;Silent Workhorse;High;M5038;X
50019;Head of Government;Terauchi Hisaichi;46;PA;Naive Optimist;High;M5039;X
50020;Head of Government;Hirota Koki;33;FA;Happy Amateur;High;M5003;X
50021;Head of Government;Hiranuma Kiichiro;39;FA;Old Admiral;High;M5041;X
50022;Head of Government;Tojo Hideki;41;FA;Razor;High;M5042;X
50023;Head of Government;Koiso Kuniaki;44;FA;Corporate Suit;High;M5043;X
50024;Head of Government;Goto Fumio;37;SD;Naive Optimist;High;M5005;X
50025;Head of Government;Katayama Tetsu;45;SD;Political Protege;High;M5027;X
50026;Head of Government;Ugaki Kazushige;33;SC;Silent Workhorse;High;M5028;X
50027;Head of Government;Suzuki Kisaburo;41;SC;Happy Amateur;High;M5029;X
50028;Head of Government;Shidehara Kijuro;45;SC;Naive Optimist;High;M5030;X
50029;Head of Government;Yoshida Shigeru;46;SC;Backroom Backstabber;High;M5031;X
50030;Head of Government;Hatoyama Ichiro;54;SC;Political Protege;High;M5032;X
50031;Head of Government;Miyamoto Kenji;33;LE;Smiling Oilman;High;M5012;X
50032;Foreign Minister;Nosako Sanzo;37;SD;The Cloak N Dagger Schemer;Low;M5011;X
50033;Foreign Minister;Ashida Hitoshi;45;SL;Apologetic Clerk;High;M5046;X
50034;Foreign Minister;Yoshizawa Kenkichi;33;SC;Ideological Crusader;High;M5047;X
50035;Foreign Minister;Okada Keisuke;33;SC;Iron Fisted Brute;High;M5002;X
50036;Foreign Minister;Suzuki Kisaburo;39;SC;The Cloak N Dagger Schemer;Medium;M5029;X
50037;Foreign Minister;Shigemitsu Mamoru;41;SC;Great Compromiser;Medium;M5050;X
50038;Foreign Minister;Yoshida Shigeru;45;SC;Apologetic Clerk;Medium;M5031;X
50039;Foreign Minister;Sato Naotake;37;PA;The Cloak N Dagger Schemer;Medium;M5053;X
50040;Foreign Minister;Ugaki Kazushige;38;PA;Biased Intellectual;Medium;M5028;X
50041;Foreign Minister;Konoe Fumimaro;38;PA;Apologetic Clerk;Medium;M5034;X
