PAR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;X
200001;Head of State;Bernart Joans;33;ML;Benevolent Gentleman;High;M42001;X
200002;Head of Government;Bernart Joans;33;ML;Corporate Suit;High;M42001;X
200003;Foreign Minister;Arnou Blanc;33;ML;The Cloak N Dagger Schemer;Medium;M42003;X
200004;Minister of Armament;Vernon Phaneuf;33;ML;Infantry Proponent;Medium;M42004;X
200005;Minister of Security;Porter Lacharité;33;ML;Prince of Terror;Medium;M42005;X
200006;Head of Military Intelligence;Artus Duffet;33;ML;Logistics Specialist;Medium;M42006;X
200007;Chief of Staff;Bertrans Guinsestre;33;ML;School of Defence;Medium;M42008;X
200008;Chief of Army;Bertrans Guinsestre;33;ML;Static Defence Doctrine;Medium;M42008;X
200009;Chief of Navy;Ugos Lachance;33;ML;Indirect Approach Doctrine;Medium;M42007;X
200010;Chief of Air Force;Nicholas Cantin;33;ML;Air Superiority Doctrine;Medium;M42010;X
200011;Head of State;Tristan Émond;33;SD;Resigned Generalissimo;High;M42047;X
200012;Head of State;Ebraz Loiseau;37;SC;Insignificant Layman;High;M42062;X
200013;Head of State;Nicholas Lamontagne;39;SD;Autocratic Charmer;High;M42063;X
200014;Head of State;Jérôme Filipot;40;PA;Barking Buffoon;High;M42064;X
200015;Head of Government;Auriville Fournier;33;SD;Ambitious Union Boss;High;M42065;X
200016;Head of Government;Ebraz Loiseau;37;SC;Smiling Oilman;High;M42062;X
200017;Head of Government;Nicholas Lamontagne;39;SD;Happy Amateur;High;M42063;X
200018;Head of Government;Jérôme Filipot;40;PA;Old General;High;M42064;X
200019;Head of Government;Ramons Authier;44;SC;Political Protege;High;M42069;X
200020;Foreign Minister;Lozoïs Routhier;33;LWR;Ideological Crusader;Medium;M42049;X
200021;Foreign Minister;Maurice Niela;37;SD;Iron Fisted Brute;Medium;M42072;X
200022;Foreign Minister;Huon Espaza;37;SL;Great Compromiser;Medium;M42041;X
200023;Foreign Minister;Guis Léveillé;39;SC;Ideological Crusader;Medium;M42074;X
200024;Foreign Minister;Aymon Tibaut;39;SC;Biased Intellectual;Medium;M42043;X
200025;Foreign Minister;Roch Talon;39;SD;Ideological Crusader;Medium;M42076;X
200026;Foreign Minister;Huon Espaza;40;PA;Great Compromiser;Medium;M42041;X
200027;Foreign Minister;Anfos Migneault;44;SC;Apologetic Clerk;Medium;M42079;X
200028;Foreign Minister;Dominique Bussière;45;PA;Ideological Crusader;Medium;M42080;X
200029;Foreign Minister;Olivier Bourget;46;SC;The Cloak N Dagger Schemer;Medium;M42081;X
200030;Foreign Minister;Millard Potvin;47;PA;General Staffer;Medium;M42082;X
200031;Minister of Armament;Lucaz Montelhs;33;LWR;Resource Industrialist;Medium;M42051;X
200032;Minister of Armament;Nicholas Lamontagne;37;SC;Military Entrepreneur;Medium;M42063;X
200033;Minister of Armament;Auriville Ruest;39;SL;laissez-faire capitalist;Medium;M42085;X
200034;Minister of Armament;Anfos de Rocafort;39;SD;Infantry Proponent;Medium;M42086;X
200035;Minister of Armament;Timothée Meunier;40;PA;laissez-faire capitalist;Medium;M42044;X
200036;Minister of Armament;Brice Vaillancourt;42;SC;Administrative Genius;Medium;M42054;X
200037;Minister of Armament;Verrill Michel;44;SC;Tank Proponent;Medium;M42089;X
200038;Minister of Armament;Gilles Labrie;46;SC;Theoretical Scientist;Medium;M42090;X
200039;Minister of Security;Frédéric Plaisance;33;SD;Silent Lawyer;Medium;M42091;X
200040;Minister of Security;Ernest Martis;37;SL;Crime Fighter;Medium;M42045;X
200041;Minister of Security;Gilbert Monjeau;39;SD;Man of the People;Medium;M42055;X
200042;Minister of Security;Dominic Mailly;40;PA;Prince of Terror;Medium;M42094;X
200043;Minister of Security;Antoine Lapresse;44;SC;Compassionate Gentleman;Medium;M42095;X
200044;Minister of Security;Richart Martel;46;SC;Silent Lawyer;Medium;M42096;X
200045;Head of Military Intelligence;Harcourt Coulombe;33;SD;Dismal Enigma;Medium;M42056;X
200046;Head of Military Intelligence;Pascal Laurent;37;SC;Naval Intelligence Specialist;Medium;M42098;X
200047;Head of Military Intelligence;Toussaint Garceau;39;SL;Political Specialist;Medium;M42099;X
200048;Head of Military Intelligence;Honoré Binet;40;PA;Industrial Specialist;Medium;M42100;X
200049;Head of Military Intelligence;Johans Cormier;44;SC;Technical Specialist;Medium;M42046;X
200050;Head of Military Intelligence;Alexandre Bourque;46;SC;Dismal Enigma;Medium;M42102;X
200051;Chief of Staff;Tristan Émond;33;SD;School of Manoeuvre;Medium;M42047;X
200052;Chief of Staff;Bertrans Guinsestre;37;SC;School of Fire Support;Medium;M42008;X
200053;Chief of Staff;Jérôme Filipot;39;SL;School of Mass Combat;Medium;M42105;X
200054;Chief of Staff;Archaimbau Vallée;44;SC;School of Manoeuvre;Medium;M42107;X
200055;Chief of Army;Artus Duffet;33;LWR;Elastic Defence Doctrine;Medium;M42006;X
200056;Chief of Army;Jérôme Filipot;39;SL;Decisive Battle Doctrine;Medium;M42064;X
200057;Chief of Army;Bernart Lagacé;42;SC;Elastic Defence Doctrine;Medium;M42112;X
200058;Chief of Army;Francis Duval;44;SC;Guns and Butter Doctrine;Medium;M42048;X
200059;Chief of Army;Gastos D'Avis;46;SC;Armoured Spearhead Doctrine;Medium;M42114;X
200060;Chief of Navy;Lozoïs Routhier;39;SD;Power Projection Doctrine;Medium;M42049;X
200061;Chief of Navy;Arnou Bossé;40;PA;Indirect Approach Doctrine;Medium;M42118;X
200062;Chief of Navy;Anfos Larocque;44;SC;Base Control Doctrine;Medium;M42119;X
200063;Chief of Air Force;Arnaud Brousseau;39;SL;Vertical Envelopment Doctrine;Medium;M42050;X
200064;Chief of Air Force;Christien Louineaux;44;SC;Army Aviation Doctrine;Medium;M42124;X
200065;Head of State;Huon Espaza;33;FA;Powerhungry Demagogue;High;M42041;X
200066;Head of Government;Huon Espaza;33;FA;old airmarshal;High;M42041;X
200067;Head of State;Lucaz Montelhs;33;LE;Weary Stiffneck;High;M42051;X
200068;Head of Government;Lucaz Montelhs;33;LE;Backroom Backstabber;High;M42051;X
200069;Head of State;Artus Duffet;48;PA;Resigned Generalissimo;High;M42006;X
200070;Head of State;Verrill Michel;48;SC;Benevolent Gentleman;High;M42089;X
200071;Head of State;Ramons Authier;49;PA;Benevolent Gentleman;High;M42069;X
200072;Head of State;Octave de Chateaub;49;ML;Benevolent Gentleman;High;M42128;X
200073;Head of State;Vernon Phaneuf;49;SC;Popular Figurehead;High;M42004;X
200074;Head of Government;Gastos D'Avis;49;SC;Old General;High;M42114;X
200075;Chief of Staff;Ramons Authier;44;SC;School of Defence;Medium;L240022;X
200076;Head of Military Intelligence;Octave de Chateaub;46;ML;Technical Specialist;Medium;M42128;X
200077;Minister of Armament;Algernon De La Ronde;48;SC;Resource Industrialist;Medium;M42133;X
200078;Minister of Security;Grégoire Charpie;50;PA;Prince of Terror;Medium;M42134;X
