RSI;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;X
885001;Head of State;Palmiro Togliatti;33;ST;radical demagogue;High;M3021;X
885002;Head of State;Amadeo Bordiga;33;LE;Benevolent Gentleman;High;3528;X
885003;Head of State;Mauro Scoccimarro;33;ST;Autocratic Charmer;High;M3088;X
885004;Head of Government;Luigi Longo;33;LE;Political Protege;High;M3022;X
885005;Head of Government;Amadeo Bordiga;33;LE;Naive Optimist;High;3528;X
885006;Head of Government;Giorgio Amendola;33;LE;Happy Amateur;High;3529;X
885007;Head of Government;Mauro Scoccimarro;33;ST;Flamboyant Tough Guy;High;M3088;X
885008;Foreign Minister;Palmiro Togliatti;33;ST;Ideological Crusader;High;M3021;X
885009;Foreign Minister;Amadeo Bordiga;33;LE;The Cloak N Dagger Schemer;High;3528;X
885010;Foreign Minister;Luigi Longo;33;LE;Ideological Crusader;High;M3022;X
885011;Foreign Minister;Ruggiero Grieco;33;LE;Great Compromiser;High;3530;X
885012;Minister of Armament;Vittorio Vidali;33;ST;Infantry Proponent;High;M3087;X
885013;Minister of Armament;Mauro Scoccimarro;33;ST;Air to Sea Proponent;High;M3088;X
885014;Minister of Armament;Antonio Pesenti;33;LE;Resource Industrialist;High;M3024;X
885015;Minister of Armament;Giuseppe di Vittorio;33;LE;Military Entrepreneur;High;M3120;X
885016;Minister of Security;Palmiro Togliatti;33;ST;Crime Fighter;High;M3021;X
885017;Minister of Security;Antonio Pesenti;33;LE;Compassionate Gentleman;High;M3024;X
885018;Minister of Security;Ruggiero Grieco;33;LE;Man of the People;High;3530;X
885019;Head of Military Intelligence;Giuseppe di Vittorio;33;LE;Political Specialist;High;M3120;X
885020;Head of Military Intelligence;Palmiro Togliatti;33;ST;Technical Specialist;High;M3021;X
885021;Head of Military Intelligence;Antonio Pesenti;33;LE;Industrial Specialist;High;M3024;X
885022;Head of Military Intelligence;Giorgio Amendola;33;LE;Dismal Enigma;High;3529;X
885023;Chief of Staff;Luigi Longo;33;LE;School of Mass Combat;High;M3022;X
885024;Chief of Staff;Mauro Scoccimarro;33;LE;School of Psychology;High;M3088;X
885025;Chief of Staff;Ruggiero Grieco;33;LE;School of Defence;High;3530;X
885026;Chief of Army;Giancarlo Pajetta;33;LE;Guns and Butter Doctrine;High;M3028;X
885027;Chief of Army;Vittorio Vidali;33;ST;Elastic Defence Doctrine;High;M3087;X
885028;Chief of Army;Luigi Longo;33;LE;Armoured Spearhead Doctrine;High;M3022;X
885029;Chief of Navy;Giancarlo Pajetta;33;LE;Open Seas Doctrine;High;M3028;X
885030;Chief of Navy;Ruggiero Grieco;33;LE;Decisive Naval Battle Doctrine;High;3530;X
885031;Chief of Air Force;Ruggiero Grieco;33;LE;Air Superiority Doctrine;High;3530;X
885032;Chief of Air Force;Luigi Longo;33;LE;Army Aviation Doctrine;High;M3022;X
885033;Chief of Air Force;Giorgio Amendola;33;LE;Vertical Envelopment Doctrine;High;3529;X
885034;Head of State;Giorgis Siantos;36;LE;Insignificant Layman;High;M18021;x
885035;Head of Government;Junio Borghese;36;LE;Corporate Suit;High;M508012;x
885036;Head of State;Georgi Dimitrov;36;ST;Ruthless Powermonger;High;M19032;x
885037;Head of State;Nikos Zahariadis;45;LE;Autocratic Charmer;High;M18022;x
