U16;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
701601;Chief of Staff;Erwin von Witzleben;41;SC;School of Fire Support;High;M17;x
701602;Chief of Staff;Julius Ringel;44;SC;School of Manoeuvre;Medium;M169;x
701603;Chief of Army;Julius Ringel;42;SC;Guns and Butter Doctrine;Medium;M169;x
701604;Chief of Army;Erwin von Witzleben;43;SC;Static Defence Doctrine;High;M17;x
701605;Chief of Army;Walter von Lüttwitz;36;SL;Decisive Battle Doctrine;Medium;M185;x
701606;Chief of Air Force;Hans Ulrich Rudel;49;PA;Air Superiority Doctrine;Medium;M210;x
701607;Chief of Air Force;Manfred Freiherr von Richthofen;36;PA;Air Superiority Doctrine;High;kaiserreich manfredvonrichtofen;x
701608;Head of Government;Manfred Freiherr von Richthofen;36;PA;old airmarshal;High;kaiserreich manfredvonrichtofen;x
701609;Minister of Security;Helmuth von Moltke;39;SC;Compassionate Gentleman;High;M246;x
701610;Head of Government;Wojciech Korfanty;36;SL;Happy Amateur;High;M13042;x
701611;Minister of Armament;Wojciech Korfanty;43;ML;Military Entrepreneur;Medium;M13042;x
701612;Foreign Minister;Jedrzej Giertych;36;FA;Ideological Crusader;Medium;M13067;x
701613;Minister of Security;Stanislaw Mikolajczyk;39;SD;Man of the People;Medium;M13046;x
701614;Head of Government;Hans Heinrich Lammers;37;PA;Political Protege;Very High;M216;x
701615;Minister of Security;Hans Heinrich Lammers;36;PA;Silent Lawyer;Very High;M216;x
