UCH;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;X
1325001;Head of State;Amir II Yuan;36;PA;barking buffoon;High;M501021;x
1325002;Head of Government;Chiang Kai-shek;36;SC;Old General;High;M52002;x
1325003;Foreign Minister;Sheng Shicai;36;PA;Great Compromiser;Very High;M72001;x
1325004;Minister of Armament;Kunimu Khan;36;SL;Military Entrepreneur;Very High;M72014;x
1325005;Head of Military Intelligence;Dalerim Khan;36;PA;Political Specialist;Medium;M72016;x
1325006;Minister of Security;Dai Li;36;SC;Crime Fighter;Very High;M52063;x
1325007;Chief of Staff;Yan Xishan;36;PA;School of Defence;Medium;L50348;x
1325008;Chief of Army;Jiang Baili;36;SC;Guns and Butter Doctrine;High;M52089;x
1325009;Chief of Navy;Sa Zhenbing;36;PA;Indirect Approach Doctrine;Medium;M72009;x
1325010;Chief of Air Force;Zhou Zhirou;36;SC;Army Aviation Doctrine;Very High;M52010;x
1325011;Chief of Air Force;Lu Han;36;SC;Carpet Bombing Doctrine;Medium;M501009;x
1325012;Chief of Air Force;Ma Bufang;36;PA;Army Aviation Doctrine;Medium;M504009;x
1325013;Chief of Army;Sheng Shicai;36;PA;Guns and Butter doctrine;Very High;M72001;x
1325014;Chief of Army;Yan Xishan;36;PA;Armoured Spearhead Doctrine;Medium;L50348;x
1325015;Chief of Army;Yol Bars;42;PA;Elastic Defence Doctrine;Very Low;M72017;x
1325016;Chief of Navy;Lu Han;36;SC;Open Seas Doctrine;Medium;M501009;x
1325017;Chief of Staff;Sheng Shicai;36;PA;School of Psychology;Very High;M72001;x
1325018;Chief of Staff;Yol Bars;41;PA;School of Mass Combat;Very Low;M72017;x
1325019;Foreign Minister;Fang Jing;36;PA;Great Compromiser;High;L50075;x
1325020;Foreign Minister;Wang Zuanxu;36;PA;Iron Fisted Brute;High;L50323;x
1325021;Head of Government;Long Yun;36;SC;Political Protege;High;M501001;x
1325022;Head of Government;Ma Bufang;36;PA;old airmarshal;High;M504009;x
1325023;Head of Military Intelligence;Liu Ben;39;PA;Technical Specialist;Medium;M72026;x
1325024;Head of Military Intelligence;Ma Hongbin;36;PA;Political Specialist;Medium;M504006;x
1325025;Head of Military Intelligence;Mi Zaiming;36;PA;Political Specialist;Medium;M501006;x
1325026;Head of Military Intelligence;Shang Zhen;36;PA;Naval Intelligence Specialist;Medium;M503006;x
1325027;Head of Military Intelligence;Zhang Xiliang;36;PA;Dismal Enigma;Medium;M72005;x
1325028;Head of State;Long Yun;36;SC;Die-hard Reformer;High;M501001;x
1325029;Head of State;Sheng Shicai;36;PA;Resigned Generalissimo;High;M72001;x
1325030;Minister of Armament;Fu Zuoyi;36;PA;Air to Ground Proponent;Medium;L50085;x
1325031;Minister of Armament;Liu Wenhui;36;SC;Battle Fleet Proponent;Medium;M501004;x
1325032;Minister of Security;Ding Zhipan;36;SC;Crime Fighter;Medium;M501005;x
1325033;Minister of Security;Kunimu Khan;36;SC;Compassionate Gentleman;Very High;M72014;x
1325034;Minister of Security;Li Shiqun;36;PA;Prince of Terror;Medium;M504005;x
1325035;Minister of Security;Qu Yangke;36;PA;Prince of Terror;Medium;M503005;x
1325036;Chief of Air Force;Chen Changchu;39;PA;Army Aviation Doctrine;Low;M52020;x
1325037;Chief of Air Force;Huang Chenzuo;36;SC;Air Superiority Doctrine;High;M52047;x
1325038;Chief of Air Force;Qian Dajun;39;SL;Carpet Bombing Doctrine;Very High;M52090;x
1325039;Chief of Air Force;Shen Honglie;41;SC;Naval Aviation Doctrine;Very High;M52109;x
1325040;Chief of Air Force;Wang Shuming;45;SC;Vertical Envelopment Doctrine;High;M52054;x
1325041;Chief of Army;Bao Wenyue;39;PA;Static Defence Doctrine;Low;M52018;x
1325042;Chief of Army;Gu Zhutong;39;SC;Decisive Battle Doctrine;Low;M52097;x
1325043;Chief of Army;He Yingqin;39;SL;Elastic Defence Doctrine;High;M52058;x
1325044;Chief of Army;Xu Tingyao;44;SC;Armoured Spearhead Doctrine;High;M52098;x
1325045;Chief of Navy;Chen Cheng;45;SC;Power Projection Doctrine;Very High;M52105;x
1325046;Chief of Navy;Chen Jiliang;36;SC;Indirect Approach Doctrine;Medium;M52103;x
1325047;Chief of Navy;Chen Shaokuan;36;SC;Indirect Approach Doctrine;Medium;M52009;x
1325048;Chief of Navy;Gui Yongqing;45;SC;Decisive Naval Battle Doctrine;Very High;M52104;x
1325049;Chief of Navy;Ouyang Ge;36;SC;Open Seas Doctrine;High;M52101;x
1325050;Chief of Navy;Ren Shouxu;39;SL;Open Seas Doctrine;Low;M52106;x
1325051;Chief of Navy;Ren Yuandao;39;PA;Open Seas Doctrine;Low;M52019;x
1325052;Chief of Navy;Zeng Yiding;39;SC;Base Control Doctrine;Medium;M52102;x
1325053;Chief of Staff;Chiang Kai-shek;36;SC;School of Manoeuvre;Undying;M52002;x
1325054;Chief of Staff;Jiang Baili;39;SC;School of Psychology;High;M52089;x
1325055;Chief of Staff;Lin Wei;43;SC;School of Manoeuvre;High;M52035;x
1325056;Chief of Staff;Qi Xieyuan;39;PA;School of Fire Support;Low;M52017;x
1325057;Chief of Staff;Xiao Yishu;45;SC;School of Fire Support;High;M52092;x
1325058;Chief of Staff;Xu Zuyi;39;SL;School of Defence;High;M52093;x
1325059;Foreign Minister;Chen Guofu;41;SC;Great Compromiser;Low;M52005;x
1325060;Foreign Minister;Chen Lu;38;SC;Apologetic Clerk;Medium;M52013;x
1325061;Foreign Minister;Lin Sen;39;SL;Ideological Crusader;Medium;M52001;x
1325062;Foreign Minister;Lin Wei;39;SC;General Staffer;High;M52035;x
1325063;Foreign Minister;Shen Zui;40;SC;Apologetic Clerk;Very High;M52036;x
1325064;Foreign Minister;T. V. Soong;41;SC;The Cloak N Dagger Schemer;Medium;M52024;x
1325065;Foreign Minister;Wang Chonghui;36;SC;Ideological Crusader;Medium;M52026;x
1325066;Foreign Minister;Wang JingWei;39;PA;Biased Intellectual;Medium;M52041;x
1325067;Foreign Minister;Wang Shijie;45;SC;Iron Fisted Brute;Medium;M52038;x
1325068;Foreign Minister;Yang Luchang;44;PA;Great Compromiser;Medium;M52043;x
1325069;Foreign Minister;Zhang Zun;36;SC;Great Compromiser;Very High;M52003;x
1325070;Head of Government;Ch'en Ch'eng;50;SC;Political Protege;High;M52115;x
1325071;Head of Government;Kong Xiangxi;38;SC;Silent Workhorse;High;M52030;x
1325072;Head of Government;Li Zongren;43;SL;Corporate Suit;High;M52031;x
1325073;Head of Government;T. V. Soong;45;SC;Political Protege;High;M52024;x
1325074;Head of Government;Wang Chonghui;36;SC;Flamboyant Tough Guy;High;M52026;x
1325075;Head of Government;Wang Kemin;39;PA;Backroom Backstabber;High;M52012;x
1325076;Head of Government;Yen Hsi-shan;49;SC;Old General;High;M52114;x
1325077;Head of Government;Zhang Zun;39;SC;Happy Amateur;High;M52003;x
1325078;Head of Military Intelligence;Chen Fake;43;PA;Logistics Specialist;High;M52077;x
1325079;Head of Military Intelligence;Chen Lifu;36;SC;Political Specialist;Very High;M52006;x
1325080;Head of Military Intelligence;Dai Li;36;SC;Political Specialist;Very High;M52063;x
1325081;Head of Military Intelligence;He Yaozu;39;SC;Industrial Specialist;Low;M52079;x
1325082;Head of Military Intelligence;Jiang Yiying;44;SC;Dismal Enigma;Very High;M52064;x
1325083;Head of Military Intelligence;Li Shiqun;39;PA;Political Specialist;Medium;M52016;x
1325084;Head of Military Intelligence;Mao Renfeng;40;SC;Logistics Specialist;Very High;M52080;x
1325085;Head of Military Intelligence;Yang Xuancheng;41;SC;Naval Intelligence Specialist;Very High;M52082;x
1325086;Head of Military Intelligence;Zhang Xueliang;39;SL;Logistics Specialist;Low;M52008;x
1325087;Head of Military Intelligence;Zheng Jiemin;42;SC;Technical Specialist;Very High;M52083;x
1325088;Head of State;Chiang Kai-shek;36;SC;Resigned Generalissimo;High;M52002;x
1325089;Head of State;Lin Sen;36;SL;Weary Stiffneck;High;M52001;x
1325090;Head of State;Wang Jingwei;39;PA;Local tyrant2;High;M52011;x
1325091;Minister of Armament;Bai Chongxi;36;SC;Resource Industrialist;Low;M52045;x
1325092;Minister of Armament;Cai Wenzhi;41;SC;Tank Proponent;High;M52050;x
1325093;Minister of Armament;Chan Chak;43;PA;Submarine Proponent;High;M52061;x
1325094;Minister of Armament;Chen Gongbo;39;PA;laissez-faire capitalist;Medium;M52014;x
1325095;Minister of Armament;Chen Guofu;40;SC;laissez-faire capitalist;Low;M52005;x
1325096;Minister of Armament;Du Jianshi;46;SC;Strategic Air Proponent;High;M52056;x
1325097;Minister of Armament;He Guoguang;42;SC;Air to Ground Proponent;High;M52051;x
1325098;Minister of Armament;He Yingqin;43;SL;Infantry Proponent;Medium;M52058;x
1325099;Minister of Armament;Huang Chenzuo;39;SC;Military Entrepreneur;High;M52047;x
1325100;Minister of Armament;Jiang Jingguo;45;SC;Administrative Genius;High;M52055;x
1325101;Minister of Armament;Wang Shuming;43;SC;Air to Sea Proponent;High;M52054;x
1325102;Minister of Armament;Weng Wenhao;39;SL;laissez-faire capitalist;Medium;M52057;x
1325103;Minister of Armament;Xu Yongchang;38;SC;Theoretical Scientist;High;M52046;x
1325104;Minister of Armament;Yang Luchang;41;PA;Resource Industrialist;Medium;M52043;x
1325105;Minister of Armament;Yu Feipeng;42;SC;Infantry Proponent;High;M52053;x
1325106;Minister of Security;Cai Yuanpei;45;SL;Compassionate Gentleman;Medium;M52073;x
1325107;Minister of Security;Chan Hon-sam;43;PA;Prince of Terror;High;M52076;x
1325108;Minister of Security;Chen Fake;44;PA;Efficient Sociopath;High;M52077;x
1325109;Minister of Security;Chen Guofu;36;SC;Crooked Kleptocrat;Very High;M52005;x
1325110;Minister of Security;Gu Zhenglun;40;SC;Crime Fighter;Very High;M52067;x
1325111;Minister of Security;Huang Musong;39;SC;Efficient Sociopath;High;M52066;x
1325112;Minister of Security;Jiang Jingguo;43;SC;Man of the People;Very High;M52055;x
1325113;Minister of Security;Kang Ze;44;SL;Prince of Terror;Medium;M52072;x
1325114;Minister of Security;Kong Xiangxi;43;SL;Man of the People;High;M52030;x
1325115;Minister of Security;Liu Fei;41;SC;Silent Lawyer;Medium;M52068;x
1325116;Minister of Security;Wang Kemin;41;PA;Man of the People;Medium;M52012;x
1325117;Minister of Security;Wu Zhongxin;38;SC;Compassionate Gentleman;High;M52065;x
