U74;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
11402;Long Yun;T11402;1;1930;1970;centralized_execution;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11403;Lu Han;T11403;1;1930;1970;fighter_tactics;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11402;Ma Buqing;T11002;1;1930;1970;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11403;Ma Bufang;T11003;1;1930;1970;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11404;Yan Xishan;T8800;2;1930;1970;large_unit_tactics;training;infantry_focus;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11405;Taiyuan Arsenal;T8801;3;1930;1970;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11406;Nanjing University;T8802;2;1930;1970;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11407;Baoding Military Academy;T8803;2;1930;1970;large_unit_tactics;infantry_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11408;Dagu Shipyard;T8804;3;1930;1970;naval_engineering;naval_artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11409;Tianjin Machinery Factory;T8805;2;1930;1970;mechanics;general_equipment;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11410;Kaiping Coal Mine;T1004;3;1930;1970;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11411;Tianjin Tram & Electric Co.;T8807;3;1930;1970;mechanics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11412;Zhili Gongyi Zongju;T8808;3;1930;1970;industrial_engineering;electronics;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
