# MODEL_14_

allowed_brigades =  escort

upgrade = { type = naval_bomber			upgrade_time_factor = 0.54	upgrade_cost_factor = 1.40 }
upgrade = { type = tactical_bomber		upgrade_time_factor = 0.54	upgrade_cost_factor = 1.40 }

# 0 - Basic Strategic Bomber 1937
model = {
	cost 						= 20
	buildtime					= 250
	defaultorganisation 		= 30
	morale						= 20
	manpower					= 3
	maxspeed					= 250
	surfacedetectioncapability	= 3
	airdetectioncapability		= 2
	surfacedefence				= 4
	airdefence					= 30
	airattack					= 2
	strategicattack				= 6
	softattack					= 1
	hardattack					= 0
	navalattack					= 0
	range						= 1000 
	supplyconsumption 			= 2.0
	fuelconsumption				= 3.0
	upgrade_time_factor = 0.5
	upgrade_cost_factor = 1.0
	reinforce_time				= 0.60
	reinforce_cost 				= 0.50
	equipment = { heavy_bomber = 100 manpower = 3000 }
}

# 1 - Improved Strategic Bomber 1940
model = {
	cost 						= 22
	buildtime					= 270
	defaultorganisation 		= 30
	morale						= 20
	manpower					= 3
	maxspeed					= 300
	surfacedetectioncapability	= 4
	airdetectioncapability		= 3
	surfacedefence				= 3
	airdefence					= 18
	airattack					= 3
	strategicattack				= 7
	softattack					= 2
	hardattack					= 1
	navalattack					= 0
	range						= 1500
	supplyconsumption 			= 2.2
	fuelconsumption				= 3.2
	upgrade_time_factor = 0.5
	upgrade_cost_factor = 1.0
	reinforce_time				= 0.60
	reinforce_cost 				= 0.50
	equipment = { heavy_bomber = 100 manpower = 3000 }
}

# 2 - Advanced Strategic Bomber 1943
model = {
	cost 						= 24
	buildtime					= 270
	defaultorganisation 		= 30
	morale						= 20
	manpower					= 3
	maxspeed					= 350
	surfacedetectioncapability	= 4
	airdetectioncapability		= 3
	surfacedefence				= 3
	airdefence					= 18
	airattack					= 3
	strategicattack				= 8
	softattack					= 2
	hardattack					= 1
	navalattack					= 0
	range						= 2000
	supplyconsumption 			= 2.5
	fuelconsumption				= 3.5
	upgrade_time_factor = 0.5
	upgrade_cost_factor = 1.0
	reinforce_time				= 0.60
	reinforce_cost 				= 0.50
	equipment = { heavy_bomber = 100 manpower = 3000 }
}

# 3 - Turbojet Strategic Bomber 1945
model = {
	cost 						= 27
	buildtime					= 280
	defaultorganisation 		= 30
	morale						= 20
	manpower					= 3
	maxspeed					= 650
	surfacedetectioncapability	= 4
	airdetectioncapability		= 3
	surfacedefence				= 2
	airdefence					= 8
	airattack					= 2
	strategicattack				= 8
	softattack					= 1
	hardattack					= 0
	navalattack					= 0
	range						= 4000
	supplyconsumption 			= 3.0
	fuelconsumption				= 4.0
	upgrade_time_factor = 0.5
	upgrade_cost_factor = 1.0
	reinforce_time				= 0.60
	reinforce_cost 				= 0.50
	equipment = { heavy_bomber = 100 manpower = 3000 }
}

# 4 - Improved Turbojet Strategic Bomber 1949
model = {
	cost 						= 30
	buildtime					= 280
	defaultorganisation 		= 30
	morale						= 20
	manpower					= 3.5
	maxspeed					= 800
	surfacedetectioncapability	= 4
	airdetectioncapability		= 3
	surfacedefence				= 1
	airdefence					= 8
	airattack					= 2
	strategicattack				= 10
	softattack					= 2
	hardattack					= 1
	navalattack					= 0
	range						= 5000
	supplyconsumption 			= 3.5
	fuelconsumption				= 4.0
	upgrade_time_factor = 0.5
	upgrade_cost_factor = 1.0
	reinforce_time				= 0.60
	reinforce_cost 				= 0.50
	equipment = { heavy_bomber = 100 manpower = 3500 }
}

# 5 - Intercontinental Strategic Bomber 1950
model = {
	cost 						= 40
	buildtime					= 280
	defaultorganisation 		= 30
	morale						= 20
	manpower					= 3.5
	maxspeed					= 800
	surfacedetectioncapability	= 4
	airdetectioncapability		= 3
	surfacedefence				= 1
	airdefence					= 6
	airattack					= 4
	strategicattack				= 14
	softattack					= 2
	hardattack					= 1
	navalattack					= 0
	range						= 6000
	supplyconsumption 			= 4.5
	fuelconsumption				= 5.0
	upgrade_time_factor = 0.5
	upgrade_cost_factor = 1.0
	reinforce_time				= 0.60
	reinforce_cost 				= 0.50
	equipment = { heavy_bomber = 100 manpower = 3500 }
}
